fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,sigma,d_norm,d_mean,ps_norm,ps_mean,pc_norm,pc_mean,loglikelihood,mhl_norm,mhl_mean
1,1,0,1,1.212846123896138,1.7177426030541785,1,0.4592572743813524,117.29699350699494,0.7319243427978782,4.719060009253333,6.447469681380043,0.8825713470908829,0.999999999999974,1.0000002842472009,0.35,0.2333333333333333,1.5,0.0,0.7247250588422398,0.6729196969294081,0.6823226993959526,0.0,0.7371774463716619,0.7148025676335863,0.6661017754787681,-5.90674375714729,-1.6259785401826878,-1.9319795382480625,-1.8764384121303603,-5.806967152934809,-1.5262019359702066,-1.656132121853111,-1.9389360222180456,0.7980017164407939,1.1261261261261255,1.997284220003673,0.3773773773773774,0.6363636363636364,1.103917068691863,0.88647803825135,0.8692737030313737,0.2261687807051251,-0.4404517200157915,1.8280116215,2.0170769939,0.8970681598,1.8545575707,-0.2125041572,1.8374523204,-0.2225345102,-75.2604237797,6.6018980331,2.0435201765
1,1,1,1,0.6317452121933981,-0.7331170665482833,1,0.654651259129267,108.39742076941911,0.0331400725345669,6.366255655103831,192.10143998518615,0.9537235828194326,0.999999999999975,1.0000004299445795,0.2333333333333333,0.15,1.5555555555555554,0.0,0.4444551534816506,0.4853350766100541,0.6055972266191653,0.0,0.4460691866930353,0.4460691866930353,0.6049088999697229,-4.765649789627988,-2.647532180939084,-2.4527127838822,-1.8795854939910697,-4.748406013855641,-2.6302884051667377,-2.6302884051667377,-1.8760529554046088,0.8741053607967184,0.94994994994995,1.6306163126774824,0.4874874874874874,0.5909090909090909,0.9683638326073918,0.91277742763061,0.8714326082560897,0.1972140170810583,-0.5658905617625275,1.5963846137,2.0064475532,0.8947441022,1.3550128276,-0.4092816536,1.3734135244,-0.3999435962,-79.3746665371,8.0341626731,2.6579811699
1,1,2,1,0.8298776554357082,-0.0377263635142512,2,0.6628561362477986,102.01529560559158,2.376734608091302,5.166156227973467,2.173636135219271,0.9435177034444148,0.9999999999999756,1.00000078406715,0.2666666666666666,0.5,0.5333333333333333,0.0,0.2981977543332951,0.6154964965765575,0.6686809403402648,0.0,0.3059731246660389,0.67570587120763,0.67570587120763,-5.921149057671178,-4.155475705600926,-2.2767025569669834,-1.961789537892742,-5.770681179915508,-4.005007827845256,-1.871398025779225,-1.871398025779225,0.7461343100033441,0.94994994994995,2.154434690031882,0.2672672672672673,0.5454545454545454,1.060782079813043,0.9306865018655398,0.8887163609087749,0.165596972527904,-0.5247107202839987,1.8782283525,2.0926510368,0.9309038716,1.4508518331,-0.2743941415,1.3083487105,-0.2211927674,-76.6090801384,6.1252134879,2.0056154137
1,1,3,1,0.7483248947142987,0.1841795061451785,1,0.0492273486748229,105.67441938661575,0.1802538786540528,1.8406073382085275,10.211194077776607,0.6188927232726621,0.99999999999996,1.0000004173183512,0.3833333333333333,0.2833333333333333,1.352941176470588,0.0,0.4547658294420946,0.4591262999489751,0.6767735748498056,0.0,0.4697095769145412,0.4697095769145412,0.7476104431784141,-6.073643269768456,-3.3115578504568086,-3.2850739081096703,-1.963162001724796,-5.880411120112589,-3.1183257008009413,-3.1183257008009413,-1.484154356533942,0.8210233755816647,0.8398398398398399,1.8046618049350172,0.3553553553553552,0.5454545454545454,1.074572161990989,0.9215681894758074,0.8027616660540542,0.1815291853356034,-0.7572609288055802,2.0699927122,2.1339651318,0.944467846,2.7599724112,-0.6494695539,2.8926794903,-0.6825072927,-88.134359868,7.2187472922,2.4207264106
1,1,4,1,1.7248534798346689,2.106681110452919,2,0.6794155052415431,110.69039501064972,0.3536665016279131,4.424095553725972,12.509229834779468,0.9358348769203844,0.9999999999999752,1.0000007055252955,0.2,0.3,0.6666666666666667,0.0,0.4527657331343291,0.6040026481048097,0.6393625447600152,0.0,0.467024781313271,0.5616650635173779,0.6458077030067352,-5.61443211564091,-3.072409642669831,-2.223300250189111,-2.024774510802382,-5.443014106923676,-2.900991633952597,-2.385863242832406,-1.9278736690980405,0.8475715891596837,0.8178178178178177,1.6306163126774824,0.2452452452452451,0.5909090909090909,1.088515927356471,0.9185856354692692,0.939834558564562,0.1705573106197857,-0.4036391303943,1.8659071288,2.0895999259,0.9324496604,2.440396842,-0.2484596554,2.3951808392,-0.242493034,-77.0818227513,6.1695460594,2.0525545553
1,1,5,1,1.179929701824153,0.4988876741364216,1,0.8047840875643081,108.86517825976598,1.7468000343799464,5.580446995564771,3.1946684713374403,0.873371844138905,0.9999999999999712,1.0000007593679086,0.25,0.15,1.6666666666666667,0.0,0.0771952378116771,0.265092852793903,0.5613910521360802,0.0,0.0790842047825906,0.3589481024001163,0.5492574262347731,-5.42933050889954,-5.010212049106846,-3.9900537955343873,-2.3813529421139075,-5.299648152812395,-4.880529693019701,-3.3973495049721043,-2.388777048448789,0.719586096425325,0.7517517517517519,1.2654403332856807,0.1131131131131128,0.4545454545454545,0.9739420403812588,0.9351979246864344,0.9489760106334274,0.1303119803355006,-0.3493180328493568,1.6059357749,1.992376992,0.8889110599,1.1556533168,-0.1414665344,1.1108629072,-0.1232918047,-79.9308280976,8.2614673656,2.7108629183
1,1,6,1,0.902783903654249,-0.1116531694958342,1,0.3979703232922236,108.79192110217902,0.2503076629761535,2.833783545281908,11.321201722665114,0.4312556338678882,0.9999999999999436,1.000000608696076,0.4,0.4,1.0,0.0,0.6465513032589857,0.6320028153499121,0.7446416591138318,0.0,0.6706369849615361,0.6706369849615361,0.7523675233217545,-5.762416119427566,-2.036718467491086,-2.120552908731629,-1.4714810197527344,-5.5554610549106,-1.82976340297412,-1.82976340297412,-1.3757125801170504,0.9011950518452154,0.9279279279279278,1.1144152514667882,0.443443443443443,0.5909090909090909,1.1035350338282803,0.8818273040121636,0.7938890141058794,0.2341363827070497,-0.5308391321035832,1.8369730022,2.0861102552,0.9290716943,2.2270657301,0.3182671956,2.2585404461,0.312428224,-83.1363713144,7.3460715635,2.3822252584
1,1,7,1,-0.1204825574515863,-1.1981235650128752,1,-0.1269145047412161,101.96938648361277,0.0221216018998631,1.3220126460963566,59.76116250896526,0.4736638351865818,0.9999999999998014,1.0000004766121096,0.8,0.45,1.777777777777778,0.0,0.4268137870724495,0.7549063019004765,0.7490242336138202,0.0,0.4168221796473419,0.8929789845712124,0.7674350020651615,-5.643053431849473,-3.2345204259496163,-1.383076834185195,-1.4162696598165834,-5.778322564163041,-3.3697895582631845,-0.6184019482918046,-1.3438355752014086,0.7893814929974908,0.7297297297297298,0.9334897216723712,0.2012012012012007,0.5,0.9017616698550022,0.8997506175870316,0.6135867788100613,0.1833005402956927,-0.7814517764580615,1.8506771139,2.0986323746,0.9336699679,2.4090198783,-0.1094824789,2.4044175968,-0.1051784069,-81.3335261561,6.972424171,2.3663181533
1,1,8,1,1.356956537597948,1.889250543179104,2,0.3371519789025752,99.2575554565536,0.0376269924199514,6.3445231260117785,168.61627034127866,0.9508941859713588,0.9999999999999843,1.000000264421446,0.45,0.5833333333333333,0.7714285714285716,0.0,0.4154023651083437,0.3667519877852964,0.6044367372370286,0.0,0.4219366757004266,0.4007326259017437,0.6587186668527462,-6.254889141363215,-3.656593398550438,-3.96089611539159,-2.474204356978314,-6.158022974654985,-3.559727231842208,-3.690302257658226,-2.101618290341671,0.9011950518452154,0.8838838838838833,1.3650078065460138,0.5315315315315318,0.5909090909090909,1.091037848648961,0.9285645101139264,0.9382851072089168,0.1432603193022993,-0.5414523712090646,1.9585260453,2.0250443791,0.8935600213,2.2261763336,0.0348622271,2.3060377915,0.0429569975,-84.434730923,7.866795884,2.6214787882
1,1,9,1,0.8636073385233781,-0.4221470087755494,1,0.7845246872787195,106.05074450707836,1.048702553023943,6.820169807972484,6.503435877319515,0.7899032487758134,0.9999999999999788,1.000000630558158,0.1333333333333333,0.2166666666666666,0.6153846153846154,0.0,0.3942371661674295,0.4414556629074864,0.5121250356114676,0.0,0.3927920224937051,0.4452778131022194,0.482801186647267,-5.528528272867884,-3.3489769534959355,-3.087928159266211,-2.697230534246413,-5.548868598539007,-3.36931727916706,-3.078080523789981,-2.8698682546146173,0.7847276096517843,0.8838838838838833,2.325444274683707,0.5315315315315318,0.5,0.9860300743891426,0.9335394634834692,0.9338694572557688,0.1233872493104216,-0.4990089696654929,1.6335598469,1.9549946804,0.8710458942,1.2763185215,-0.0320050979,1.282795055,0.0010269332,-83.2948782905,8.778104378,2.8171720262
