evaluations raw_y rep iid sigma t d_norm d_mean ps_norm ps_mean pc_norm pc_mean ps_squared loglikelihood mhl_norm mhl_mean x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39
1 280.3191781568 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 3.528105 0.800314 1.957476 4.481786 3.735116 -1.954556 1.900177 -0.302714 -0.206438 0.821197 0.288087 2.908547 1.522075 0.243350 0.887726 0.667349 2.988158 -0.410317 0.626135 -1.708191 -5.000000 1.307237 1.728872 -1.484330 4.539509 -2.908731 0.091517 -0.374368 3.065558 2.938718 0.309895 0.756325 -1.775571 -3.961593 -0.695824 0.312698 2.460581 2.404760 -0.774654 -0.604606
10 264.1612717344 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.396914 0.007542 1.863697 0.679930 -0.031364 0.321856 -0.381307 -0.789699 -0.535467 -2.256023 0.560883 -1.986247 1.683263 -0.498917 0.098990 0.987674 1.286629 -3.141247 -0.413807 1.760358 -3.396212 0.774561 -4.511128 -2.045014 0.077261 -3.313430 -1.971021 -2.943670 3.296270 0.328456 1.134581 -0.445350 -0.706863 -3.232948 -0.583675 -1.522984 1.715848 2.282204 2.933157 1.705104
11 200.3583498983 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -1.197308 -2.231794 1.533326 0.712586 -3.537077 0.710964 1.629040 0.117851 -0.370107 -1.615297 -2.893069 1.600596 -0.618229 -0.466933 3.465442 1.369002 0.741650 0.284124 3.039990 3.439179 1.859010 1.164449 -4.189206 0.247444 -0.260214 0.187906 1.886092 -5.000000 -1.138624 0.539809 -0.933691 -2.833812 1.737927 0.553744 -1.942209 0.629634 1.643171 0.010585 1.601130 0.156520
47 145.6129253736 0.0000000000 1.0000000000 1.7808150247 3.0000000000 6.2802344084 0.9929190893 4.8988117761 -0.1040170758 4.3213261232 -0.0899758278 23.9983568176 -1227.1129842164 25.9595016513 6.6032319474 -0.360567 -0.981482 -0.285697 -0.400332 -1.170232 -1.365395 0.595872 0.315270 1.215541 -2.521554 -0.387058 4.023329 2.839471 -1.839853 4.344415 1.927267 -1.101085 -2.690716 2.642787 -0.927692 -2.388487 0.551653 -0.646785 -2.282370 2.446274 -0.161055 2.945982 -1.455586 2.306944 0.907509 -0.586819 -0.393098 2.314047 -1.622738 -1.288120 -0.572272 0.390693 1.372396 2.603011 -0.056826
74 128.6310139070 0.0000000000 1.0000000000 1.7413414788 4.0000000000 6.2658896959 0.9906277492 5.0772636428 0.0320315246 4.5913570844 0.0207472670 25.7786060989 -1165.0987421183 24.0718834493 6.1127115329 1.648720 -0.718841 -0.352925 1.311910 -2.597137 -3.733866 3.170178 0.693997 -1.926721 -2.832146 -3.607353 3.194947 3.590204 -1.825544 2.619591 1.157525 1.301059 -3.071092 3.191984 0.659207 -3.221853 0.436276 -1.059491 0.084395 -0.528272 -1.672216 2.968378 3.279382 2.081201 3.057912 0.091324 0.552116 2.056575 -2.451682 -3.360747 2.508091 2.910665 1.379349 -0.850043 -0.124425
102 118.1782796025 0.0000000000 1.0000000000 1.6625028903 6.0000000000 6.2385836787 0.9862639925 5.0649755251 0.1555984332 4.6163496598 0.1263385202 25.6539770696 -1179.5995239517 25.9602547017 6.5805089120 -0.211667 -1.282741 -0.650124 -0.236709 -2.820664 -0.067424 2.116058 0.893156 -2.936771 -4.090298 -2.223408 5.000000 1.109464 -5.000000 4.434862 1.162337 -0.465776 -3.563700 3.033719 0.227483 -0.790952 3.589744 0.263202 2.316771 0.378309 -0.312422 2.378997 -1.594097 3.883725 3.278048 2.729503 -1.600206 0.829101 -0.719849 -1.944049 2.334861 1.003148 2.724858 -1.042794 -1.160829
107 117.7602756579 0.0000000000 1.0000000000 1.6290555311 7.0000000000 6.2243817711 0.9839886708 5.1899757925 0.1818953642 4.7673518231 0.1525942766 26.9358487269 -1124.4467502479 24.3058958315 6.1952441477 1.467889 -1.758852 -0.967563 2.545998 -0.968717 -1.411884 1.364652 0.871835 -3.342787 -4.105122 -3.844983 2.317424 0.699777 -3.284184 4.235500 2.935072 -0.113274 -3.869153 3.249703 -1.565898 -3.043904 2.321365 2.253979 -0.781747 -2.176360 -3.478312 5.000000 0.706490 2.004200 -0.924026 -0.858342 -1.311293 2.298004 2.672189 -1.258546 4.554320 -0.588773 2.848877 -1.077403 -1.625650
128 112.2667262339 0.0000000000 1.0000000000 1.6017233002 8.0000000000 6.2106023933 0.9817783640 5.3733889894 0.1606086290 4.9458148043 0.1416289559 28.8733092318 -1126.3502448517 24.8793628237 6.3266430838 -0.555236 0.782814 -1.276813 -0.324860 -2.706859 -1.940037 0.103965 0.942013 -3.637246 -2.632250 -3.793402 2.816366 0.089351 -1.756340 5.000000 3.131778 0.350420 -3.724545 2.333017 0.971828 0.486877 -1.303221 -0.736270 -0.299799 -2.034157 -2.144964 3.068480 1.126041 1.693240 1.498603 0.016799 3.254144 1.857414 -0.690372 -0.326534 3.307968 -0.256366 3.940868 -0.022110 -0.974702
136 104.2107422775 0.0000000000 1.0000000000 1.5542933984 9.0000000000 6.1976636782 0.9797078341 4.6653478052 0.1075306451 4.3502581682 0.1001856000 21.7654701434 -1100.0307770851 24.6050007943 6.2758157806 0.644924 -0.296454 -0.118184 3.500611 -3.282890 -1.898254 0.568477 -0.821448 -2.052560 -2.005560 -5.000000 5.000000 2.161673 -1.526077 5.000000 1.919611 -1.755484 -1.535086 3.565489 -1.837081 -2.315682 2.495922 0.815233 -1.994116 -2.434118 -5.000000 0.572289 2.735359 1.192716 1.014152 0.439191 1.691007 0.449645 0.738876 -1.557544 2.861447 1.564735 2.967337 0.369245 -1.037026
146 104.0754154539 0.0000000000 1.0000000000 1.5542933984 9.0000000000 6.1976636782 0.9797078341 4.6653478052 0.1075306451 4.3502581682 0.1001856000 21.7654701434 -1100.0307770851 24.6050007943 6.2758157806 -1.294641 -1.252067 -1.861892 1.408705 -5.000000 -1.657689 0.661305 -2.358500 -0.785524 -3.446057 -2.329349 5.000000 -0.982365 -0.187044 3.082293 1.861693 0.640547 -1.763723 2.466321 -0.058569 -0.591712 -0.410591 1.032795 -0.300433 -1.497448 -3.889279 0.641249 0.240471 1.919791 4.331454 2.537802 0.193915 1.720584 3.505574 -1.554992 3.567196 0.977864 4.869815 1.433397 -0.805057
