evaluations raw_y rep iid sigma t d_norm d_mean ps_norm ps_mean pc_norm pc_mean ps_squared loglikelihood mhl_norm mhl_mean x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39
1 16.6407264816 0.0000000000 1.0000000000 0.2783452355 67.0000000000 5.4235377501 0.8559398465 4.4033740439 0.0259504051 3.4196509136 0.0105388359 19.3897029701 -27.1587045146 28.1360175668 7.1234362963 3.528105 0.800314 1.957476 4.481786 3.735116 -1.954556 1.900177 -0.302714 -0.206438 0.821197 0.288087 2.908547 1.522075 0.243350 0.887726 0.667349 2.988158 -0.410317 0.626135 -1.708191 -5.000000 1.307237 1.728872 -1.484330 4.539509 -2.908731 0.091517 -0.374368 3.065558 2.938718 0.309895 0.756325 -1.775571 -3.961593 -0.695824 0.312698 2.460581 2.404760 -0.774654 -0.604606
2 12.2649836914 0.0000000000 1.0000000000 0.2783452355 67.0000000000 5.4235377501 0.8559398465 4.4033740439 0.0259504051 3.4196509136 0.0105388359 19.3897029701 -27.1587045146 28.1360175668 7.1234362963 -2.097106 -2.840036 -3.412540 3.901551 -1.019304 -0.876149 -2.505591 1.554981 -3.227796 -0.425481 -1.790933 0.773805 -1.021610 -2.361264 -0.056364 0.856664 0.133034 0.604944 -1.268644 -0.725482 -1.344921 -0.719106 -1.626293 -3.452565 0.354852 -0.803562 -3.260397 0.925565 -1.814597 0.103891 1.458181 0.257966 2.278801 -2.469652 0.804683 -1.369620 -1.741594 -1.157699 -0.623105 0.112331
7 9.3230285960 0.0000000000 1.0000000000 0.2783452355 67.0000000000 5.4235377501 0.8559398465 4.4033740439 0.0259504051 3.4196509136 0.0105388359 19.3897029701 -27.1587045146 28.1360175668 7.1234362963 -1.274874 -0.794544 -0.265761 -0.595582 -0.618026 -3.352008 2.304663 2.159237 -1.626729 -2.932849 1.042130 -1.151576 0.283906 -0.638657 1.383078 1.389498 -1.451195 -2.766728 -3.165877 1.220759 -2.377719 -1.013633 -1.192628 -0.105135 -3.872560 0.377557 1.047782 0.176844 -0.621772 0.194800 0.798093 -5.000000 3.911825 0.780187 -1.304817 -0.781907 0.987484 -0.232208 -4.061369 4.128986
30 6.7881800093 0.0000000000 1.0000000000 1.9020983259 1.0000000000 6.3124498363 0.9980630857 3.5805290271 -0.1980388399 3.0364236109 -0.1679444028 12.8201881141 -1295.3555615478 26.7882492669 6.8279747649 -0.619717 -1.710346 -4.182736 2.970896 3.413653 -2.431692 -0.116020 3.857449 -3.208424 0.317024 -0.659358 0.967990 5.000000 0.533244 0.207564 -0.485037 -1.364588 -0.737109 -1.261463 -2.704212 -3.643868 0.043925 -1.396427 -0.620866 -0.597344 2.285536 0.669924 -3.997192 2.925569 0.357570 -1.219465 -0.770022 2.812992 2.225865 -3.415578 0.067028 -2.193764 -0.122686 -0.812782 1.124561
205 6.0730001173 0.0000000000 1.0000000000 1.5161595071 13.0000000000 6.1744226620 0.9758875832 5.5094769310 -0.1538455670 4.9261549590 -0.1272902130 30.3543360536 -1096.8744716082 25.1753154213 6.4427199878 -0.734520 -2.388358 -0.254704 -2.015576 1.763079 1.248002 2.023948 2.981422 -0.363165 2.943626 -5.000000 -1.700954 -0.425237 -4.497459 -1.185532 2.483376 -4.458416 -0.765444 5.000000 4.168707 3.197941 -0.480126 0.387485 -1.005211 -3.001293 1.226275 -0.562490 -3.189737 3.493826 0.798075 -0.140205 0.070035 -0.175959 2.928740 -5.000000 1.394844 4.874850 -2.068696 -1.629570 -0.071198
757 5.5788082408 0.0000000000 1.0000000000 0.8693347619 50.0000000000 5.7878564836 0.9134012642 4.7769183094 -0.0544646588 3.9565086073 -0.0504022374 22.8189485345 -743.2186229773 26.9422583469 6.8693466152 3.003929 -1.239705 -5.000000 1.195817 -0.653770 -4.082962 2.642802 1.377502 4.508366 3.075256 -1.306180 -0.875963 -1.739651 -0.398513 -0.739199 -0.833055 -1.221208 1.090742 2.037045 -1.942863 3.894220 4.243993 0.312134 3.164255 -2.871092 0.957917 -4.504212 -1.767707 5.000000 -4.846748 0.090697 -0.359204 2.576955 2.333814 0.581625 -1.791894 4.447120 1.309261 -2.042021 -1.783793
1005 15.8906392371 0.0000000000 1.0000000000 0.6826076544 67.0000000000 5.6192119216 0.8861548176 6.4686159754 -0.2322300050 5.7923861742 -0.2026654096 41.8429926376 -534.0336830474 25.3305100118 6.4815720605 0.935195 -1.933873 -4.426456 -0.062239 0.077880 -4.418912 3.392489 2.988099 2.602761 1.903579 -1.840802 0.400103 0.209855 1.208991 2.785107 0.755100 -0.242103 -0.955990 0.405496 -2.451910 2.263367 1.170228 -0.255941 4.341163 -2.341399 1.601142 -3.643641 -3.324623 2.976261 -3.603612 1.862823 -0.668166 4.115684 3.426265 0.318488 -1.954435 2.901040 0.725580 -1.735385 -0.951426
evaluations raw_y rep iid sigma t d_norm d_mean ps_norm ps_mean pc_norm pc_mean ps_squared loglikelihood mhl_norm mhl_mean x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39
1 13.2256770726 1.0000000000 1.0000000000 0.6826076544 67.0000000000 5.6192119216 0.8861548176 6.4686159754 -0.2322300050 5.7923861742 -0.2026654096 41.8429926376 -534.0336830474 25.3305100118 6.4815720605 3.248691 -1.223513 -1.056344 -2.145937 1.730815 -4.603077 3.489624 -1.522414 0.638078 -0.498741 2.924216 -4.120281 -0.644834 -0.768109 2.267539 -2.199783 -0.344856 -1.755717 0.084427 1.165630 -2.201238 2.289447 1.803181 1.004989 1.801712 -1.367456 -0.245780 -1.871539 -0.535776 1.060711 -1.383322 -0.793507 -1.374345 -1.690411 -1.342492 -0.025329 -2.234621 0.468831 3.319604 1.484088
3 8.1191649632 1.0000000000 1.0000000000 0.6826076544 67.0000000000 5.6192119216 0.8861548176 6.4686159754 -0.2322300050 5.7923861742 -0.2026654096 41.8429926376 -534.0336830474 25.3305100118 6.4815720605 -0.444656 -0.401516 0.373123 0.820103 0.396599 0.238017 -1.341325 0.755128 0.243643 2.258968 2.397836 0.370313 -0.750570 -1.277461 0.846989 0.154680 -0.687707 0.087194 -1.240002 1.396064 -0.894257 2.449015 0.806983 1.187157 -2.189824 0.338765 1.481113 -1.907401 -0.532437 0.065229 -2.746235 0.630319 1.692321 -1.719032 0.701092 -2.624567 -0.077391 -3.231545 2.242835 0.817801
140 7.9942347719 1.0000000000 1.0000000000 1.4968127216 9.0000000000 6.2181497279 0.9829127784 5.5763334312 -0.0384265561 5.1766371862 -0.0298120582 31.0954945361 -1088.0327604586 24.8742794658 6.3476099132 -0.921376 -0.194099 -3.185389 1.928381 0.672922 3.045682 -1.622679 2.137177 -1.007503 -0.915609 -3.483302 1.010659 -0.379884 -4.633732 4.109427 1.908128 2.148150 -0.262660 -2.788069 -2.394874 1.797821 -0.065879 3.626227 -0.743173 -4.541867 2.300752 0.864121 2.855227 0.585577 -0.488506 -0.759338 -1.694473 2.699643 3.764210 -4.135393 2.554442 0.280679 0.397829 4.372494 -0.659323
145 6.9125116656 1.0000000000 1.0000000000 1.4968127216 9.0000000000 6.2181497279 0.9829127784 5.5763334312 -0.0384265561 5.1766371862 -0.0298120582 31.0954945361 -1088.0327604586 24.8742794658 6.3476099132 -1.076383 -2.222418 -2.124348 0.173342 1.264285 5.000000 0.808975 0.866032 -1.095699 -3.456144 -1.518694 -0.589179 0.453729 -4.292369 0.089054 0.661279 0.648369 -1.448443 -1.345792 -1.301353 2.669254 -1.466385 3.560117 -0.056768 -5.000000 1.181009 2.960206 0.381758 0.132216 -0.204226 -2.852680 -4.136802 0.379369 2.206173 -1.308644 2.807535 0.143421 1.313902 1.015000 0.035800
149 5.7041189991 1.0000000000 1.0000000000 1.4968127216 9.0000000000 6.2181497279 0.9829127784 5.5763334312 -0.0384265561 5.1766371862 -0.0298120582 31.0954945361 -1088.0327604586 24.8742794658 6.3476099132 -2.209966 -0.012493 -2.859356 0.906258 -1.411401 4.477391 -3.392593 3.609807 -2.646287 -1.475166 -3.124517 1.896547 1.320267 -4.770606 5.000000 4.039934 -1.858851 -2.837094 -1.296254 -2.464308 2.115460 -1.659529 5.000000 1.374690 -5.000000 1.681765 1.473966 1.413949 -0.882096 1.786843 -0.579879 -3.847016 4.932769 0.220362 -1.180695 3.062028 -1.750935 4.258107 0.105458 -0.061014
