fid,iid,rep,alg_B50,alg_B100,alg_B150,alg_B200,alg_B250,alg_B300,alg_B350,alg_B400,alg_B450,alg_B500,alg_B550,alg_B600,alg_B650,alg_B700,alg_B750,alg_B800,alg_B850,alg_B900,alg_B950,alg_B1000
1,1.0,0.0,Elitist,MLSL,MLSL,Elitist,MLSL,MLSL,Non-elitist,Non-elitist,DE,Non-elitist,Elitist,Elitist,Elitist,MLSL,Elitist,DE,Elitist,DE,DE,Non-elitist
1,1.0,1.0,MLSL,BFGS,BFGS,BFGS,MLSL,MLSL,BFGS,DE,MLSL,MLSL,Elitist,MLSL,Elitist,MLSL,DE,MLSL,BFGS,Elitist,PSO,Non-elitist
1,1.0,2.0,DE,MLSL,MLSL,MLSL,DE,MLSL,BFGS,MLSL,DE,Non-elitist,Non-elitist,Elitist,Elitist,MLSL,DE,PSO,PSO,BFGS,MLSL,Non-elitist
1,1.0,3.0,Elitist,BFGS,DE,MLSL,Non-elitist,MLSL,MLSL,DE,BFGS,Elitist,Elitist,Elitist,MLSL,MLSL,DE,DE,Non-elitist,DE,BFGS,Non-elitist
1,1.0,4.0,Elitist,BFGS,BFGS,MLSL,Non-elitist,Non-elitist,MLSL,Elitist,Elitist,MLSL,Elitist,MLSL,MLSL,DE,DE,DE,PSO,DE,DE,Non-elitist
1,1.0,5.0,Elitist,BFGS,DE,MLSL,MLSL,Elitist,Non-elitist,Elitist,MLSL,MLSL,Elitist,Elitist,Elitist,Elitist,DE,MLSL,BFGS,PSO,DE,Non-elitist
1,1.0,6.0,Non-elitist,BFGS,BFGS,MLSL,Non-elitist,MLSL,MLSL,MLSL,Non-elitist,MLSL,Elitist,MLSL,MLSL,DE,DE,DE,Non-elitist,BFGS,DE,Non-elitist
1,1.0,7.0,Elitist,BFGS,BFGS,MLSL,MLSL,Elitist,MLSL,Elitist,MLSL,MLSL,Elitist,MLSL,MLSL,MLSL,DE,DE,Non-elitist,PSO,DE,Non-elitist
1,1.0,8.0,MLSL,BFGS,MLSL,MLSL,MLSL,MLSL,BFGS,DE,MLSL,MLSL,Non-elitist,MLSL,Elitist,MLSL,DE,MLSL,BFGS,BFGS,PSO,Non-elitist
1,1.0,9.0,Elitist,MLSL,DE,MLSL,Elitist,Elitist,MLSL,Elitist,MLSL,MLSL,Elitist,Elitist,Elitist,MLSL,DE,MLSL,BFGS,BFGS,PSO,Non-elitist
1,1.0,10.0,DE,MLSL,BFGS,MLSL,Non-elitist,MLSL,MLSL,MLSL,Non-elitist,Elitist,Elitist,Elitist,MLSL,MLSL,DE,DE,Non-elitist,DE,PSO,Non-elitist
1,1.0,11.0,Non-elitist,BFGS,BFGS,MLSL,Non-elitist,MLSL,MLSL,Elitist,MLSL,MLSL,Elitist,Elitist,MLSL,DE,DE,DE,PSO,DE,PSO,Non-elitist
