evaluations raw_y rep iid sigma t d_norm d_mean ps_norm ps_mean pc_norm pc_mean ps_squared loglikelihood mhl_norm mhl_mean x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39
1 13189765.5922584906 0.0000000000 1.0000000000 0.4820862662 67.0000000000 5.5219338219 0.8698012138 5.1446514442 0.1212722298 4.7404702160 0.1056817765 26.4674384827 -356.3625557660 27.5607351378 7.0080558677 3.528105 0.800314 1.957476 4.481786 3.735116 -1.954556 1.900177 -0.302714 -0.206438 0.821197 0.288087 2.908547 1.522075 0.243350 0.887726 0.667349 2.988158 -0.410317 0.626135 -1.708191 -5.000000 1.307237 1.728872 -1.484330 4.539509 -2.908731 0.091517 -0.374368 3.065558 2.938718 0.309895 0.756325 -1.775571 -3.961593 -0.695824 0.312698 2.460581 2.404760 -0.774654 -0.604606
2 2689326.3918250701 0.0000000000 1.0000000000 0.4820862662 67.0000000000 5.5219338219 0.8698012138 5.1446514442 0.1212722298 4.7404702160 0.1056817765 26.4674384827 -356.3625557660 27.5607351378 7.0080558677 -2.097106 -2.840036 -3.412540 3.901551 -1.019304 -0.876149 -2.505591 1.554981 -3.227796 -0.425481 -1.790933 0.773805 -1.021610 -2.361264 -0.056364 0.856664 0.133034 0.604944 -1.268644 -0.725482 -1.344921 -0.719106 -1.626293 -3.452565 0.354852 -0.803562 -3.260397 0.925565 -1.814597 0.103891 1.458181 0.257966 2.278801 -2.469652 0.804683 -1.369620 -1.741594 -1.157699 -0.623105 0.112331
4 1798744.1236998867 0.0000000000 1.0000000000 0.4820862662 67.0000000000 5.5219338219 0.8698012138 5.1446514442 0.1212722298 4.7404702160 0.1056817765 26.4674384827 -356.3625557660 27.5607351378 7.0080558677 0.752851 -2.198802 0.596476 2.652772 -1.389136 -0.299269 -0.870307 3.698527 1.344590 0.814924 -1.539832 1.078498 -1.348665 0.063661 -1.271692 1.352867 1.153182 -0.416598 0.792013 -2.186123 -2.982515 0.878783 0.333347 1.270063 4.766290 1.888959 -1.825644 2.234033 -2.631815 -0.923169 -0.136483 3.426685 -1.489510 -1.652877 -0.196905 -1.326957 2.253272 -2.159863 -2.294937 -0.875640
5 172937.8177586766 0.0000000000 1.0000000000 0.4820862662 67.0000000000 5.5219338219 0.8698012138 5.1446514442 0.1212722298 4.7404702160 0.1056817765 26.4674384827 -356.3625557660 27.5607351378 7.0080558677 -0.996065 3.859064 1.898842 0.175102 -2.450871 1.688726 -2.000431 -3.089542 2.376060 0.633885 1.841718 0.637455 1.713661 -1.302051 -2.068486 1.363189 -1.606819 -1.379100 -0.911065 0.034958 -0.707988 -2.749903 -1.287237 -4.446806 1.250463 -3.204115 -2.208767 0.104330 -1.479126 3.086029 -2.585714 0.534102 -0.078566 -2.336187 1.046553 -0.343093 1.543581 1.647008 4.326472 2.673056
6 95065.6482154433 0.0000000000 1.0000000000 0.4820862662 67.0000000000 5.5219338219 0.8698012138 5.1446514442 0.1212722298 4.7404702160 0.1056817765 26.4674384827 -356.3625557660 27.5607351378 7.0080558677 -0.738364 -0.478758 2.199319 1.310527 1.280263 -3.233912 -0.048652 -1.476062 0.559849 -0.196301 1.820358 0.634436 1.572656 -0.932838 -1.888893 -0.820099 -0.034041 0.758303 4.518618 -0.084514 -1.911890 -0.691964 -0.927192 0.962963 -3.081594 0.126524 0.313013 0.464362 -1.194632 -0.475843 -2.848122 -0.986640 -1.085723 0.832100 -2.312365 1.562396 2.988969 -4.139970 0.852517 1.353816
18 30690.7456054271 0.0000000000 1.0000000000 1.8861410367 1.0000000000 6.3094410236 0.9975904862 3.1265267071 -0.0716742919 2.6514125263 -0.0607825019 9.7751692503 -1289.9934481743 26.8557532011 6.8225958236 -3.228705 -3.680736 0.136285 2.307967 1.492812 0.132584 -0.313485 1.197926 2.377365 3.745114 1.068328 2.014266 3.547873 1.227990 1.625215 -0.501205 1.004741 0.423262 -0.009310 2.369547 -1.532680 -0.473036 -5.000000 -2.267691 3.272026 -1.993923 -3.257216 0.740669 0.778963 1.184665 -2.443419 0.674561 -4.497470 -2.586278 -1.487629 -0.227110 2.256278 -0.141796 5.000000 -1.043869
23 10052.2753055002 0.0000000000 1.0000000000 1.8861410367 1.0000000000 6.3094410236 0.9975904862 3.1265267071 -0.0716742919 2.6514125263 -0.0607825019 9.7751692503 -1289.9934481743 26.8557532011 6.8225958236 -2.688130 -2.153454 1.783498 2.332076 -2.068191 2.161559 -0.681526 -3.045087 0.518502 2.463213 2.495994 -3.486768 4.778143 0.342694 -1.890182 1.247010 -0.726960 2.291786 0.395058 2.676013 -4.831442 -2.231110 -1.999438 -2.358982 -0.509433 0.706395 -2.431051 0.111072 -1.720158 0.134051 -2.462913 -2.985775 -3.155768 -3.131719 -0.962993 0.340035 0.048886 1.800997 -2.101750 -1.588565
41 448.8575346314 0.0000000000 1.0000000000 1.8216535146 2.0000000000 6.2982530733 0.9957982017 4.4104898497 -0.0951269608 3.8109355571 -0.0830184061 19.4524207147 -1215.7880735294 24.7893203527 6.3466124693 1.764687 -3.813120 0.956373 2.863762 0.218531 -1.300415 -0.511504 0.537052 0.762420 -1.957533 1.848461 1.688186 0.722983 0.279193 1.151724 -1.326142 -3.997311 3.662493 3.824482 2.710041 -3.648526 -0.928583 -4.603298 -3.865495 0.721797 1.116856 -1.269504 0.293773 -0.837283 -1.280796 -2.017584 1.245987 -0.238735 -4.705177 -0.435742 -0.848797 0.280809 -1.403086 1.095680 1.381510
1005 989746.8919433218 0.0000000000 1.0000000000 0.7913683973 67.0000000000 5.6028712060 0.8826992514 5.1434531798 -0.2086920766 4.4298692050 -0.2090238829 26.4551106129 -623.6401588711 25.5194217028 6.5239291010 -3.096905 -1.663649 2.850281 4.552666 -1.316357 1.423136 -0.106072 1.585989 3.528441 3.136986 0.719543 4.009423 5.000000 -2.225524 1.875066 0.557210 -1.939428 3.996032 3.285711 3.459982 0.541004 -4.626896 -0.817796 2.499855 5.000000 -1.635576 -1.564782 1.470599 -1.980948 1.810248 -1.607760 -0.212128 -0.487236 0.941585 -3.949240 -1.611399 3.102781 1.228463 -0.537968 -3.088213
evaluations raw_y rep iid sigma t d_norm d_mean ps_norm ps_mean pc_norm pc_mean ps_squared loglikelihood mhl_norm mhl_mean x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39
1 88529.2389010669 1.0000000000 1.0000000000 0.7913683973 67.0000000000 5.6028712060 0.8826992514 5.1434531798 -0.2086920766 4.4298692050 -0.2090238829 26.4551106129 -623.6401588711 25.5194217028 6.5239291010 3.248691 -1.223513 -1.056344 -2.145937 1.730815 -4.603077 3.489624 -1.522414 0.638078 -0.498741 2.924216 -4.120281 -0.644834 -0.768109 2.267539 -2.199783 -0.344856 -1.755717 0.084427 1.165630 -2.201238 2.289447 1.803181 1.004989 1.801712 -1.367456 -0.245780 -1.871539 -0.535776 1.060711 -1.383322 -0.793507 -1.374345 -1.690411 -1.342492 -0.025329 -2.234621 0.468831 3.319604 1.484088
14 26405.4799504469 1.0000000000 1.0000000000 0.7913683973 67.0000000000 5.6028712060 0.8826992514 5.1434531798 -0.2086920766 4.4298692050 -0.2090238829 26.4551106129 -623.6401588711 25.5194217028 6.5239291010 2.885754 -1.079363 0.256754 3.520830 1.933079 1.426098 2.612412 -1.209206 1.273167 2.818507 3.241825 -1.612370 -0.503348 0.765430 -0.577995 -0.783632 1.368003 -0.706820 -3.575826 0.723695 -0.848986 -1.463062 -3.131476 2.027645 -4.454225 -3.398667 -0.551692 2.457911 2.619412 -2.309965 -0.355264 -3.020913 2.022414 -2.953125 -0.286391 2.065968 -0.444828 2.940321 -1.740016 0.738381
37 9284.6650845573 1.0000000000 1.0000000000 1.8448150288 2.0000000000 6.3015155865 0.9963117234 4.5608400108 -0.0306976431 3.9535697161 -0.0254095671 20.8012616040 -1239.2756592724 25.4327906156 6.5188052396 3.402560 0.367220 -1.778027 -1.342725 2.421031 -1.968887 4.405393 -2.740957 0.379451 -2.125985 2.807375 0.408693 -1.219551 -1.210769 -0.610253 -2.145854 5.000000 -0.309386 -1.355804 1.384706 -0.603535 -0.792658 -1.308900 1.009301 -0.243388 -2.893430 -1.907972 -0.472476 -3.241458 0.846829 5.000000 -2.755388 0.062279 -5.000000 0.964413 0.327028 -3.914453 0.304562 -4.123950 4.943177
46 3949.5109352788 1.0000000000 1.0000000000 1.7831488942 3.0000000000 6.2909586352 0.9946046859 4.4530719564 -0.0939912924 3.9565029292 -0.0797519055 19.8298498493 -1267.5926592149 27.3309049078 7.0084089885 2.340482 1.853054 -0.139831 3.504782 3.472010 -2.774491 -1.343822 -2.906911 1.351296 -1.682468 1.962044 -2.914196 0.738581 1.297564 -0.121991 0.195853 3.712422 -2.638661 -1.400662 0.866086 -3.561052 -1.227120 -0.638539 1.874252 -2.617404 1.942454 1.863425 -2.992657 -0.742727 1.571529 2.438176 1.432780 1.220561 -3.778502 -0.166944 1.505468 -2.315666 -0.722638 2.556985 -1.562324
