fid,iid,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_distr.costs_runtime,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_meta.costs_runtime,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,disp.costs_runtime,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,ic.costs_runtime,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,nbc.costs_runtime,BFGS,DE,Elitist,MLSL,Non-elitist,PSO
1,1,1,0.276067633971855,0.01188502281714608,0.0,0.37890044576522985,0.6078897321061402,5.58576225705498e-07,7.3574229856120685e-09,6.6658737206202604e-09,0.056223890096326265,0.6164565112633308,1.0,0.0,0.9999999999999999,0.4282678002125797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42156862745098067,0.7934181459456044,0.011376564277588153,1.3283897300671305e-07,0.040575916230366466,0.29230769230769216,0.03715062785718093,1.0,0.9999999999999991,0.9748131799475774,0.0,0.3788823312741586,0.04271740105896071,1e-12,1e-12,1e-12,1e-12,1e-12,0.00022007989347614737
1,2,1,0.26255954118893415,0.011702657210131842,0.0,0.31054977711738463,0.8649495352953268,7.465655655613803e-07,2.222937734708257e-08,1.0536202773428561e-08,0.022012971899949975,0.8669430735123064,1.0,1.1926223897340549e-18,0.9999999999999999,0.12752391073332348,0.06927097451236564,0.08080843716859043,0.11850781467976068,0.16864618724500735,0.0420588926419061,0.06212519184816423,0.11253843718637802,0.1565655295400843,0.06960075415939826,0.08088142577177693,0.1179304365390621,0.168833157039476,0.04431933145009748,0.062486424989779854,0.11171993271090486,0.15583881449054038,0.30952380952352954,0.7000618048270515,0.027303754266211594,2.3040705678772325e-07,0.06675392670157065,0.046153846153846434,0.06242404953416747,0.8922775249384336,0.9134624947801653,0.9347491421324086,0.0336809564435967,0.5378890127692565,0.02979448981423305,1e-12,1e-12,1e-12,1e-12,1e-12,0.0003670916834247383
1,3,1,0.25584241848251504,0.007703330345069148,0.0,1.0,0.8121930036178229,3.9958454512195115e-07,3.2797569487976286e-09,1.0066283517763889e-08,0.20725726864207938,0.8196801945428308,1.0,9.75781955236954e-19,0.9999999999999999,1.0,0.1498968789461611,0.05799226985913353,0.05776465743220105,0.1161735739457912,0.05743403752906473,0.04755232178616908,0.06620951831638666,0.1484950323366072,0.14929493550141537,0.05829443719762539,0.05804333778377935,0.11596471000320407,0.059694577534435966,0.04541241244013394,0.0645729048321163,0.1464074465465035,1.0,0.6976516108657553,0.022753128555176305,2.2347516189885618e-07,0.057591623036649206,0.27692307692307727,0.38106880388866404,0.9177485889676986,0.9449843617908718,0.9333143454469308,0.04471614041851346,0.4813715467691142,0.15785695055191606,1e-12,1e-12,1e-12,1e-12,1e-12,0.00029298939129595214
1,4,1,0.26763227560279457,0.01015694613308129,0.0,0.8276374442793459,0.8007996431040126,4.476761181528529e-07,3.833780299430901e-09,1.0320035731592925e-08,0.1735075306900934,0.8010417405417647,1.0,2.168404344971009e-19,0.9999999999999999,0.828905419766218,0.07987729905186902,0.04139761744531145,0.065297634207923,0.13776629114531902,0.07791917254219427,0.07199497704050173,0.052323024368172266,0.13900685818298442,0.07922772231658182,0.041804309283358876,0.06480441586349583,0.13749471082019293,0.07662850742460015,0.07214276814971254,0.0529836748164747,0.13765812841809744,0.8025210084033603,0.6982255349731168,0.022753128555176305,1.739907365353135e-07,0.0602094240837696,0.18461538461538485,0.32343325039060256,0.9257762294723308,0.9638301178549336,1.0,0.057992080906848376,0.4714636639396875,0.11657542852014713,1e-12,1e-12,1e-12,1e-12,1e-12,0.00022042013316428302
1,5,1,0.26504018258745504,0.009590336094860404,0.0,0.1812778603265972,0.7892822642698467,5.128890439206179e-07,1.2699867540060577e-08,9.840547388935665e-09,0.044310774970572994,0.7983623609932525,1.0,2.168404344971009e-19,0.9999999999999999,0.04923839886652104,0.056850255150026285,0.04812368137626999,0.0375470772475055,0.064079111527505,0.03425518325723509,0.10173592039597379,0.05629080426906374,0.046079222207964676,0.05608051054356045,0.04882800450076841,0.036103741601629324,0.06472627455279334,0.03407524220521896,0.10037836288334767,0.05308975948120809,0.04478544543663909,0.10504201680672232,0.6641885871351256,0.020477815699658675,1.739907365353135e-07,0.054973821989528784,0.23076923076923084,0.079769689254094,0.9828005244384821,0.9957011159616753,0.9321373898491134,0.03734792914274143,0.4736022591350574,0.0,1e-12,1.0000000000000002,1e-12,1e-12,1e-12,0.00017973607022548605
2,1,1,0.32332877849033137,0.010050436626436541,0.0,0.09361069836552716,0.6628165021637251,0.005986132827976053,0.0004634824433001743,0.004483634685037323,0.7087383727109585,0.6628104272957587,0.996977663788445,0.5376092920567654,0.9989333518549817,0.035069075451715115,0.44348433008462185,0.5243265108211956,0.5199326556070141,0.5728978177390842,0.4002144737561115,0.44660812942053596,0.49388630625249563,0.5625268366172569,0.44327559388293986,0.5245444614843222,0.5197097680661374,0.5727097173179099,0.4002305696152911,0.44486190309541507,0.49307280849287516,0.561076549247498,0.0896358543414566,0.579046009285507,0.6587030716723553,0.050524646709483145,0.7630890052356021,0.36923076923076925,0.5380909669579306,0.45840379387450936,0.5739139623491782,0.5381685050915284,0.4515125979592698,0.6263775495508647,0.32576505429417557,1e-12,0.5581649339355692,0.1003323420829544,7.2601358898394705e-09,0.0035237795804156724,0.03358892464254011
2,2,1,0.2859566529107836,0.0005669550181071036,0.0,0.33432392273402645,0.016210388194383404,0.004568105186166698,0.0006723328391082092,0.0004093427002533768,0.024296006829437923,0.008213579392274448,0.9985520730579783,0.9999999999999999,0.9985674068473418,0.2688629117960124,0.5872739691381472,0.4940367552687448,0.5530908635024947,0.5809097851333602,0.6521840486317882,0.5531928745943413,0.5015573113458982,0.582179179512083,0.5869785927875648,0.4939982860068447,0.5532912010390776,0.5807699476094209,0.6523390371493785,0.5529955494827294,0.5013937015213124,0.5817957433722298,0.2647058823529411,0.6620318145075998,0.647326507394767,0.05540428807879782,0.7761780104712042,0.3384615384615386,0.653130605867716,0.5008094228271742,0.6429460030807741,0.5071644313378891,0.4052635259301609,0.3794235305667044,0.32136767477340034,1.222389776506578e-12,0.7259289012633966,0.03460691012914417,6.001065729253505e-08,0.009040434325751343,0.05108147961932986
2,3,1,0.31862736055244884,0.007484400724288123,0.3333333333333333,0.2719167904903417,0.8342343039280585,0.009974661124096333,0.0007404149148023579,0.008927475256600741,1.0,0.8331266058979131,0.9981572211104547,0.31282401541276517,0.9986157957603736,0.3195182430039445,0.49037852909901614,0.5758635040901596,0.5572918336673316,0.5705674871336068,0.48294248278677965,0.538089060880887,0.5297395901162301,0.5830740820531828,0.4900417218129458,0.575905555981872,0.5573965228632233,0.5704867002792111,0.4824141098578923,0.5378452023297231,0.5300751659255435,0.5821056814085608,0.15966386554621792,0.30298840831457197,0.6825938566552905,0.04298508200208793,0.7670157068062828,0.29230769230769216,0.7395984028702043,0.4221846413737884,0.6347429157281015,0.558483820398413,0.3699598243859823,0.7176067668998959,0.2819707439648208,1.1111948882532891e-12,0.6234160868597988,0.5522152785861224,2.4484780054715215e-08,0.004364619974599137,0.17899660587056168
2,4,1,0.3058460260687355,0.002902731573799373,0.3333333333333333,0.24814264487369986,0.869801744803431,0.011226584996042482,0.000839006872853777,0.0099497450890072,0.881192746050347,0.8699508472816025,0.9970422045156508,0.2199477733711904,0.9973007209851501,0.20864328728308745,0.48680388808406216,0.5538641859281037,0.5259793759720497,0.5337957930271133,0.48312697839492325,0.5565323451881568,0.5258557109391739,0.5670319698016897,0.48635842911247634,0.5543397896057097,0.5256068034614343,0.5337903112001972,0.48232251905275403,0.5562530258974263,0.5262322011233687,0.567674641308529,0.19467787114845958,0.18573789081961456,0.684869169510808,0.05418502558655419,0.7801047120418849,0.1538461538461542,0.6857965395521095,0.5339252870532167,0.6668869461739808,0.5651190611101513,0.353446236836751,0.7094694921490706,0.28677196446199404,1e-12,0.6041663827990731,0.22464735690980306,2.578020050286603e-08,0.005811095511945216,0.09689305906957654
2,5,1,0.28495309887188436,0.0,0.0,0.5274888558692421,0.00557478089633799,0.004507385047800889,0.0007453492702801237,0.00037775578707113983,0.016889571898865648,0.002438641522835421,0.9985271290758894,0.8055926720114813,0.9985388543211834,0.3499822883457764,0.6511396746204063,0.4700650993066908,0.5659537133443175,0.5807546500383531,0.6680096664741333,0.4696861633030429,0.5375473787002829,0.5808532660625443,0.6508420417653067,0.4703750327862891,0.5658065449305039,0.5807030983331939,0.6673868470123594,0.47002231748039286,0.5384205747104476,0.5804942425070061,0.41036414565798296,0.699065365382602,0.6461888509670083,0.0586865984969644,0.7748691099476439,0.3999999999999999,0.7205022857473526,0.5149055583271342,0.6261995604739772,0.4668036416657202,0.40325679042816853,0.37487499657993184,0.35080319483083533,1e-12,1.0,0.15986386318815848,4.58270160881604e-07,0.004134117200992423,0.05267788368775946
