fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,bsf-progression_1.0,sigma,d_norm,d_mean,ps_norm,ps_mean,pc_norm,pc_mean,loglikelihood,mhl_norm,mhl_mean,std_y_last_1,mean_std_x_last_1,std_y_last_2,mean_std_x_last_2,BFGS,DE,Elitist,MLSL,Non-elitist,PSO
1,1,0,1,0.6509103402698349,0.20886848032270858,0.0,0.8038793669516946,0.31617624083114554,2.1987564331820265e-09,5.847997284638393e-09,0.000784849175296108,0.9999999999999953,2.416909826842648e-10,0.0,0.0,0.25471599018544183,0.1479958910305223,0.0,0.0,0.24786185272537925,0.18324637135102706,0.6681435183289124,0.6681435183289124,0.28417606639948495,0.2023245393731966,0.6430169362801665,0.6430169362801665,0.2755357920753644,0.22958746525315687,0.8286018201247918,0.09134615384615377,2.368260322138793e-08,0.1572481572481573,0.5454545454545456,0.8922619418763768,0.549966049254766,0.9058654392457317,0.7497864715721674,0.5481433259735307,0.7601604544076682,0.44945236044881476,0.1455236048326114,0.1257775359259341,0.4866511287802368,0.7752069851101071,0.6133625522421999,0.7752069851197371,0.46586009773997805,0.6897049672971973,0.6039926744230442,0.41966964349447866,0.07838445736130728,0.507224078309556,0.34409024232685503,1e-12,1e-12,1e-12,1e-12,1e-12,1.8950220411512477e-05
1,1,1,1,0.510657633851855,0.058677691229725146,0.0,0.7599607830175089,0.31617623886750046,1.8611316520262323e-09,3.673607349311848e-09,0.0005862556515030158,0.9999999999999951,5.867776493103001e-11,0.0,0.0,0.3080862382333353,0.17504725135688387,0.0,0.0,0.28352973608363896,0.17192376031910445,0.7879807674994956,0.7879807674994956,0.341246550030845,0.2448559199850872,0.6543292890315691,0.6543292890315691,0.3094156788062381,0.2204080793328303,0.6173911261921317,0.07211538461538461,1.2809447786727356e-08,0.08353808353808351,0.6363636363636365,0.7335376385321514,0.6600413217754086,0.8539793519382141,0.6214132527514076,0.535821290430269,0.6971262822973383,0.21648126443914295,0.21055173061748,0.2111265033528955,0.2432384565159576,0.40418765654325406,0.40291952780621326,0.40418765653108935,0.8048014444663156,0.5516270625003008,0.5627528476953272,0.2812289488600027,0.22962315544963086,0.24198809464709092,0.1841624929837442,1e-12,1e-12,1e-12,1e-12,1e-12,3.49685190838853e-05
1,1,2,1,0.5832806767666875,0.11674321966569656,0.5,0.8052720397581903,0.31617623411729456,5.861950835169878e-09,4.06186260866935e-09,0.0001556681718353337,0.9999999999999962,2.4539360208566605e-11,0.0,0.0,0.27489961621065423,0.22735384686708743,0.0,0.0,0.2655815564804981,0.19710398249981143,0.422219247286443,0.422219247286443,0.28118359878886856,0.24433201264473797,0.4081087225892883,0.4081087225892883,0.27046070087219665,0.21372571033766097,0.5668938185766375,0.07211538461538461,1.2809447786727356e-08,0.14987714987714987,0.5454545454545456,0.8619131214413683,0.813821404768154,0.901800620845431,0.3425050294820957,0.34012572865336577,0.5198746490793926,0.7182793204609288,0.6778179962010302,0.6580040713259532,0.747152208697085,0.2725985671740488,0.8385794015477673,0.2725985671873127,0.5130133670847812,0.3320101800714781,0.42541845282910695,0.3042378314794886,0.339947088283044,0.3464458191965093,0.5792269569340727,1e-12,1e-12,1e-12,1e-12,1e-12,5.67246649635175e-05
1,1,3,1,0.545195886502323,0.13326896507028763,0.0,0.3685737872317493,0.3161762380522677,8.389306849635977e-10,1.4033694642236772e-09,0.0005693764113666056,0.9999999999999916,1.964925666836717e-11,0.0,0.0,0.21891108889123517,0.25883910569900176,0.0,0.0,0.211678562327978,0.26875522480182257,0.23661091413616964,0.23661091413616964,0.2049949905587548,0.2553247782647579,0.24135870033804796,0.24135870033804796,0.19579606470682964,0.2740626965186029,0.8286018201247918,0.06009615384615384,1.1483870385729955e-08,0.13267813267813264,0.6363636363636365,0.8563176727785505,0.8218714908340021,0.8894786322632868,0.3509626048594681,0.19677711705801304,1.0,0.48468663316324845,0.3775077617967142,0.3818550960864666,0.5219708969198484,0.3468424869090202,0.6438983446467541,0.3468424868941863,0.674101467016957,0.4248235509709706,0.42249876108483053,0.03564692521615245,0.8784429823721542,0.1674742725623236,0.7496986176516929,1e-12,1e-12,1e-12,1e-12,1e-12,7.953984376983082e-05
1,1,4,1,0.6805726576021927,0.1919569467892979,0.0,0.879016167248862,0.31617623783203025,5.552019847301123e-09,3.751286358724238e-09,0.00015152901438090263,0.9999999999999948,5.0722446398197493e-11,0.0,0.0,0.4407896463756242,0.3547553098135548,0.0,0.0,0.4181450356329311,0.32978522380807596,0.5739356978935692,0.5739356978935692,0.4505056686322643,0.38554724182853917,0.5102573654428451,0.5102573654428451,0.42971578588423676,0.3598094671036838,0.7581982554805717,0.05769230769230767,1.116906370725705e-08,0.12530712530712532,0.5454545454545456,0.801799259922105,0.6666512075084858,0.900744445242863,0.5908957983006204,0.7341891795087534,1.0,0.2777047910135546,0.224379163162574,0.24725932569824316,0.3089401991251382,0.596810942305252,0.4597221309760044,0.5968109423173121,0.5392938952705988,0.6250497203656846,0.6617921484455549,0.06939375310365462,0.28773830989594407,0.4462268397413941,0.39430200384555736,1e-12,1e-12,1e-12,1e-12,1e-12,0.00016648270127472508
1,1,5,1,0.596015480370987,0.10668551088124259,0.0,0.8604456585953115,0.31617623728549793,3.9234282280280644e-09,4.38413801509063e-09,0.0002942352863978459,0.9999999999999902,5.86404719135061e-11,0.0,0.0,0.19794200042483417,0.21276603044708925,0.0,0.0,0.19643413332679038,0.17944578052053411,0.5776817589154741,0.5776817589154741,0.22226288169297898,0.24999673014078083,0.5945195967701089,0.5945195967701089,0.22212029508819425,0.21962346760904106,0.6173911261921317,0.045673076923076886,5.016276986675062e-09,0.056511056511056465,0.45454545454545453,0.7500431845852161,0.777401472476853,0.8572020011172083,0.437058436770061,0.6259500287249258,0.8116693785132638,0.31377330684773863,0.31812603828390706,0.3348875422380875,0.3470517600312118,0.43006231875632117,0.4926715746656621,0.4300623187707103,0.5505958702931348,0.5843929546748479,0.6324384167253558,0.30455253010484373,0.42545780613245476,0.41702808423564064,0.3835465903863087,1e-12,1e-12,1e-12,1e-12,1e-12,0.00016689133134289785
1,1,6,1,0.5909581152938022,0.07952475349654838,0.0,0.6066237917947287,0.3161762389474917,1.1718780897056197e-09,1.945284847185714e-09,0.0005270681838886147,0.9999999999999585,7.786678756210169e-11,0.0,0.0,0.3043324244192776,0.28604283835489147,0.0,0.0,0.29082592214538894,0.19856422969471865,0.4238818057022451,0.4238818057022451,0.31077990313706466,0.3042979869225127,0.3879711946989186,0.3879711946989186,0.2948105087369285,0.2127936617193339,0.7581982554805713,0.06730769230769226,1.0570580580394588e-08,0.1474201474201474,0.3636363636363637,0.9291170322668866,0.6914509738784784,0.8677597846871142,0.6358131923819422,0.45995117117160145,0.8621570202617994,0.3131065083269058,0.35624889601561094,0.37873151873303,0.3463511142684991,0.7003065529200548,0.4920658296862867,0.7003065529354708,0.3238662840396245,0.715855134263939,0.8458293814628945,0.1635914475525073,0.36667825641967,0.1809058093316553,0.5431488265442219,1e-12,1e-12,1e-12,1e-12,1e-12,6.395401191960752e-05
1,1,7,1,0.41763842638378335,0.06697576833615806,0.0,0.21391567093051567,0.31617623511599574,2.3388677361173343e-10,5.151835927889769e-10,0.0010723526826056156,0.9999999999998999,4.891833890274897e-11,0.0,0.0,0.36328311758454407,0.37838682517680183,0.0,0.0,0.34207921325766266,0.3363293543106547,0.4893781227209315,0.4893781227209315,0.3731533255768243,0.4026284935615496,0.41794263899489303,0.41794263899489303,0.34969034192936127,0.360887599677035,0.5668938185766375,0.05769230769230767,1.506775999945128e-08,0.14004914004914007,0.5454545454545456,0.7188499496224096,0.707828541638063,0.7729409198613588,0.45200003263127797,0.13616774046525615,0.8509618885918526,0.26433621805558793,0.2635693492903233,0.2716010025683637,0.2947034267075754,0.6443239088222443,0.4474136943589695,0.64432390879125,0.526416134001571,0.6656930825157534,0.7891185514763801,0.06682374343397726,0.5271657730145807,0.0,0.43367314477453744,1e-12,1e-12,1e-12,1e-12,1e-12,3.305136301404136e-05
1,1,8,1,0.6914752955061712,0.32002540244409305,0.5,0.5003005349521079,0.3161762334893545,2.219841592630103e-10,5.470172545512552e-09,0.007787055777717126,0.999999999999992,8.473621373257696e-11,0.0,0.0,0.24308662764797034,0.16029675594960352,0.0,0.0,0.23809964114658672,0.13593794306802914,0.24146273529496698,0.24146273529496698,0.23144732635873871,0.14834838974971581,0.272657779901869,0.272657779901869,0.22817488503080186,0.12884259457919556,0.6173911261921317,0.07451923076923077,2.4963111059309666e-08,0.16461916461916465,0.3636363636363637,0.8318239723282627,0.6902967267444557,0.8672710611064453,0.5805582821578459,0.406615941944691,1.0,0.524252913760205,0.23804456052294043,0.2100321360631181,0.5611939553230612,0.6396991634171222,0.6778087362486724,0.6396991634054885,0.30855534303651666,0.7494332433443498,0.7345951973708875,0.18365041619651004,0.7142138969589775,0.4152861664572901,0.7931021929662969,1e-12,1e-12,1e-12,1e-12,1e-12,7.640701324717286e-05
1,1,9,1,0.531685993374698,0.06322197080283436,0.0,0.8858310264080856,0.31617623651762516,1.8951086303517507e-09,5.40261615910826e-09,0.0008510025474589337,0.9999999999999846,2.5131664002468745e-11,0.0,0.0,0.23980525385908724,0.02116522952341049,0.0,0.0,0.22613159504469554,0.062345948809727436,0.37690859899026163,0.37690859899026163,0.24150188636102504,0.024800067901214473,0.3187162690561638,0.3187162690561638,0.2201582503763666,0.05532461945813938,0.5668938185766375,0.06971153846153844,1.3524386078540885e-08,0.16216216216216217,0.27272727272727276,0.7743775065425792,0.7055691140160549,0.877883070214066,0.4727691575862306,0.6299826977732217,0.8023992134942243,0.31981153727330236,0.14023507231537558,0.1394246208887484,0.3533898272158062,0.3229852324150967,0.49815116626562134,0.32298523240845617,0.15228286767295707,0.9192042575271198,0.9496000118497723,0.30631985057052835,0.538794844829269,0.45840713190042603,0.6129888996451496,1e-12,1e-12,1e-12,1e-12,1e-12,1.830662805414036e-05
