fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.lda_qda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8
1,1,0,1,0.08311522539781671,0.004647713766875785,0.14285714285714285,0.9081211469526898,2.2153565504187506e-07,1.038367953473115e-08,1.765584654235262e-08,0.0032985239167434483,0.0,0.9999999999999999,0.09429280397022327,0.0821917808219178,0.25026068821689246,0.052481145148458364,0.04810664543984816,0.057563150219660686,0.07828947277171983,0.042026616164439035,0.0420391855304017,0.050935530566696474,0.07907361118379386,0.24834517844067305,0.24484880555285293,0.25094088798012715,0.24564279180432858,0.19748355533180495,0.24425812789284684,0.2379194525526871,0.24829346488949278,0.6606774770944464,0.11568123393316192,4.2038949996768814e-07,0.14583333333333323,0.3939393939393945,0.7696148729038006,0.8605672029155507,0.9695092349680925,0.1995926383217767,0.7218390779875652,0.0,0.3407407407407409,0.34285714285714297,0.36530581271816676,0.17753623188405784,0.05485232067510555,0.467121757625447,2.2258071078132363e-09,9.628417811233303e-08,2.7914837074554513e-08,1.3244288732844455e-07,3.0688781439890716e-05,0.0028033080485823526,0.0028555853763736513,0.42267418706631704,0.4285828776224381
1,1,1,1,0.09358194701659057,0.005855541741372237,0.0,0.934095056390055,2.250485565635016e-07,3.753230230149244e-09,1.4996713221770828e-08,0.008040816111627049,0.0,0.9999999999999999,0.11910669975186106,0.04657534246575337,0.5104955342975022,0.1371334677254918,0.1088336349932727,0.10738613834035676,0.10237493038110645,0.1392771685068493,0.11089989104863796,0.11044913303319676,0.11758721134047068,0.33784098174470945,0.31839391857411203,0.3181190771603768,0.2953447678640504,0.3029848456857306,0.33330500509648375,0.32375187432776986,0.3205131540794207,0.7177907151212937,0.10796915167095114,3.765440405097412e-07,0.13095238095238085,0.37373737373737415,0.8526451577394747,0.8503525754569381,0.9837050686526974,0.2239117473046513,0.7445258028963656,0.0,0.4888888888888888,0.4285714285714288,0.4873832783506803,0.19565217391304343,0.14767932489451463,0.2446723381972793,2.6114095585898364e-09,1.3042859415342018e-09,1.249437378802069e-07,2.006286743456019e-07,3.6895862930870286e-05,0.0020921563990825586,0.00695216964031226,0.6462952308332757,0.7206462989183184
1,1,2,1,0.0927472415754521,0.005856460808802684,0.2857142857142857,0.9094445519439398,2.2502145171829353e-07,4.728978346317743e-09,1.3499093354954891e-08,0.005702574433941534,0.0,0.9999999999999999,0.16129032258064513,0.10958904109589049,0.36426833507125483,0.04500268660735923,0.02683302197457177,0.03657017692645631,0.056428128716843995,0.04749993364064198,0.02574943505277677,0.02862673617624306,0.062114462785407554,0.2564621624118121,0.24288211374733848,0.24972882975144217,0.24380309541870882,0.21618605677558,0.24874015609689593,0.2384828433942101,0.2531746781314689,0.6949135253241971,0.11053984575835467,3.369271321042675e-07,0.13095238095238085,0.21212121212121282,0.8306297354092917,0.9307893384426293,0.9901008473146051,0.09567920963371146,0.7428735774091824,0.0,0.1629629629629631,0.19999999999999885,0.21413549484143324,0.11231884057970998,0.08016877637130783,0.25663158001945297,4.026535366646572e-10,6.227286915848669e-08,1.2631163556411574e-07,1.686495305981294e-07,2.9554090788045967e-05,0.000562057040880883,0.0034469081113310753,0.44780113888596956,0.3927207574094034
1,1,3,1,0.0900996173021423,0.006915673079330612,0.14285714285714285,0.9122989671158176,2.2565988333312945e-07,3.1696522826125457e-09,1.6012326001015572e-08,0.010202677417789126,0.0,0.9999999999999999,0.009925558312654986,0.03561643835616446,0.07130443418243204,0.10507941305159185,0.10984948754112223,0.12558474547522785,0.15164939413194356,0.08885762591174712,0.09729775669451912,0.10941856473342709,0.13736021107901963,0.2621984984222643,0.26567530710486065,0.2759862818457276,0.2759044373709876,0.20331996122810703,0.2515498884472228,0.24675124004030036,0.2569885010371834,0.7469420826318789,0.11568123393316192,4.2038949996768814e-07,0.13988095238095236,0.3333333333333339,0.8359484327488342,0.8336168792018128,0.9686150269838079,0.21619168081321943,0.745487694287268,0.0,0.31851851851851865,0.25714285714285534,0.378509637274245,0.18840579710144914,0.1392405063291139,0.2500878439280749,1.2725280805738864e-09,1.7120098474999366e-08,7.162671618118364e-08,8.010352870586397e-08,2.9671504197955723e-05,0.0011359583049949495,0.0025869885248587256,0.511260588722072,0.6419519723910305
1,1,4,1,0.0883342667045967,0.0050099520251535344,0.14285714285714285,0.9191138276050044,2.213529739975779e-07,2.4221949474844202e-08,1.7202515712679724e-08,0.0012625281356979958,0.0,0.9999999999999999,0.08933002481389579,0.0821917808219178,0.23357664233576664,0.08088359121903133,0.06548580278667127,0.07164715650215164,0.09387010681924712,0.07005836284136019,0.05661169241876135,0.06112272009832148,0.09050524006566185,0.2880950054025291,0.2772539636522653,0.28191084800620214,0.27905402006808777,0.23356078325681817,0.2721399690922002,0.26376012412158323,0.2758512963730849,0.7178436376483601,0.11053984575835467,3.5623347450629754e-07,0.12797619047619035,0.34343434343434387,0.8223798693231208,0.9029885726362501,0.9847295264438909,0.12650190444643045,0.7786868124827744,0.0,0.3407407407407409,0.22857142857142798,0.4191774169069662,0.19202898550724626,0.0759493670886076,0.4147984694476396,3.402071029918489e-10,1.956444436083769e-08,6.120473574197226e-08,1.7838037443978453e-07,1.6565948925961966e-05,0.0013736165421136084,0.0041720998263583145,0.6720381582949909,0.6494496975441826
1,1,5,1,0.08975583497719283,0.00584877673340496,0.14285714285714285,0.9097044805520793,2.2471768402144897e-07,9.877566151600195e-09,1.3644565886465717e-08,0.002657216867510589,0.0,0.9999999999999999,0.10918114143920593,0.07671232876712336,0.32109470757184927,0.02269405553829401,0.026284917544918573,0.03625510122144476,0.04575453708581534,0.02213263929082504,0.020762553149717422,0.02721411727030648,0.04502942126021425,0.25288259663433355,0.2560197698336919,0.2636894413143125,0.25028033711637043,0.20205212190767763,0.2509076407938685,0.24367907855334703,0.24624442551630754,0.6846941427943554,0.10539845758354754,3.369271321042675e-07,0.13095238095238085,0.1313131313131315,0.7826672597269599,0.9051063005425952,0.9850685206115486,0.06803402210913878,0.706938816351096,0.0,0.27407407407407414,0.31428571428571406,0.30177797758986524,0.1666666666666665,0.03375527426160328,0.545189232823124,2.19421177866659e-09,6.64061171382011e-09,1.1223030694313677e-07,1.277007949755443e-07,1.540522351329741e-05,0.0009019027513814286,0.002356201842779706,0.45589477922644933,0.5424933600735892
1,1,6,1,0.09002603112751864,0.005232078597020285,0.14285714285714285,0.907833890506847,2.225823443811756e-07,1.560557103651253e-08,1.3457569788008385e-08,0.0015846951920328485,0.0,0.9999999999999999,0.14143920595533485,0.10136986301369855,0.3344392833443928,0.027522853802006253,0.011674352524888021,0.020217425693277835,0.05060758694947054,0.030711879933052966,0.009981318240934345,0.020891707926417535,0.06162191580035181,0.2576946362897,0.24642105740174958,0.2529669131193131,0.2555007033205119,0.22091741999253323,0.2574507935530628,0.2542571810193186,0.2748474069601369,0.721119386810221,0.11053984575835467,3.369271321042675e-07,0.13095238095238085,0.5353535353535359,0.8236513373041685,0.9254493807983195,0.9846821756272313,0.12059505995068026,0.6876367365590687,0.0,0.311111111111111,0.08571428571428563,0.46007993119846236,0.253623188405797,0.12236286919831214,0.3784457441820292,4.091313047881552e-09,6.067320110828589e-08,2.1193783299878226e-06,3.1226557958003966e-06,0.00012757107586356756,0.0023879411713450655,0.0064453506506093,0.3244031004062733,0.4150219426403141
1,1,7,1,0.0842248855899418,0.004150304924039633,0.14285714285714285,0.9367741975468118,2.257911376785348e-07,7.958440599294331e-09,1.4149916601738556e-08,0.003474026284856465,0.0,0.9999999999999999,0.06203473945409421,0.06301369863013695,0.2002085505735141,0.10224990037412646,0.09791641863135825,0.11496918587416577,0.1440685503973368,0.0974217668185367,0.09143043239078597,0.11132819342690886,0.14851996443665705,0.2845527588763642,0.281551975734621,0.29392817396469384,0.2970018705085832,0.24281425100965648,0.2847221673317316,0.2881830659882497,0.30713478050250653,0.7183798512611421,0.11825192802056553,3.9791106502376133e-07,0.13095238095238085,0.3131313131313136,0.8475408693585651,0.8608638520127556,0.9803465287047848,0.18073288651158453,0.7934505225745822,0.0,0.32592592592592573,0.39999999999999947,0.32522277388721454,0.23188405797101433,0.17299578059071719,0.24763394289380813,5.990552893592157e-09,6.569355220334038e-08,1.4443283783703827e-07,2.629767463310696e-07,1.4157880761121732e-05,0.0010228021840284762,0.002543195290191855,0.5662195256266278,0.5339571658012267
1,1,8,1,0.08698562334373754,0.004935763390262754,0.14285714285714285,0.9228943447785697,2.2653360119362497e-07,5.7249590446060406e-09,1.3252513300682541e-08,0.004589546626455621,0.0,0.9999999999999999,0.12158808933002471,0.0794520547945205,0.3529538671748588,0.0992423117772771,0.10004891312704667,0.11505087091281235,0.1194568833953249,0.07783190834639525,0.096373510321633,0.11426638720652366,0.133425193873984,0.271705408727245,0.2723500837076823,0.2826354981122239,0.26478849501604995,0.2193826841080564,0.2792400433454493,0.2807365387340188,0.28480053659600413,0.6287218330790108,0.11053984575835467,4.689148491797638e-07,0.13988095238095236,0.323232323232324,0.8621355407601135,0.8495652745815541,0.9764166629989637,0.26405770305520754,0.7609521654815463,0.0,0.3629629629629626,0.4571428571428562,0.3420852936712703,0.11594202898550715,0.14345991561181443,0.14607688079143427,3.42345679487493e-10,5.947319231974296e-10,6.420198491784142e-08,8.661349242750041e-08,7.690247479441653e-06,0.0005169466009880666,0.0027777184223286185,0.5036538661014502,0.5077335848617953
1,1,9,1,0.09173832759782802,0.005659927122117088,0.14285714285714285,0.9092415981754097,2.2551538395422296e-07,1.1878829190606122e-08,1.7165280647762893e-08,0.0027749422027624196,0.0,0.9999999999999999,0.06947890818858551,0.05205479452054801,0.27198470629127564,0.06864267640000893,0.0705912841231151,0.07996102940297473,0.09303311092307254,0.05808179461463209,0.06614591527165753,0.07414688434694622,0.09966228189019799,0.27463219892427004,0.2766572966542119,0.2835807839511236,0.2734605214232404,0.22518028279269697,0.2801099319982142,0.27465271832667637,0.28397641859871536,0.6646260955340901,0.11311053984575829,3.5623347450629754e-07,0.12797619047619035,0.45454545454545503,0.8378242570275338,0.8705041907937101,0.9807784571211808,0.20064661726891792,0.7675043080576469,0.0,0.32592592592592573,0.25714285714285534,0.38731218697829717,0.15217391304347802,0.1012658227848101,0.2743135903089212,1.2229490538782614e-08,4.084539768322739e-08,1.5563155781377357e-07,6.01627268556664e-06,2.3595640384369885e-05,0.001399951696497238,0.0022129469128738376,0.48324182846578223,0.4948707060996997
1,1,10,1,0.0951952622131019,0.006441493375203554,0.14285714285714285,0.8879239932843439,2.2090094626000911e-07,1.2717605076832292e-08,1.6537508161684257e-08,0.0024790850003924615,0.0,0.9999999999999999,0.21339950372208435,0.15342465753424656,0.3623382199595167,0.08338453133172924,0.07859099224657407,0.09912547159157042,0.1207429552792163,0.07604070755845949,0.07128585612700339,0.08748015658665304,0.12450881580980278,0.29909838289811375,0.2966640621540457,0.31276275633016803,0.310596115769342,0.24919969697580968,0.29603792105446336,0.2976229921303183,0.31651362761111057,0.6591985958261803,0.11053984575835467,3.9791106502376133e-07,0.13392857142857137,0.323232323232324,0.8482784030127188,0.9400246173306712,0.9885811362719155,0.07650060051585722,0.6999538246498208,0.0,0.10370370370370352,0.31428571428571406,0.1069592831964079,0.19927536231884038,0.06329113924050632,0.47636334982467426,1.1348850201612394e-09,2.9776694603121265e-08,2.401243798311396e-07,2.9240025694902347e-07,2.8326915778860787e-05,0.0006333529986433938,0.0020546953895606204,0.34045936112732483,0.40925761421095475
1,1,11,1,0.08405160910016113,0.004463375172360848,0.14285714285714285,0.9269663548050925,2.2372125677501175e-07,3.1360206805872013e-09,1.4297069448276171e-08,0.009210081645558938,0.0,0.9999999999999999,0.039702233250620264,0.04657534246575337,0.1681098970848256,0.032687174266581465,0.02800519536417656,0.03912971651689673,0.05760301973707216,0.033840605754009045,0.0239373213132813,0.0374479242014259,0.06562372459886345,0.25185490639890873,0.24860210591501175,0.2567511426476776,0.2500210629211084,0.21141859036617427,0.2538982394984548,0.25214738783436885,0.2630256483218084,0.7229060570183528,0.11311053984575829,3.185753610664141e-07,0.13095238095238085,0.4141414141414148,0.7797564343913077,0.8846725042031736,0.9813391245095637,0.13303840986344556,0.7340856298278643,0.0,0.28888888888888886,0.22857142857142798,0.3563272120200335,0.23188405797101433,0.11392405063291138,0.3678750935728799,1.5481390658446e-10,2.209339660999669e-08,8.173767916348051e-08,2.591173907964722e-06,2.7206486947193627e-05,0.0010016350970644386,0.0012699185547405667,0.44136226375258786,0.37450297625715695
