fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,sigma,d_norm,d_mean,ps_norm,ps_mean,pc_norm,pc_mean,loglikelihood,mhl_norm,mhl_mean,std_y_last_1,mean_std_x_last_1,std_y_last_2,mean_std_x_last_2,std_y_last_5,mean_std_x_last_5,BFGS,DE,Elitist,MLSL,Non-elitist,PSO
1,1,0,1,1.7660646039836836,4.064363461421698,3,0.5130608737636885,106.48957971827376,1.0833379597346124,4.680088172345801,4.320062940924079,0.7602511654525932,0.9999999999999856,1.0000001331879262,0.9999999999999972,0.3,0.125,2.4,0.1875,0.1,1.875,0.1933027446283831,0.2348107944266192,0.2466659881583873,0.3651793764096726,0.1985662328529155,0.2366139885045531,0.2590844536049941,0.3821033837665051,-4.15929561300759,-3.945281931566746,-3.884157073447348,-3.273107249546361,-4.022624268201405,-3.8316517493122846,-3.718866086995392,-3.101399049541443,0.8085218426932144,1.1261261261261255,0.8434619515486134,0.2452452452452451,0.6025641025641025,0.9911578967745208,0.9226394752935448,0.9551619964722976,0.1472469050599177,-0.3648885537597726,1.0900936163,1.4136552981,0.6269376084,1.2201616253,-0.5245015209,0.8026986526,-0.3497909084,-37.4098944974,7.0611558063,2.3596243527,1.913364515536163,0.6605863537066072,2.1574000312136503,0.7184124035566742,5.924761783804091,1.0562812362610263,0.0,0.0,0.0,0.0,0.0,1.2844e-06
1,1,1,1,1.448178332991134,1.736889587684309,1,0.6526431598477503,102.42760309386034,0.4586562730392559,4.159584849904696,9.069067827943304,0.7631282479203318,0.9999999999999822,1.000000126616996,0.9999999999999908,0.2125,0.0625,3.4,0.15,0.1375,1.0909090909090908,0.3243177954390422,0.2694527846795121,0.3126280777596725,0.4265975693491763,0.3434065787041014,0.3391370045931119,0.3437024276302045,0.4556205317696114,-2.65780609466839,-2.873618438099096,-2.7037877746408103,-2.2554870686163504,-2.4391556080981567,-2.455016497499785,-2.438056569417827,-2.022295974648899,0.8573326653597874,0.9279279279279278,0.7814350607844542,-0.0190190190190193,0.5897435897435898,0.9738160747434836,0.9365123226991794,0.9538977515259336,0.1466764289305395,-0.3523631038570744,0.9784392393,1.4063739711,0.6191165773,1.0393947283,0.1456923297,0.6083948172,0.1193673968,-36.7784142714,8.3570388074,2.5668558343,1.018788193131804,0.6161508952601231,3.2208153694979016,0.7393188289372663,4.671247460499827,0.9040240962565246,0.0,0.0,0.0,0.0,0.0,6.535e-07
1,1,2,1,1.9377787661842647,3.8478036283139616,2,0.4813136382082167,100.23636693384628,1.9530367253584529,3.384552361172824,1.7329691332617598,0.7826973221250313,0.999999999999978,1.0000002616582315,0.999999999999992,0.3,0.2,1.4999999999999998,0.3125,0.2375,1.3157894736842106,0.0874459628345636,0.3376378313757008,0.3777782334322239,0.5364798983889606,0.0888668428657878,0.3438316095459952,0.3411276929273857,0.517471765709701,-4.3333634477525,-3.1452997781985257,-2.954688653853357,-2.2010763021320843,-4.257438555496816,-3.066068425392256,-3.078702976964416,-2.2547026114655067,0.7831120306598223,0.94994994994995,1.3650078065460138,0.2892892892892895,0.4743589743589743,0.9890330895151116,0.9258109949488718,0.940689119560244,0.1463333432720867,-0.4173719786941436,1.2738788738,1.436196424,0.6302228167,2.5926942586,0.4200597072,1.8069781504,0.2254257628,-41.1143639432,6.8076564824,2.1664972306,7.532979472877136,0.7803047499905669,5.852363362651859,0.811185483040707,4.7558258688257,1.0941819730718982,0.0,0.0,0.0,0.0,0.0,7.2695e-06
1,1,3,1,1.6769149887693595,2.86700896170061,2,0.3456168841777174,99.61933552649448,0.4839223685948378,3.557549623705466,7.351488285270837,0.7223530591126378,0.9999999999999736,1.0000003980457175,0.9999999999999916,0.3125,0.15,2.083333333333333,0.275,0.1375,2.0,0.1613922929417956,0.3119396465162953,0.3451223646704663,0.4442718418483022,0.1676620218539969,0.353424476642891,0.3591233972547705,0.4478619630025199,-3.5662482013843246,-2.9260332064713745,-2.784920970155924,-2.363279669130876,-3.407222697409631,-2.646793558163716,-2.623464703576565,-2.2602083542450293,0.7716305477393552,0.7737737737737733,1.2028726506001872,0.2892892892892895,0.5,1.020281795704503,0.9291120450112482,0.951823941223246,0.1639779305871666,-0.435982617590041,0.9326239988,1.405891627,0.6208892692,1.341853282,0.1554335144,0.8979433056,0.1068574393,-34.8056821224,8.4899505829,2.8385749664,0.9504573990008308,0.5487476280152822,1.2693161489080298,0.6472038818057262,3.233678773342529,0.8927595849492569,0.0,0.0,0.0,0.0,0.0,5.231e-07
1,1,4,1,3.011006766657823,10.983386305196303,3,0.354468730595579,103.9797784391161,1.008295968888505,2.727247725556642,2.704808716594418,0.7487521687781646,0.9999999999999653,1.0000004346540765,0.9999999999999905,0.3125,0.1375,2.2727272727272725,0.375,0.15,2.5,0.158167868583222,0.268585939754888,0.3744247465933634,0.5189728840244371,0.1683993612419746,0.2805741999888981,0.4002841346114681,0.5304119157799564,-3.739009849877952,-3.2485863553261787,-2.778501730969558,-2.136489042850008,-3.469155347577784,-3.0012000291646648,-2.5018108506350467,-1.9589619555412463,0.8537344430925244,0.8178178178178177,1.5107033044866556,0.3113113113113108,0.5897435897435898,1.0299084114319856,0.9306809134863788,0.9691110064612292,0.1543120301180476,-0.413508205732877,1.1619280335,1.4667342296,0.6503288507,1.7241465608,-0.0386751335,1.2042138537,0.0440857653,-38.5167973805,6.437031968,2.1987793465,3.449836960306284,0.7491618829081496,2.969694553101506,0.7276973614327101,6.537217984404617,1.1040812102042417,0.0,0.0,0.0,0.0,0.0,2.5161e-06
1,1,5,1,2.6744646113033417,7.7613343065558364,3,0.6303644413536236,103.75225199825366,0.8389512814738397,4.008487140062433,4.77797367806682,0.8672741504046233,0.9999999999999816,1.0000005281947626,0.9999999999999956,0.3125,0.1125,2.7777777777777777,0.3375,0.1625,2.076923076923077,0.2412199761823054,0.2487017178321161,0.331302546468477,0.4039690908033882,0.2673435436717351,0.3035864988814476,0.3711394279138253,0.4489022173731631,-2.849432789992472,-2.8213367419758666,-2.511147356107763,-2.238264006963234,-2.482484123933697,-2.359680919054493,-2.130789093425156,-1.867302859736509,0.8038496377617094,0.7297297297297298,0.7244350098351338,0.2892892892892895,0.4230769230769231,0.9906303380652336,0.9281251662759792,0.9785500596320296,0.1408372659437404,-0.2960926105312544,0.8379530312,1.365653974,0.6065030382,1.244081087,0.4921293102,0.916171923,0.3664915041,-26.4614253195,7.4357477899,2.3451068646,0.3534514775309266,0.5326042593040101,1.317756655645662,0.5702742822959025,2.0506354635917967,0.7446144151084487,0.0,0.0,0.0,0.0,0.0,2.9463e-06
1,1,6,1,1.734033825273607,2.832259935857488,2,0.4897142832461602,101.27462409554812,0.8671367189016949,4.296582796116877,4.954908150538104,0.6214333792904216,0.9999999999999728,1.000000399985793,0.9999999999999912,0.3,0.1125,2.6666666666666665,0.25,0.1,2.5,0.118349035744378,0.3038294904226548,0.3631317370493799,0.4537473195222375,0.1249625282068375,0.3358146117281239,0.4017326136826095,0.4748022820722499,-3.5734821500064835,-2.821698143818139,-2.5813359955673234,-2.2140555415017023,-3.358972917007014,-2.549583078431148,-2.2965461623610324,-2.016056417536137,0.8583590605834115,0.9279279279279278,1.0331266974971984,0.2232232232232229,0.5256410256410257,1.0221697262146785,0.9353651695130284,0.9582971463363656,0.1520830727272631,-0.4087119159315044,0.9838747822,1.4482181648,0.641590832,1.6987837627,-0.2889874734,1.0677824023,-0.1636659903,-40.40512736,8.4891260259,2.9120555065,1.4325760173807998,0.6037371954631403,1.5438850318327852,0.7215509066494048,2.480026726196679,0.8480700383499602,0.0,0.0,0.0,0.0,0.0,9.428e-07
1,1,7,1,0.858447023309126,-0.5685845354094878,2,0.240491423510283,96.23872953619114,0.1794988382997523,2.778119363732268,15.477088264454254,0.5629281448978425,0.9999999999999528,1.0000001986918212,0.99999999999999,0.3,0.05,5.999999999999999,0.3375,0.1,3.375,0.3289772803028248,0.286295677124642,0.3368180498690023,0.4312645786306341,0.3352431213200841,0.2959280107171969,0.3536572866498697,0.442907506894366,-2.668108187423738,-2.837817992396471,-2.636931863789477,-2.261395314481008,-2.593791608972867,-2.747193863628904,-2.5219420214763306,-2.173699709446609,0.7433035521626801,0.8838838838838833,1.5892828656229765,0.0910910910910906,0.5384615384615384,1.0445538213030534,0.9475260826778512,0.97898485960277,0.1388433682948936,-0.4310739875358366,0.8529870334,1.4335995785,0.6300405257,1.532982793,-0.02841286,1.1087888251,-0.0084454819,-40.8081449424,9.9811580355,3.2110046252,1.961031115299674,0.5658733285292269,1.8200023252693596,0.6971581566027272,2.410960202920705,0.7988271588540792,0.0,0.0,0.0,0.0,0.0,3.1034e-06
1,1,8,1,2.4203899894203023,7.46654779103264,2,0.5275967769135472,91.98739844214802,0.5508261501553143,5.029323381947719,9.130509472960968,0.7773837753911054,0.9999999999999858,1.0000003067251562,0.9999999999999938,0.325,0.125,2.6,0.3,0.0625,4.8,0.3255077996658492,0.2772553640949144,0.3234640209067217,0.4232781880071457,0.3506918601677202,0.3181973577724865,0.3522530403866191,0.4539940765935374,-2.8924029876336794,-3.099322339313108,-2.9011672576816263,-2.4731374079866897,-2.5844517613399143,-2.713790158315683,-2.5782377702947,-2.173276267280987,0.8216777401160619,0.94994994994995,0.8648423275731727,0.2232232232232229,0.5128205128205128,1.0228898969024336,0.951323727178134,0.968837267141838,0.1374441556921951,-0.3775017501081757,1.0215799452,1.3658846366,0.5984739388,2.1497874503,-0.8763897363,1.3398404722,-0.501218721,-27.0789889149,6.4426102871,2.1305003403,1.7583409679809705,0.6289704235868119,1.477221797285305,0.5850442912359718,2.2121063050013774,0.8065096072241904,0.0,0.0,0.0,0.0,0.0,7.167e-07
1,1,9,1,2.46238036719806,5.988846892500954,2,0.6289702388255818,102.46314212962056,1.5438410313201354,5.510827578449035,3.5695563640621324,0.8246984970007964,0.9999999999999823,1.0000004055292555,0.9999999999999952,0.3,0.0875,3.428571428571429,0.3375,0.1375,2.4545454545454546,0.0357555540041016,0.139215838970256,0.2176091904889658,0.3479308174382177,0.0405608422099972,0.1666399202236583,0.2508906736933364,0.3807635964551639,-3.692587897919238,-3.2963852568070875,-2.9961767958744043,-2.497108261429353,-3.2389010681146857,-2.81327985271007,-2.52886384447567,-2.090435263739623,0.7882529358185151,0.9279279279279278,1.0069386314760271,0.1791791791791794,0.5256410256410257,0.960208643676924,0.935286641808178,0.9764155746790196,0.1254023531853583,-0.3554862828734307,0.7714603247,1.3208591657,0.5863110748,1.0910988966,0.4523537345,0.8153078328,0.3562760093,-26.0070854898,8.4938010951,2.5157441646,0.7680708800294445,0.3683094245284993,1.8242029774264572,0.4991269585719466,3.041767709443237,0.7758934247999688,0.0,0.0,0.0,0.0,0.0,1.553e-06
