[INFO][abstract_initial_design.py:87] Reducing the number of initial configurations from 50 to 25 (max_ratio == 0.25).
[INFO][abstract_initial_design.py:139] Using 25 initial design configurations and 0 additional configurations.
[INFO][abstract_intensifier.py:307] Using only one seed for deterministic scenario.
Evaluating config: Configuration(values={
  'rf_classifierbootstrap': np.False_,
  'rf_classifiermax_features': 0.1527131210081,
  'rf_classifiermin_samples_leaf': 20,
  'rf_classifiermin_samples_split': 11,
  'rf_classifiern_estimators': 24,
})
Training performance model for budget 50, iid 2
Training performance model for budget 100, iid 2
Training performance model for budget 150, iid 2
Training performance model for budget 200, iid 2
Training performance model for budget 250, iid 2
Training performance model for budget 300, iid 2
Training performance model for budget 350, iid 2
Training performance model for budget 400, iid 2
Training performance model for budget 450, iid 2
Training performance model for budget 500, iid 2
Training performance model for budget 550, iid 2
Training performance model for budget 600, iid 2
Training performance model for budget 650, iid 2
Training performance model for budget 700, iid 2
Training performance model for budget 750, iid 2
Training performance model for budget 800, iid 2
Training performance model for budget 850, iid 2
Training performance model for budget 900, iid 2
Training performance model for budget 950, iid 2
Switching at budget 700 for fid=2, iid=2, rep=0
Switching at budget 600 for fid=2, iid=2, rep=1
Switching at budget 700 for fid=2, iid=2, rep=2
Switching at budget 650 for fid=2, iid=2, rep=3
Switching at budget 700 for fid=2, iid=2, rep=4
Switching at budget 700 for fid=2, iid=2, rep=5
Switching at budget 700 for fid=2, iid=2, rep=6
Switching at budget 700 for fid=2, iid=2, rep=7
Switching at budget 700 for fid=2, iid=2, rep=8
Switching at budget 650 for fid=2, iid=2, rep=9
Switching at budget 600 for fid=2, iid=2, rep=10
Switching at budget 700 for fid=2, iid=2, rep=11
Switching at budget 700 for fid=2, iid=2, rep=12
Switching at budget 650 for fid=2, iid=2, rep=13
Switching at budget 650 for fid=2, iid=2, rep=14
Switching at budget 600 for fid=2, iid=2, rep=15
Switching at budget 700 for fid=2, iid=2, rep=16
Switching at budget 650 for fid=2, iid=2, rep=17
Switching at budget 600 for fid=2, iid=2, rep=18
Switching at budget 650 for fid=2, iid=2, rep=19
Switching at budget 550 for fid=3, iid=2, rep=0
Switching at budget 550 for fid=3, iid=2, rep=1
Switching at budget 700 for fid=3, iid=2, rep=2
Switching at budget 400 for fid=3, iid=2, rep=3
Switching at budget 350 for fid=3, iid=2, rep=4
Switching at budget 550 for fid=3, iid=2, rep=5
Switching at budget 700 for fid=3, iid=2, rep=6
Switching at budget 700 for fid=3, iid=2, rep=7
Switching at budget 650 for fid=3, iid=2, rep=8
Switching at budget 700 for fid=3, iid=2, rep=9
Switching at budget 550 for fid=3, iid=2, rep=10
Switching at budget 700 for fid=3, iid=2, rep=11
Switching at budget 350 for fid=3, iid=2, rep=12
Switching at budget 700 for fid=3, iid=2, rep=13
Switching at budget 650 for fid=3, iid=2, rep=14
Switching at budget 400 for fid=3, iid=2, rep=15
Switching at budget 700 for fid=3, iid=2, rep=16
Switching at budget 550 for fid=3, iid=2, rep=17
Switching at budget 450 for fid=3, iid=2, rep=18
Switching at budget 550 for fid=3, iid=2, rep=19
Switching at budget 300 for fid=4, iid=2, rep=0
Switching at budget 350 for fid=4, iid=2, rep=1
Switching at budget 350 for fid=4, iid=2, rep=2
Switching at budget 350 for fid=4, iid=2, rep=3
Switching at budget 200 for fid=4, iid=2, rep=4
Switching at budget 250 for fid=4, iid=2, rep=5
Switching at budget 450 for fid=4, iid=2, rep=6
Switching at budget 350 for fid=4, iid=2, rep=7
Switching at budget 400 for fid=4, iid=2, rep=8
Switching at budget 300 for fid=4, iid=2, rep=9
Switching at budget 700 for fid=4, iid=2, rep=10
Switching at budget 300 for fid=4, iid=2, rep=11
Switching at budget 300 for fid=4, iid=2, rep=12
Switching at budget 250 for fid=4, iid=2, rep=13
Switching at budget 450 for fid=4, iid=2, rep=14
Switching at budget 300 for fid=4, iid=2, rep=15
Switching at budget 400 for fid=4, iid=2, rep=16
Switching at budget 300 for fid=4, iid=2, rep=17
Switching at budget 300 for fid=4, iid=2, rep=18
Switching at budget 500 for fid=4, iid=2, rep=19
Switching at budget 150 for fid=6, iid=2, rep=0
Switching at budget 250 for fid=6, iid=2, rep=1
Switching at budget 150 for fid=6, iid=2, rep=2
Switching at budget 200 for fid=6, iid=2, rep=3
Switching at budget 200 for fid=6, iid=2, rep=4
Switching at budget 200 for fid=6, iid=2, rep=5
Switching at budget 250 for fid=6, iid=2, rep=6
Switching at budget 200 for fid=6, iid=2, rep=7
Switching at budget 150 for fid=6, iid=2, rep=8
Switching at budget 200 for fid=6, iid=2, rep=9
Switching at budget 150 for fid=6, iid=2, rep=10
