fid,iid,rep,high_level_category,a1_budget,ela_budget,a2_algorithm,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.lda_qda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor
1,1,0,1,900,950,PSO,6.947574381926574,61.33064865988882,6,0.6948188799005557,100.75983243644387,0.7021062115433498,5.340178546376246,7.605941178952993,0.8708089112485492,0.9999994175608335,1.0001113928379044,0.9999993935296335,0.11368421052631579,0.08210526315789474,1.3846153846153846,0.2652631578947368,0.0431578947368421,6.146341463414633,0.41789473684210526,0.04421052631578947,9.452380952380953,5.804059343957087e-06,9.06470060304297e-06,1.746031684902155e-05,7.273128223247668e-05,7.028113116888232e-05,0.00011121161545993606,0.00021089994145506507,0.0007607473210377956,-0.7616584675910554,-0.7616559840816162,-0.7616495894522969,-0.7616074916091623,-0.06163363014055118,-0.061631107268910634,-0.06162496268364852,-0.06159107121169058,0.5769179743835376,0.7957957957957954,6.727099135712336e-06,-2.815815815815815,0.5021231422505308,0.9410023826433099,0.9310019376592796,0.9887489949649183,0.16953730126759847,-0.09697301691536439
1,1,0,1,900,1000,PSO,7.136804402521787,64.73162724916068,7,0.6948690539873085,100.72323144983173,0.7067747620451846,5.330203090685053,7.541586622676107,0.8705365678329198,0.9999988362704983,1.000171766575951,0.9999987945700441,0.10600000000000001,0.077,1.3766233766233769,0.26799999999999996,0.037,7.243243243243242,0.42200000000000004,0.048,8.791666666666668,6.205646221573723e-06,9.624572289353046e-06,1.9182744846090158e-05,8.51133169531021e-05,5.2105727674297354e-05,8.120862739773239e-05,0.00016079111303871223,0.0006249530990002609,-0.736509168279787,-0.736506650193766,-0.73649961046836,-0.7364510516961946,-0.08614600467068625,-0.08614349744150974,-0.08613664137108948,-0.08609665358688628,0.5710757874711696,0.7297297297297298,1.514189325304352e-05,-2.815815815815815,0.5329087048832272,0.9422873069058462,0.9134467260718798,0.9883776923816466,0.29186598445098005,-0.09326853029274162
1,1,1,1,900,950,PSO,6.367967999553894,47.3300545398377,9,0.8031121937606256,101.48478703603392,0.01910682668118538,4.211125768650765,220.39901438984052,0.8694887521368158,0.9999993946098114,1.0001114905110482,0.9999993656167949,0.10631578947368421,0.06631578947368422,1.603174603174603,0.2557894736842105,0.028421052631578948,9.0,0.40736842105263166,0.04631578947368421,8.795454545454547,1.2147522442117063e-06,1.6896266521044576e-06,2.5396035694066575e-06,1.474441231394006e-05,1.6734428941890958e-05,2.325842041630942e-05,3.489982455352512e-05,0.00017065918390558275,-0.6655990531045902,-0.66559873702825,-0.6655981712837314,-0.6655900477647197,-0.04772041178224913,-0.04772010044947953,-0.047719544907583705,-0.047713066306636444,0.5497377056764968,0.7517517517517519,1.140399601970033e-06,-2.793793793793794,0.5042462845010616,0.9475029140796842,0.9352432689506766,0.9879739469907508,0.16301095042838568,-0.08984052849900448
1,1,1,1,900,1000,PSO,6.54366427163321,50.02627364582813,9,0.8031175448265288,101.46872377890281,0.018764020526496755,4.210550394371968,224.39489385690192,0.8693898560534937,0.9999983223192664,1.0000789612622432,0.9999982480934763,0.10300000000000001,0.059,1.745762711864407,0.257,0.031,8.290322580645162,0.41200000000000003,0.043,9.58139534883721,1.2948695736857783e-06,1.7760231659012237e-06,2.6814024079602938e-06,1.815966076894305e-05,1.1692368375805851e-05,1.6035779931560194e-05,2.429331942568869e-05,0.00013345906144588058,-0.6439985413026101,-0.6439982314399975,-0.6439976483763312,-0.6439876803876176,-0.07038801835462619,-0.0703877126269192,-0.07038713138828166,-0.07037944733818391,0.5543060857217944,0.6856856856856854,1.140399601970033e-06,-2.85985985985986,0.5021231422505308,0.9489323522837313,0.9159965346240555,0.9874298284161437,0.28823937321187987,-0.08462140563773494
1,1,2,1,900,950,PSO,6.345041751036218,50.65581284136052,8,0.6648767500371248,94.84903060489125,1.9789914804876523,4.671082659692622,2.3603349007554084,0.8329005625657355,0.9999981536977084,1.0001531652958768,0.9999980816892132,0.1,0.05157894736842106,1.9387755102040816,0.25684210526315787,0.03368421052631579,7.624999999999999,0.40842105263157896,0.04631578947368421,8.818181818181818,1.7541981603787495e-06,2.8582568470478464e-06,5.413254756129442e-06,4.03145444460154e-05,1.1595802377942107e-05,1.9411689987536203e-05,3.462973134377421e-05,0.0002146562531148825,-0.9199080645053808,-0.9199070488711095,-0.9199046985038052,-0.9198725924696375,-0.13474456755387693,-0.13474351439326868,-0.1347414638210891,-0.13471720594397527,0.5305377932922063,0.641641641641642,6.727099135712336e-06,-2.3533533533533526,0.5371549893842887,0.9612451804335941,0.9405041522595867,0.9916206798808496,0.16199305879505552,-0.10687419740677917
1,1,2,1,900,1000,PSO,6.516183235229764,53.44789139194477,9,0.6655010748379788,94.83062746513849,1.9786685838309461,4.674654660204107,2.3625253356746585,0.8332145222440515,0.9999971047205306,1.0001734028271096,0.9999970067967482,0.1,0.049,2.0408163265306123,0.256,0.026000000000000002,9.846153846153845,0.417,0.046,9.065217391304348,1.8707510660634183e-06,3.092864244074344e-06,6.103800285868734e-06,4.990628393426485e-05,1.0809610006267207e-05,1.7725149699929787e-05,3.274977435620703e-05,0.000215363347241515,-0.8887468318514644,-0.8887457457002174,-0.8887430697353432,-0.8887041403439463,-0.15254833628225015,-0.15254728131677162,-0.15254498931050134,-0.1525171316126443,0.5246011600518619,0.6196196196196196,6.727099135712336e-06,-2.419419419419419,0.5159235668789809,0.9634609176675631,0.9201604079628777,0.990799482463106,0.2899888245075763,-0.09971812544955969
1,1,3,1,900,950,PSO,6.614465867987599,52.91495234835701,10,0.36531983300326676,92.724898051388,1.5203153147902513,4.055959370697692,2.667840895398247,0.7443330232079077,0.9999948627407141,1.0005768958888008,0.9999947819863115,0.11999999999999997,0.04,2.999999999999999,0.27789473684210525,0.02421052631578947,11.478260869565219,0.38421052631578945,0.034736842105263156,11.06060606060606,1.916050956515818e-06,3.064090514064232e-06,6.201601916899347e-06,5.9900408120571015e-05,1.657141754442741e-05,2.5483948446439702e-05,5.247116936914433e-05,0.00042321415561957017,-0.6297472753004092,-0.6297465523242407,-0.6297445764811977,-0.6297107597395094,-0.07296018870795899,-0.07295953843724662,-0.07295756941188584,-0.07293051948539124,0.5320072618386941,0.7077077077077075,0.00016414029711444664,-2.5955955955955954,0.5138004246284501,0.9625534250820998,0.9430347237181894,0.9890429785739944,0.1552301790828881,-0.10600448531765612
1,1,3,1,900,1000,PSO,6.795565554162194,55.887362920585524,10,0.36524100818876437,92.68946366917285,1.515775504564179,4.0578803853316545,2.6770985367641167,0.7442097855080043,0.9999911321744993,1.000887479025141,0.9999911124439795,0.12200000000000003,0.039,3.1282051282051286,0.277,0.024,11.541666666666668,0.374,0.043,8.697674418604652,2.0281778663618413e-06,3.2789891580518487e-06,6.850358704312548e-06,7.343130574010292e-05,1.208882553859212e-05,1.8746663864077043e-05,3.9868738527098565e-05,0.00035157729895697284,-0.6116058698358715,-0.6116051048307919,-0.6116029205557839,-0.6115621991751674,-0.10288555446400245,-0.10288486946033391,-0.10288269627769955,-0.1028506255819315,0.540588327154983,0.5975975975975976,0.00013400688963639506,-2.815815815815815,0.5414012738853503,0.9640173406476564,0.9198324727900702,0.98806967307849,0.2767894532764705,-0.09977031329357917
1,1,4,1,900,950,PSO,8.443611506353216,96.59223241252731,9,0.4201892868182585,97.3835943599279,0.030360083691556766,4.0869895509876555,134.6172030521859,0.710767602965461,0.9999992769570231,1.0000418510371323,0.9999992417546834,0.11263157894736842,0.05052631578947368,2.2291666666666665,0.2673684210526316,0.030526315789473686,8.758620689655173,0.42000000000000004,0.035789473684210524,11.735294117647062,3.5036618416468756e-06,5.212372685480388e-06,9.420629509824203e-06,6.685705687441607e-05,2.6696830256343693e-05,4.013240499029634e-05,6.999581500648002e-05,0.00043280535040294134,-0.7073379392701434,-0.7073367306299017,-0.7073337539597624,-0.7072931268532476,-0.09032060832504218,-0.0903193947833613,-0.0903166974299912,-0.09028392737719153,0.5333960408092931,0.6196196196196196,6.236405778427086e-06,-2.5955955955955954,0.5180467091295117,0.9677220878209336,0.9428675933610868,0.9924198708180121,0.16627156960482595,-0.10728343558116565
1,1,4,1,900,1000,PSO,8.665447646309078,101.72849911298259,10,0.4203859245484899,97.3508795849977,0.03558870674387553,4.092879974022574,115.0050212129981,0.7109421502671804,0.9999976644719278,1.0001726931037263,0.9999975596446934,0.11000000000000001,0.046,2.3913043478260874,0.27,0.034999999999999996,7.714285714285715,0.41200000000000003,0.042,9.80952380952381,3.7507562892552304e-06,5.511216611591502e-06,1.0488814982407596e-05,8.232054945137052e-05,2.399675444848199e-05,3.521851052862625e-05,6.413301829060138e-05,0.0004172296081783639,-0.6838862673796493,-0.6838850634204948,-0.6838816592965564,-0.6838325343755355,-0.10542960194564675,-0.10542841881197872,-0.10542537029378038,-0.10538814256751554,0.5456073486769047,0.6196196196196196,3.479697903887688e-06,-2.6836836836836837,0.5159235668789809,0.9692490056804653,0.9240601733626373,0.991958037791429,0.29405321224041375,-0.10292019608603399
