run_id,fid,iid,rep
10_1_0,10,1,0
10_1_1,10,1,1
10_1_10,10,1,10
10_1_11,10,1,11
10_1_12,10,1,12
10_1_13,10,1,13
10_1_14,10,1,14
10_1_15,10,1,15
10_1_16,10,1,16
10_1_17,10,1,17
10_1_18,10,1,18
10_1_19,10,1,19
10_1_2,10,1,2
10_1_3,10,1,3
10_1_4,10,1,4
10_1_5,10,1,5
10_1_6,10,1,6
10_1_7,10,1,7
10_1_8,10,1,8
10_1_9,10,1,9
10_2_0,10,2,0
10_2_1,10,2,1
10_2_10,10,2,10
10_2_11,10,2,11
10_2_12,10,2,12
10_2_13,10,2,13
10_2_14,10,2,14
10_2_15,10,2,15
10_2_16,10,2,16
10_2_17,10,2,17
10_2_18,10,2,18
10_2_19,10,2,19
10_2_2,10,2,2
10_2_3,10,2,3
10_2_4,10,2,4
10_2_5,10,2,5
10_2_6,10,2,6
10_2_7,10,2,7
10_2_8,10,2,8
10_2_9,10,2,9
10_3_0,10,3,0
10_3_1,10,3,1
10_3_10,10,3,10
10_3_11,10,3,11
10_3_12,10,3,12
10_3_13,10,3,13
10_3_14,10,3,14
10_3_15,10,3,15
10_3_16,10,3,16
10_3_17,10,3,17
10_3_18,10,3,18
10_3_19,10,3,19
10_3_2,10,3,2
10_3_3,10,3,3
10_3_4,10,3,4
10_3_5,10,3,5
10_3_6,10,3,6
10_3_7,10,3,7
10_3_8,10,3,8
10_3_9,10,3,9
10_4_0,10,4,0
10_4_1,10,4,1
10_4_10,10,4,10
10_4_11,10,4,11
10_4_12,10,4,12
10_4_13,10,4,13
10_4_14,10,4,14
10_4_15,10,4,15
10_4_16,10,4,16
10_4_17,10,4,17
10_4_18,10,4,18
10_4_19,10,4,19
10_4_2,10,4,2
10_4_3,10,4,3
10_4_4,10,4,4
10_4_5,10,4,5
10_4_6,10,4,6
10_4_7,10,4,7
10_4_8,10,4,8
10_4_9,10,4,9
10_5_0,10,5,0
10_5_1,10,5,1
10_5_10,10,5,10
10_5_11,10,5,11
10_5_12,10,5,12
10_5_13,10,5,13
10_5_14,10,5,14
10_5_15,10,5,15
10_5_16,10,5,16
10_5_17,10,5,17
10_5_18,10,5,18
10_5_19,10,5,19
10_5_2,10,5,2
10_5_3,10,5,3
10_5_4,10,5,4
10_5_5,10,5,5
10_5_6,10,5,6
10_5_7,10,5,7
10_5_8,10,5,8
10_5_9,10,5,9
10_6_0,10,6,0
10_6_1,10,6,1
10_6_10,10,6,10
10_6_11,10,6,11
10_6_12,10,6,12
10_6_13,10,6,13
10_6_14,10,6,14
10_6_15,10,6,15
10_6_16,10,6,16
10_6_17,10,6,17
10_6_18,10,6,18
10_6_19,10,6,19
10_6_2,10,6,2
10_6_3,10,6,3
10_6_4,10,6,4
10_6_5,10,6,5
10_6_6,10,6,6
10_6_7,10,6,7
10_6_8,10,6,8
10_6_9,10,6,9
10_7_0,10,7,0
10_7_1,10,7,1
10_7_10,10,7,10
10_7_11,10,7,11
10_7_12,10,7,12
10_7_13,10,7,13
10_7_14,10,7,14
10_7_15,10,7,15
10_7_16,10,7,16
10_7_17,10,7,17
10_7_18,10,7,18
10_7_19,10,7,19
10_7_2,10,7,2
10_7_3,10,7,3
10_7_4,10,7,4
10_7_5,10,7,5
10_7_6,10,7,6
10_7_7,10,7,7
10_7_8,10,7,8
10_7_9,10,7,9
11_1_0,11,1,0
11_1_1,11,1,1
11_1_10,11,1,10
11_1_11,11,1,11
11_1_12,11,1,12
11_1_13,11,1,13
11_1_14,11,1,14
11_1_15,11,1,15
11_1_16,11,1,16
11_1_17,11,1,17
