evaluations raw_y rep iid sigma t d_norm d_mean ps_norm ps_mean pc_norm pc_mean ps_squared loglikelihood mhl_norm mhl_mean x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39
1 849860.3458518077 0.0000000000 1.0000000000 0.4248505308 67.0000000000 5.4729496399 0.8628598099 4.6108805172 0.1653261696 3.9494262498 0.1647213125 21.2602191438 -276.4372143279 27.6134206528 7.0030971518 3.528105 0.800314 1.957476 4.481786 3.735116 -1.954556 1.900177 -0.302714 -0.206438 0.821197 0.288087 2.908547 1.522075 0.243350 0.887726 0.667349 2.988158 -0.410317 0.626135 -1.708191 -5.000000 1.307237 1.728872 -1.484330 4.539509 -2.908731 0.091517 -0.374368 3.065558 2.938718 0.309895 0.756325 -1.775571 -3.961593 -0.695824 0.312698 2.460581 2.404760 -0.774654 -0.604606
2 204992.9157449796 0.0000000000 1.0000000000 0.4248505308 67.0000000000 5.4729496399 0.8628598099 4.6108805172 0.1653261696 3.9494262498 0.1647213125 21.2602191438 -276.4372143279 27.6134206528 7.0030971518 -2.097106 -2.840036 -3.412540 3.901551 -1.019304 -0.876149 -2.505591 1.554981 -3.227796 -0.425481 -1.790933 0.773805 -1.021610 -2.361264 -0.056364 0.856664 0.133034 0.604944 -1.268644 -0.725482 -1.344921 -0.719106 -1.626293 -3.452565 0.354852 -0.803562 -3.260397 0.925565 -1.814597 0.103891 1.458181 0.257966 2.278801 -2.469652 0.804683 -1.369620 -1.741594 -1.157699 -0.623105 0.112331
47 168809.0844774807 0.0000000000 1.0000000000 1.7379599004 3.0000000000 6.2813516428 0.9931071485 4.3867696812 -0.3790686741 3.8265083273 -0.3361745779 19.2437482363 -1203.1166179616 25.5614953786 6.5185318971 -2.689828 0.352459 -3.739851 -1.007132 -2.157100 -3.806247 -1.362033 0.355266 -0.830761 -1.197462 1.459966 -0.352910 3.064797 -2.652652 0.384000 2.157673 -0.965917 -0.330806 -2.633247 -2.899482 -2.458115 -1.240494 -2.927118 -1.845215 0.388705 0.329018 -3.184538 -0.528802 -0.147822 1.384260 -3.005211 -0.520111 -0.840576 -1.333505 -0.194469 -1.451760 -0.881138 0.370370 -2.311292 1.747892
61 122645.6907564065 0.0000000000 1.0000000000 1.6783088776 4.0000000000 6.2668405043 0.9907922206 4.4031102690 -0.3514177143 3.9401486964 -0.3237018732 19.3873800408 -1160.0134141615 24.7568445397 6.3062765112 -0.114196 -2.027257 -3.987895 3.367694 -2.801436 -0.861129 -0.405487 -0.208472 -1.711003 0.305347 -0.994151 -2.082190 -1.027294 -2.307810 2.006122 1.902490 -0.732201 1.255797 -2.048483 -3.495055 -1.572690 -4.501915 -2.376903 -0.595296 -1.005062 -1.856203 -1.373051 -1.618025 -3.639959 1.047320 -4.847655 -0.626558 -0.935615 -0.546341 -0.104415 -3.224823 -0.665161 -1.673543 -1.688929 1.774428
93 116014.3609908735 0.0000000000 1.0000000000 1.6085184292 6.0000000000 6.2408324590 0.9866238824 5.1173065637 -0.3167121856 4.6547943867 -0.3161913637 26.1868264673 -1170.3679937164 26.3534484322 6.6704079692 0.567761 -3.266969 -0.824206 2.272077 -1.477843 0.880529 0.897406 -1.850771 -5.000000 -1.541068 -1.674666 -0.094123 3.318449 -3.570397 1.490719 2.955335 2.413278 -1.775634 -5.000000 -1.590158 -2.822113 -2.489362 0.303809 -2.972191 -3.251001 -1.522257 1.234330 -2.846683 -0.857147 -2.429181 -2.682342 -1.271892 0.997730 -2.052159 -1.654265 -2.847830 -0.512989 -0.066922 -2.263113 3.847726
128 96521.3629083479 0.0000000000 1.0000000000 1.5362749970 8.0000000000 6.2155132189 0.9825590997 5.2000839736 -0.2706212669 4.7605902142 -0.2825922606 27.0408733325 -1098.9708285157 24.7388291882 6.3216588879 0.608522 -0.837732 -1.086927 -0.201938 -5.000000 -2.091712 0.578658 -1.777569 -4.816229 -0.559502 -1.813259 0.235384 1.060582 -1.021536 1.255719 2.663589 -0.552608 -1.691756 -4.284276 -0.581174 0.666753 -1.980542 -1.443470 -3.090893 -3.836756 -0.171862 0.342494 -1.834206 -0.223539 -2.742811 -1.650553 0.166654 3.792221 -1.371849 -1.247142 -1.269594 -1.519282 -0.875723 -3.213296 -0.769979
136 70662.2856098781 0.0000000000 1.0000000000 1.4862080755 9.0000000000 6.2004890839 0.9801538986 4.4997122697 -0.2431525415 4.1742108140 -0.2615073996 20.2474105099 -1078.3263448545 24.8207361165 6.3298673200 -0.259336 -0.599268 0.442803 -2.184233 -4.294003 -1.527285 0.649981 0.672796 -1.505494 -0.062654 -1.622655 -1.124288 2.371484 -2.842585 0.484191 -0.441043 -0.398746 0.159126 -3.002745 -3.202488 -3.092334 -2.242909 -3.568433 -2.037750 -2.984200 -4.036351 0.880392 -1.391664 -0.891379 -1.400723 -4.282945 -0.004363 1.736037 -0.974244 0.360817 -1.553518 -0.730283 -1.000020 -3.581071 1.435400
160 56917.9776387246 0.0000000000 1.0000000000 1.4399401280 10.0000000000 6.1861950028 0.9778692586 4.5808841961 -0.2533275206 4.1868926585 -0.2699746902 20.9845000184 -1082.8572687285 25.8274351885 6.5449670762 -1.588021 -0.345773 0.294619 -1.809638 -2.608806 -1.874916 -0.618695 0.772879 -0.855379 1.665019 -3.159781 0.518325 3.992036 -2.266665 -2.616643 0.623407 0.921476 -1.941146 -3.879171 -1.304700 -0.986972 -4.218767 -3.854202 -1.685798 -3.284843 -2.611590 2.378535 0.189218 -1.497012 -2.131246 -1.650934 -0.221498 3.374005 0.251974 -1.226850 -1.196130 -0.129009 -3.527676 -5.000000 -1.561088
224 56501.8345283831 0.0000000000 1.0000000000 1.2640527042 14.0000000000 6.1310383019 0.9690406666 4.5935644265 -0.2512332513 4.2448562018 -0.2711490000 21.1008341402 -962.7884080792 24.4947125902 6.2576425898 -2.497343 -1.224433 1.185850 0.534518 -2.917413 -2.840903 -1.035010 -2.298392 -2.126580 0.345691 -0.986642 0.176061 2.025810 -2.106972 -1.247140 0.780005 2.520901 0.854320 -0.555244 -1.910946 -2.387859 -2.029095 -3.973628 -0.624047 -1.214934 -2.637216 2.376383 -1.683558 -0.613648 -1.906453 -2.989132 0.367713 2.006335 -2.902735 -0.541146 -2.387820 0.046486 -2.051957 -1.812706 -0.443776
241 51906.7917147036 0.0000000000 1.0000000000 1.2116634298 16.0000000000 6.1043627568 0.9647631866 5.5375870261 -0.1505603893 4.9313897446 -0.1855923452 30.6648700717 -970.0268136464 26.0036018321 6.6263109679 -0.557271 -0.402070 1.766884 0.892157 -2.640176 -3.354202 -2.173556 -4.941429 0.007191 0.175029 -0.335489 1.328233 -0.055257 -2.375868 -0.930632 0.576252 -0.779958 -0.563801 -0.307894 -4.247513 -1.150310 -0.644440 -3.546915 -0.249476 -1.760775 -1.125210 2.260729 -0.329905 -0.652941 -1.441426 -2.241809 -1.131437 1.067436 -1.313076 -1.961660 -3.683254 0.564573 -2.382406 -2.058138 -0.331617
250 37759.1388463615 0.0000000000 1.0000000000 1.2116634298 16.0000000000 6.1043627568 0.9647631866 5.5375870261 -0.1505603893 4.9313897446 -0.1855923452 30.6648700717 -970.0268136464 26.0036018321 6.6263109679 -3.318766 0.427184 0.131305 -0.015973 -2.904034 -5.000000 -1.329645 -3.281031 -3.797977 1.086294 -1.197082 -0.890331 1.213601 -1.460738 -0.923098 -0.059722 0.546118 1.577076 -2.910212 -4.424895 -2.813173 -3.502859 -2.912307 -2.041958 -2.221794 -2.422282 2.965507 -1.707777 -0.425641 -3.359318 -1.501750 -1.458670 2.915710 -1.179458 -2.493092 -3.287648 -1.134972 -3.719231 -0.827197 -1.653593
272 35787.9484739041 0.0000000000 1.0000000000 1.1488186845 18.0000000000 6.0805947679 0.9609255141 4.3352412066 -0.2646105177 4.1362367775 -0.2814795728 18.7943163198 -926.4938548681 25.6745428666 6.5622578309 -0.048935 0.348827 2.271561 0.663753 -2.513533 -2.864101 -1.939810 -2.299041 -2.526465 -0.752177 -0.751921 0.005566 2.380376 -2.285156 -3.296136 -1.146462 2.307953 1.185045 -2.967820 -4.765399 -2.547657 -1.658129 -2.842934 -1.842028 -2.746252 -2.977119 2.385804 -0.433911 -0.852989 -1.396931 -4.366755 -0.890508 0.927634 -3.846566 -1.988201 -2.413880 -0.304405 -2.893473 -1.744789 0.573735
277 24251.9585249219 0.0000000000 1.0000000000 1.1488186845 18.0000000000 6.0805947679 0.9609255141 4.3352412066 -0.2646105177 4.1362367775 -0.2814795728 18.7943163198 -926.4938548681 25.6745428666 6.5622578309 -0.513776 0.427988 1.394663 1.516927 -2.688911 -1.824074 -0.903690 -2.389571 -1.897238 -1.029857 -1.611691 1.367966 3.003784 1.095741 -1.386792 -1.532520 -1.403087 1.198107 -1.427231 -2.125393 -2.158411 -1.914710 -3.530201 -3.415778 -1.718813 -3.394551 3.746052 -0.731987 -0.332321 -3.785396 -3.571646 -1.600108 3.948949 -3.461048 -2.574886 -3.411049 -0.219807 -2.237456 -2.085402 -1.843564
308 18955.5774975371 0.0000000000 1.0000000000 1.0881411801 20.0000000000 6.0521317900 0.9563592160 4.6687342505 -0.1794028497 4.2720462350 -0.2105783588 21.7970795020 -913.5632294968 26.6772224704 6.7467808809 1.066915 -0.690300 -0.868549 -0.299325 -4.290558 -3.979574 -1.253874 -2.671268 -1.138807 1.159386 -1.123536 0.026345 2.140223 -0.052185 -2.236581 1.024859 0.140344 1.371776 -2.462949 -5.000000 -1.731735 -1.325062 -3.067894 -2.120809 -2.400313 -4.213426 3.332551 -1.291304 -0.701348 -2.929797 -3.987998 -1.322709 3.956084 -2.094793 -3.961418 -1.546028 -1.357569 -1.936167 -2.716315 -2.456708
336 13599.7762889187 0.0000000000 1.0000000000 1.0226456565 22.0000000000 6.0240187550 0.9518620731 4.4204785157 -0.0731955817 4.0170023013 -0.1214955843 19.5406303077 -862.7374381345 26.2556976476 6.6564349737 0.487383 -0.256288 0.276096 -0.916367 -2.781721 -2.607955 -1.760441 -1.913346 -2.326859 0.696963 -2.239781 0.236020 1.709129 -1.770513 -3.194987 0.864813 0.202441 -0.159705 -1.946033 -2.538603 -3.152250 -1.693206 -2.119118 -2.564295 0.383663 -3.615879 2.827598 -0.389478 -1.400582 -4.839130 -2.115466 -1.954592 2.487410 -2.593387 -3.244746 -0.193586 -1.770985 -3.914591 -2.629530 -4.013498
365 11581.5992452955 0.0000000000 1.0000000000 0.9743354648 24.0000000000 5.9967116918 0.9474923784 4.9224185150 -0.1205505053 4.4044746051 -0.1542637440 24.2302040365 -820.9052825933 25.8971130944 6.5712871679 0.702638 -1.493413 -0.965259 0.831191 -2.576688 -3.738131 -0.793136 -3.020827 -0.203649 1.257780 -1.420686 1.111720 1.919532 -0.782441 -2.941255 0.951786 0.382756 1.299279 -0.647103 -2.879770 -0.771035 -0.643556 -3.319888 -2.509198 -1.839466 -2.707391 1.381675 -2.121648 -1.418617 -2.579842 -2.601505 -0.963653 3.212783 -1.482534 -3.905714 -0.941491 -0.784106 -3.633220 -2.348406 -1.888866
403 5872.3080117654 0.0000000000 1.0000000000 0.9122372541 26.0000000000 5.9685984321 0.9429893528 4.3978486732 -0.0463459002 3.9863695664 -0.0871948541 19.3410729526 -784.5594629414 26.2323458144 6.6792722959 -0.166027 -1.000876 0.142388 1.853603 -3.128212 -3.646524 -0.646989 -2.624717 -2.253389 1.165954 -1.955394 1.684238 1.830804 -1.210316 -2.284711 -1.249574 0.051507 1.040833 -1.692983 -2.901337 -1.450250 -1.691589 -2.031514 -3.977790 -2.191192 -3.016228 1.348586 -1.514475 -1.390287 -1.842258 -2.966162 -1.114612 2.582428 -1.053789 -2.946378 -0.562037 -2.403664 -3.393331 -2.843219 -1.354407
519 4797.2784065127 0.0000000000 1.0000000000 0.6959631529 34.0000000000 5.8621767857 0.9259670600 4.8225676867 -0.1262205378 3.9896550817 -0.1249554760 23.2571590930 -590.2422404732 25.5804890125 6.5385946963 -0.795661 -0.186791 0.308245 0.964525 -4.064511 -2.927863 -0.261224 -1.589253 -2.361012 0.129954 -3.665165 0.581621 0.436950 -1.157501 -2.013991 -0.396993 -0.203595 0.938207 -2.390691 -3.459443 -1.504939 -2.032897 -0.910114 -2.896618 -2.087159 -1.531596 2.524214 -1.339413 -0.990245 -2.844922 -5.000000 -2.847753 2.236019 -1.572509 -2.628887 -0.526737 -1.960938 -4.533596 -2.907867 -0.749317
530 4180.5438996979 0.0000000000 1.0000000000 0.6785990754 35.0000000000 5.8480736202 0.9237120637 4.9236317870 -0.1870810015 4.1118294137 -0.1727637790 24.2421499736 -568.8277086718 25.4680960548 6.4925586312 -1.019515 -1.084474 -0.481422 1.441275 -4.152439 -3.447273 -0.873854 -2.310771 -2.667098 -0.571553 -2.536927 -0.146646 1.110640 -1.971828 -2.926339 -0.994072 -0.728893 0.780215 -1.507824 -3.390607 -3.033366 -1.034441 -1.192609 -3.893506 -1.466888 -1.832182 2.142830 -1.840024 -2.241829 -1.827302 -3.708210 -2.224359 2.099600 -2.160640 -2.931502 -1.473701 -2.601879 -4.331413 -1.925589 -1.283790
556 2738.9417430592 0.0000000000 1.0000000000 0.6405594445 37.0000000000 5.8211717105 0.9194053891 4.3943057229 -0.2579511871 3.7542906609 -0.2402188254 19.3099227862 -545.9466456621 26.0898117291 6.6592406716 -0.911420 -0.244158 0.206977 0.718749 -4.429229 -3.627807 -0.917699 -2.257202 -1.353135 -0.622480 -3.340555 0.783375 1.090817 -1.562191 -2.609009 -0.663066 -0.202426 0.201885 -1.318184 -3.179192 -2.270742 -1.847160 -1.442518 -4.758899 -1.826331 -2.029968 1.416660 -1.970715 -2.470076 -1.824596 -2.902710 -3.023734 2.786117 -1.718047 -3.047388 -1.322195 -2.478729 -3.055988 -2.769219 -0.759614
579 2290.1204515354 0.0000000000 1.0000000000 0.6242031596 38.0000000000 5.8074277755 0.9171972300 4.8913085100 -0.2702966590 4.1448670513 -0.2523830630 23.9248989398 -547.5512668706 26.9017222527 6.8505320426 -0.963019 -0.085747 -0.168072 1.686138 -3.899201 -3.770351 -1.540069 -1.315387 -1.529794 -0.085701 -2.791521 0.010663 1.622546 -2.386958 -0.988150 -1.107326 -1.029835 0.481615 -1.672780 -2.825544 -1.928574 -1.918780 -2.053345 -3.759194 -2.525338 -1.376652 0.870765 -1.680362 -2.100444 -1.631558 -3.989157 -2.206023 1.937648 -2.980726 -2.843570 -0.897350 -2.075545 -3.038730 -2.974603 -1.054777
600 2241.0096274092 0.0000000000 1.0000000000 0.6154498065 39.0000000000 5.7942812071 0.9150805107 5.5241613171 -0.1888069847 4.6852645295 -0.1837039187 30.5163582573 -530.3534185242 26.6216990254 6.7173130490 -1.847823 -0.067211 -0.698434 1.288559 -3.895010 -3.023252 -1.028973 -1.017824 -0.820645 -0.126886 -2.640832 -0.086971 1.811712 -1.553334 -2.267371 -1.826024 -0.354457 0.240628 -1.930398 -2.979902 -1.929403 -1.905453 -2.782571 -4.178075 -2.007534 -1.065590 1.452804 -2.466370 -1.689835 -0.929308 -3.526130 -2.880548 2.738033 -2.430930 -2.957429 -0.877921 -1.527562 -2.602477 -2.832162 -1.153977
637 2158.1911288499 0.0000000000 1.0000000000 0.5966508843 42.0000000000 5.7561236391 0.9089316348 5.3706516489 -0.0741479601 4.6927516166 -0.0946929677 28.8438991340 -461.8622324120 24.6892407956 6.2966394597 -2.194190 -1.207851 -0.324723 1.349454 -3.664082 -2.942453 -1.450899 -2.677354 -1.182540 -0.635174 -3.079736 -0.601419 1.147436 -1.744832 -1.185812 -0.921537 -1.877295 0.569788 -1.365834 -2.901872 -2.219621 -1.144412 -1.799726 -4.020469 -1.947360 -2.117697 1.033675 -2.537407 -2.628578 -1.967742 -3.519177 -3.824120 3.364333 -1.855007 -3.369945 -1.482103 -1.163363 -2.666745 -2.290922 -1.311336
674 1836.7085750493 0.0000000000 1.0000000000 0.5713929074 44.0000000000 5.7327027894 0.9051707500 5.4099088430 -0.1058626974 4.6236532312 -0.1105799238 29.2671136899 -456.4327167778 25.8549196098 6.6136096350 -1.908557 -1.393683 -0.934223 1.943975 -3.694713 -2.765485 -1.338361 -2.801975 -1.401389 -0.018315 -1.853609 -0.545629 2.131278 -2.270562 -0.931667 -0.624890 -0.639402 0.664276 -1.852950 -3.420657 -2.839808 -1.947529 -1.351857 -4.429980 -1.831719 -1.341452 1.333719 -1.629713 -1.338603 -1.327597 -3.595884 -3.044678 2.813805 -1.049713 -3.018829 -0.373184 -0.972227 -2.399147 -2.848224 -1.030781
742 1530.9386413189 0.0000000000 1.0000000000 0.4953624070 49.0000000000 5.6661827166 0.8945429574 4.6744418902 0.0046062174 3.8532515170 -0.0319110985 21.8504069853 -348.9008457896 25.3314578790 6.4100244138 -2.000239 -1.298616 -1.281577 1.141595 -3.641864 -2.535020 -2.424941 -1.878325 -1.199345 -0.596617 -2.559886 -0.201613 2.653644 -0.292661 -1.423726 -0.441897 0.155851 0.766379 -1.778422 -4.381557 -2.495026 -1.115699 -1.438063 -3.361761 -1.437939 -2.236550 1.920001 -2.081084 -1.777694 -1.380770 -2.617256 -3.340485 1.610487 -1.225310 -3.100765 -1.138652 -1.954928 -3.589943 -3.569478 -1.050900
801 1070.1255334452 0.0000000000 1.0000000000 0.4476907631 53.0000000000 5.6164949875 0.8866251217 4.8759811172 -0.2289788071 4.0941742223 -0.2018004666 23.7751918552 -273.8581672431 25.1152124242 6.4020214815 -1.260070 -1.628161 -0.860048 1.783018 -3.606137 -2.071637 -2.200644 -1.997698 -0.995606 -0.029495 -3.131690 -1.094320 2.535578 -0.876952 -1.486505 -0.562836 0.035107 -0.342062 -2.351516 -3.572565 -2.844759 -1.099505 -1.608510 -4.121953 -1.290621 -2.013889 1.526973 -1.862505 -1.308513 -1.976677 -3.035159 -3.245949 1.999396 -2.177348 -3.570271 -0.661529 -2.455410 -3.481463 -4.532474 -2.231900
