fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.lda_qda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,optimal_budget
1,1,0,1,0.10306708209301021,0.005130789798222467,0.14285714285714285,0.9160663083792054,2.29018328399915e-07,3.2566814768783134e-09,1.2026872580632621e-08,0.0011163599476379739,0.0,1.0,0.2049689440993789,0.16849816849816848,0.3637405340773216,0.1087476529903122,0.06717809975558642,0.06986164293453423,0.10603871715873003,0.11672633838086527,0.07121647923450203,0.06902250972046231,0.11013014548665256,0.2423820030524717,0.1997704122608297,0.19797404588875378,0.20459827665403363,0.21082313007293685,0.18637588429386442,0.16956988806661677,0.19372009255640954,0.6720525654410348,0.12151898734177216,3.311215835375343e-07,0.1461988304093567,0.284210526315789,0.8330638920477025,0.8245577521436864,0.9682383227344937,0.2967484477476049,0.6772367050254033,0.0,0.11206896551724138,0.5714285714285721,0.11669749453505968,0.22790697674418608,0.15294117647058816,0.28525780682643426,9.502112766236306e-05,0.010054019626545181,0.0008359841366933127,0.00234346846630208,0.0033055372954935536,0.0007458643047651838,0.003048238976351148,0.0071944315891381136,0.0049901337136430395,0.4975711162740625,0.5116669061910971,True
1,1,1,1,0.09549658393348837,0.0038676254889301615,0.14285714285714285,0.9095905108105369,2.288717802388499e-07,1.9231543691606497e-08,1.2106222285238523e-08,0.0001552200423676993,0.0,1.0,0.09627329192546569,0.12454212454212454,0.18464437117286853,0.042681512566949964,0.054250969662248405,0.06389751700462942,0.07245162576734032,0.04892032239109606,0.05110593160833787,0.0637961652263721,0.07244377611240183,0.19155894278166696,0.19336609294489848,0.19767714012069326,0.1797316854119727,0.15205292309717133,0.1691080405963683,0.16511586244052823,0.15998260946573684,0.652241886710327,0.11645569620253163,3.311215835375343e-07,0.14327485380116953,0.32631578947368434,0.8317249828841558,0.9115952667722382,0.9841970897339927,0.1685414920916518,0.6923389978238372,0.0,0.22413793103448237,0.4285714285714297,0.2381581521123668,0.19069767441860463,0.08823529411764705,0.36666666666666664,2.3556789522562124e-10,1.0797879338426573e-09,7.2117291279991e-09,2.3654472640002577e-08,3.4420965396899743e-07,1.0817873832019069e-06,6.326189579908749e-05,0.0012567849703411654,0.0026921989667841846,0.4067507851391155,0.4476795693941251,True
1,1,2,1,0.10380971307137707,0.005396454315318483,0.14285714285714285,0.8937754116278093,2.3148479262857423e-07,2.9839349968560565e-09,9.720929142028015e-09,0.0009846498732704804,0.0,1.0,0.11180124223602486,0.09523809523809504,0.3031311416830446,0.06320586975797371,0.06294327053469884,0.08328944658889059,0.13125607089640767,0.08181024536958054,0.07050712793762792,0.09665948191403684,0.15191128666129317,0.19883951580650971,0.1903848529486123,0.20350569641937022,0.22118048283475422,0.18664746264502596,0.19261636574861574,0.2009529822059033,0.2379174309505787,0.8433994610489379,0.12405063291139244,3.6877969650495055e-07,0.14035087719298248,0.4421052631578948,0.8129292205176171,0.8612772226277663,0.9662186251438749,0.25663219888693656,0.6791514068665927,0.0,0.16379310344827597,0.4285714285714297,0.1769027772534943,0.1953488372093023,0.14705882352941177,0.2470370370370371,0.004682807778146701,0.0019442960682145999,7.161342558009263e-09,3.616317672889529e-08,0.0011199859151245575,1.296268237092232e-06,5.3239375094884125e-05,0.0018130498872634846,0.003972610169175954,0.469190721643423,0.5031219011387338,True
1,1,3,1,0.11157648461540447,0.007045162818337943,0.14285714285714285,0.920653966043762,2.3048439543708196e-07,4.487433949792708e-09,1.1974672277436377e-08,0.0007950360542236328,0.0,1.0,0.08695652173913043,0.09890109890109888,0.21515763590058862,0.09652628633438365,0.09057641928152727,0.09780939252112586,0.14272085467589923,0.10598731229141778,0.10344149545384307,0.11609991248928675,0.17247479040907543,0.23581161750216695,0.22356157790701525,0.22611358541270832,0.2408715101676031,0.21814631980916965,0.2326868340699042,0.23025470814358673,0.267816856216211,0.6635130132061344,0.12151898734177216,2.813332792059859e-07,0.13742690058479534,0.04210526315789487,0.8140235865236534,0.8321850627851788,0.9513846134760042,0.30755759183085674,0.7737471632047039,0.0,0.18103448275862077,0.5714285714285721,0.18530351437699688,0.13023255813953488,0.1294117647058823,0.17501970055161553,2.3556789522562124e-10,0.003848749693725333,0.0007862523021825246,0.009304247528041437,0.009971341200029106,0.002286153432452426,0.0006324388589709816,0.004696076359500737,0.004122749628361858,0.5357069279200047,0.5419240347345908,True
1,1,4,1,0.10785227907853456,0.006191560595533099,0.0,0.9050487640554628,2.2762520646810033e-07,2.450382500998751e-08,1.3562359914937156e-08,0.00013100116392193194,0.0,1.0,0.13043478260869568,0.12087912087912087,0.2890394579513749,0.0,0.0,0.009775240567690746,0.01604020706359821,0.0,0.005831112922371706,0.010049621237962492,0.023953185763864737,0.19463463227663502,0.18812022607476897,0.1940566327643155,0.17265213677412483,0.15384324591293397,0.17782340848021672,0.16808059849909507,0.1663934785241593,0.7395651345070884,0.1189873417721519,1.9079070420501854e-07,0.13157894736842102,0.43157894736842106,0.8066759955351515,0.9250771945131717,0.9801999456205559,0.20684409593719788,0.6605231139243384,0.0,0.18965517241379315,0.5714285714285721,0.19387926685723905,0.25116279069767444,0.0764705882352941,0.5203703703703704,0.0002707887947682278,0.0020088251341043254,0.004532044298798418,0.0005181587132767754,0.0020850904249313123,0.004390791823591879,0.004361475918876725,0.005652425955738252,0.006408526753222631,0.4068059460534219,0.44069688172682,True
1,1,5,1,0.10872481423195887,0.006828007820548483,0.0,0.9041416155935486,2.29637827703865e-07,1.1650478651079892e-08,1.111686085489677e-08,0.0002576125841811347,0.0,1.0,0.037267080745341616,0.032967032967032794,0.22602047263995967,0.12234806517746355,0.08650090709246994,0.07642407731253964,0.10264071911722816,0.1222332594445002,0.080785366446396,0.07287995865433328,0.10744970689131861,0.2723432428728577,0.23678269162847887,0.22578080384915478,0.2230944133683045,0.22952276553218898,0.21082842170342775,0.1902296874024636,0.20802203252127915,0.6637557999906298,0.12151898734177216,4.10457286499518e-07,0.14035087719298248,0.3368421052631576,0.8144164834606888,0.911800775937472,0.9798651550406774,0.21301606620843727,0.7407812889847991,0.0,0.3103448275862071,0.5714285714285721,0.313939801580629,0.16744186046511605,0.15294117647058816,0.19557007988380531,0.003833940696000618,0.005558472314826661,6.662049488080413e-09,3.547570324976367e-08,1.1716565567212828e-07,3.338883958798292e-07,4.6371173514778914e-05,0.001431190264785575,0.0032844376171746927,0.45409556432440595,0.4889699233337591,True
1,1,6,1,0.10566204484212072,0.005619289075182986,0.0,0.9142605641409705,2.2915680324278838e-07,6.433707654380823e-09,1.25845547656634e-08,0.0005709030459166676,0.0,1.0,0.11801242236024848,0.0879120879120879,0.3456930051813472,0.07561152980962854,0.07228629064814984,0.08449161997326204,0.10734779095142499,0.09002873357494384,0.08061881013464856,0.09664481396161873,0.1285128049353983,0.23958899367110498,0.2305556362092378,0.23831450687847888,0.23277087723423806,0.22136472697815401,0.23203959476555558,0.23287885309337153,0.24805214313835855,0.7628634212793517,0.10632911392405064,2.9709530052904956e-07,0.14327485380116953,0.3052631578947369,0.762740299514614,0.8915129382506883,0.9748247053318311,0.1671424530128251,0.755012775531755,0.0,0.16379310344827597,0.4285714285714297,0.1769027772534943,0.15813953488372096,0.08823529411764705,0.30509259259259264,0.0003217605522044921,0.003747817726394955,6.822914746149529e-09,4.934745614184261e-05,0.003736586235269964,4.835802021082153e-07,2.7439080441483938e-05,0.0015549447922310802,0.004108051775547107,0.4943989555220282,0.5135129744772207,True
1,1,7,1,0.10126822168092012,0.004470693750837191,0.14285714285714285,0.9301299893250691,2.3007630037454847e-07,7.322029864678106e-09,1.0440752725363596e-08,0.0004064880126883023,0.0,1.0,0.09006211180124224,0.08424908424908426,0.2642722562411683,0.09562393683826331,0.07774618933674804,0.07391085788026275,0.10463281626037857,0.0883939227607925,0.09608890869626296,0.08986377516854782,0.12766353603973057,0.248641491187802,0.22738657277394048,0.2213703351101276,0.22257277807085785,0.21294607813474054,0.23703849915112296,0.21899586563821505,0.23941207992020352,0.7309142016192474,0.1189873417721519,3.890902622535733e-07,0.15497076023391818,0.3157894736842106,0.864912427605173,0.8950999730063813,0.9867420103238285,0.1747059922046995,0.7701282476802351,0.0,0.18103448275862077,0.5714285714285721,0.18530351437699688,0.22790697674418608,0.15882352941176467,0.2746438746438746,0.015356943972922435,0.0112915347764895,7.010932636588505e-09,4.754098806895697e-08,4.0636200796047053e-07,6.152665256187112e-06,8.294048448855685e-05,0.0018722615515724176,0.0038413071853287224,0.4644133051970963,0.5243859790210131,True
1,1,8,1,0.09192676841320513,0.0039211632440499305,0.14285714285714285,0.9035086000254836,2.3125523605510478e-07,1.6101319687509104e-08,1.30668301205653e-08,0.00021195789081723967,0.0,1.0,0.1614906832298137,0.15018315018315018,0.30083753282702824,0.09874944526042329,0.08696082553932305,0.11303183108081871,0.14367946108483165,0.10836643717778471,0.08880951398925485,0.11115620976566432,0.1489746968547978,0.19896015817161294,0.17895780795912042,0.1961730110362514,0.20037757282109092,0.16837740687713054,0.16188649518428233,0.16573091294724296,0.18925215106446192,0.7798962643743184,0.1189873417721519,2.9709530052904956e-07,0.1461988304093567,0.3999999999999999,0.8048463260161514,0.8845755943517517,0.9615665023659128,0.24525060242151564,0.7470961678089989,0.0,0.17241379310344834,0.5714285714285721,0.17672776189675476,0.09767441860465115,0.12352941176470586,0.13107890499194852,0.0031007473825675614,1.249968247775882e-09,1.2390563257312021e-07,5.396546151679617e-08,1.339347040526601e-07,9.161430814636314e-07,2.937779948139519e-05,0.0017960763313174244,0.004281071314293561,0.5567346472619586,0.5774331929584338,True
1,1,9,1,0.09233254566373081,0.0036108171925404615,0.0,0.9191086837888734,2.311938653315971e-07,1.4384215660955886e-08,1.1561844423346772e-08,0.0002101333492315632,0.0,1.0,0.04658385093167686,0.08424908424908426,0.11886481394253406,0.11389447294292288,0.10062161947616255,0.12026979722487952,0.17755073024757084,0.11763266506815212,0.10738514799868182,0.12963027709020636,0.192995855255098,0.23996581569555053,0.22098693021892646,0.23378119702317535,0.26072335800419355,0.2106517095384799,0.21661982411696767,0.22185980339470646,0.2672060261977026,0.7264858675637451,0.1189873417721519,3.6877969650495055e-07,0.1461988304093567,0.32631578947368434,0.8578851203119289,0.8067676047889023,0.9556129558975615,0.3171595181020632,0.749094817698631,0.0,0.043103448275862044,0.5714285714285721,0.04809147469312253,0.10232558139534884,0.12352941176470586,0.13872785829307577,0.0030649753004838498,0.015155247106567231,0.0060584271317846005,0.011272965062518221,0.011992915506369696,0.011643062290795238,0.005395535242281721,0.012855217197255247,0.007413117869756482,0.6045288798193187,0.5999702362781952,True
