fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,sigma,d_norm,d_mean,ps_norm,ps_mean,pc_norm,pc_mean,loglikelihood,mhl_norm,mhl_mean,std_y_last_1,mean_std_x_last_1,std_y_last_2,mean_std_x_last_2,std_y_last_5,mean_std_x_last_5
1,1,0,1,1.6911838845462477,3.777752454869197,3,0.482078379490501,107.31240158186408,0.9745392387438072,4.538019848244573,4.656579917802115,0.7369882317416503,0.9999999999999842,1.000000133582143,0.9999999999999966,0.3910714285714285,0.1107142857142857,3.532258064516129,0.2303571428571428,0.1321428571428571,1.7432432432432434,0.2288595479496914,0.1710246121734175,0.298659884636167,0.4114672347744248,0.2369823300258707,0.1670630826775325,0.3379246553898226,0.4137475958086254,-4.1439078551747865,-4.454697730131568,-3.768819033521244,-3.162621727808014,-3.959718112675576,-4.322567521076885,-3.435872899375622,-3.042385982430652,0.8428738681764524,1.1261261261261255,1.7589165903277326,0.3333333333333329,0.5714285714285714,1.001640333617838,0.9196259022192896,0.9509190793287507,0.1496271356341099,-0.403887929787832,1.2218893316,1.5146761424,0.6701531783,0.9188546678,-0.1028694695,0.5751693235,-0.079077711,-45.8042384602,7.3952800223,2.4427917443,2.3924439407892137,0.7748296142904715,2.80208737973353,0.8794415503272093,7.836905551704094,1.3139699582316908
1,1,1,1,1.354992649973998,1.443657831300082,1,0.625888592560556,102.58759946888186,0.3729201980033978,4.12493439361962,11.061171842405908,0.7505856826377459,0.9999999999999803,1.0000001218842445,0.9999999999999896,0.1517857142857142,0.0982142857142857,1.5454545454545456,0.2142857142857142,0.1642857142857142,1.3043478260869563,0.3184208415668132,0.2706847763286621,0.3199967321791381,0.4587631332511656,0.3378329489752199,0.2632722597459437,0.3209472998187635,0.4899161396525133,-2.730652320639696,-2.921900242040953,-2.724338733575925,-2.168390403252536,-2.500444121897431,-2.781996695102992,-2.5642069172711075,-1.9261547192762585,0.8471434316498804,0.7957957957957954,0.8648423275731727,0.1571571571571572,0.5714285714285714,0.973621833635773,0.9370898124603104,0.9518070665289396,0.1473887220684426,-0.3840562510398936,1.1219309783,1.5201080341,0.6698693955,1.0590286852,-0.106454649,0.5610134528,-0.1192900652,-42.5140474286,7.3543850718,2.2080407477,4.3864932442625,0.7818854455276973,3.4677506399260007,0.8195628383971709,6.55264491640189,0.9865735377089369
1,1,2,1,1.873473197931641,3.400623204139388,2,0.5070443473352293,100.25879440789848,2.311134119179393,3.474688851663734,1.503456170210269,0.7929540904905488,0.9999999999999796,1.000000371733511,0.9999999999999912,0.35,0.1946428571428571,1.798165137614679,0.2946428571428571,0.1964285714285714,1.5,0.1794160462261867,0.4352260994622617,0.4365381637605702,0.5477559625547275,0.1821675957610176,0.4974762098789578,0.4848551473044382,0.5363152234146394,-3.9513803248432007,-2.71957118867194,-2.71325316962048,-2.177703065445841,-3.8786472376465415,-2.3832664251282125,-2.4431230036118894,-2.199068743815664,0.7944111421517229,0.94994994994995,1.6306163126774824,0.3113113113113108,0.4857142857142857,0.9941199673056244,0.9254420576074712,0.932928740571242,0.1451987234611421,-0.4291206933038839,1.201708096,1.4952448247,0.6585034552,2.0016227434,0.3354202535,1.536416865,0.1633035799,-41.0173690489,6.6566100903,2.2027137623,4.071468866415066,0.7323364112074875,3.751831770899805,0.856524047636835,4.394358041355561,1.195417237180194
1,1,3,1,1.5684817110718263,2.46331616556106,2,0.337466005239085,99.77700964914008,0.757124894327789,3.441994111657115,4.546137813515006,0.7130161648984434,0.9999999999999714,1.000000395549017,0.9999999999999892,0.3321428571428571,0.1410714285714285,2.354430379746835,0.275,0.1214285714285714,2.264705882352941,0.2820376714993874,0.345384198678169,0.3773552386053875,0.4844298790918183,0.2910795288019126,0.334482436834027,0.3872128914470679,0.4986001450518249,-3.205016827688424,-2.922235019334193,-2.779514827900993,-2.3015287122584285,-3.0663493416086536,-2.878615337760164,-2.650536164771741,-2.1687441364257207,0.8437615899401264,0.7737737737737733,1.2333634979137746,0.3333333333333329,0.5714285714285714,1.038318704310045,0.9260436554753624,0.9497006392323296,0.1653556833723226,-0.4405748283286239,1.0295184084,1.4948921084,0.6609517893,0.7107065621,0.1897199212,0.6156986469,0.1452509971,-47.5187727143,9.1789645473,3.0975577501,1.5157419329796094,0.7421236283070872,1.9986645405383368,0.8229686477207855,4.019124022469841,1.0656655553827217
1,1,4,1,2.9438239371764827,10.199484165963456,3,0.3608887451142017,104.73234304421486,1.0254154199964165,2.712185949377589,2.644963101283446,0.7706975412509014,0.9999999999999654,1.0000004922695551,0.9999999999999896,0.3071428571428571,0.1660714285714285,1.849462365591397,0.3999999999999999,0.1910714285714285,2.093457943925233,0.3762360526147386,0.4555194879291351,0.4469788268472183,0.5697895283361004,0.4018974247799119,0.5214847659293687,0.4555135911421424,0.5948846911629014,-2.875737623342252,-2.510217367166543,-2.5495923591077068,-1.983398438633332,-2.5813675597838817,-2.065237223962436,-2.3499640543291385,-1.7484484426757434,0.8609023760909489,0.8178178178178177,1.6719497597319883,0.2892892892892895,0.6,1.029858998779683,0.9350011759819964,0.9626989058688192,0.1538145557094004,-0.3762993160042284,1.2224906306,1.5174708761,0.6729580361,2.063870089,-0.7062711575,1.5511222314,-0.4904404994,-58.3935593484,9.3127990165,3.0038107825,2.5520185211751616,0.7277658140487,4.8739699774775564,1.0073209086425838,6.453071493984853,1.1868840729744596
1,1,5,1,2.534277284174951,6.844221888264045,3,0.6215970094540628,104.05332190731308,0.9310692136446472,3.9765021751330254,4.27089857215567,0.8631650595804664,0.9999999999999806,1.000000537228868,0.999999999999996,0.35,0.1410714285714285,2.481012658227848,0.3089285714285714,0.1982142857142857,1.5585585585585586,0.2308126721111349,0.2379716181054454,0.326132257827666,0.4212268879864541,0.2512307016262137,0.2852892875987395,0.342438942786691,0.4763483166470454,-3.0187578053117536,-2.990661757295148,-2.644665912546672,-2.27145688188964,-2.699797038832686,-2.576993833953483,-2.370932407314009,-1.888102606726153,0.796610975828691,0.7297297297297298,0.9098272894455568,0.2232232232232229,0.4142857142857143,0.990216533735965,0.9323632677301296,0.9782735674671016,0.1384451401761453,-0.3145428550723873,0.9364454862,1.4668795097,0.6503989751,1.460965093,0.1942884768,1.0593759779,0.1251212914,-41.2058671007,8.7689895151,2.9455006587,1.797030995062321,0.611334181985598,1.8972771354920255,0.7168286656425542,3.039798585395949,0.8250038752088822
1,1,6,1,1.6221398336071606,2.384367819288503,2,0.4680383721819275,101.38848642925376,0.8534534429518854,4.261009533966261,4.992667812351284,0.6078441329957929,0.9999999999999712,1.0000004021406612,0.9999999999999912,0.3357142857142857,0.125,2.685714285714285,0.2321428571428571,0.1089285714285714,2.1311475409836067,0.3882555035775617,0.3102231156106356,0.385988505038028,0.4559610216314675,0.4067083984410468,0.3202354552601365,0.4068129678759042,0.4813511125357599,-2.579559899713942,-2.9086012234292657,-2.589119215015494,-2.2940641733402805,-2.3882414236420395,-2.736330397742195,-2.387820488885307,-2.0877739615953006,0.885128068033033,0.9279279279279278,0.8648423275731727,0.2452452452452451,0.5714285714285714,1.0208312724077122,0.9325866443666228,0.9535973913369704,0.1555775658911633,-0.4083956598908363,1.0384609061,1.5188339358,0.671415875,0.852044016,-0.21033797,0.4989247497,-0.0957325557,-36.4711390279,6.5349166294,2.156972842,1.5406979325027392,0.7796159139774058,1.9261368865821933,0.764399281963474,2.983463718178685,0.9262311157692068
1,1,7,1,0.720668375312757,-0.7965761537873983,2,0.1908396511353862,96.496164984748,0.0283596385607474,2.664171471382656,93.94236339352118,0.5400804987245701,0.9999999999999498,1.0000002168057285,0.9999999999999892,0.3035714285714285,0.0946428571428571,3.20754716981132,0.3464285714285713,0.0982142857142857,3.527272727272728,0.317991471235336,0.2767351699587868,0.3557845217754037,0.4310950115040471,0.3232146257389643,0.285310138066373,0.3654705451613884,0.4391269874358632,-2.805475304985282,-2.975185109958015,-2.6500117506184906,-2.340218382604815,-2.7390002795089945,-2.8924025341650315,-2.5679874599200643,-2.269894410557547,0.7520192758948169,0.8838838838838833,1.5892828656229765,0.1791791791791794,0.5142857142857142,1.051037648053195,0.9486594288048388,0.9782862332320512,0.1377885194952574,-0.4668441032053206,0.9192640651,1.5069074029,0.6657103389,0.7667962051,0.0656264773,0.5999233831,0.0580009415,-43.3466551975,9.1494630589,3.0736166997,1.8034127249775949,0.6483089537389388,1.5527172062021548,0.7664045844618823,3.5418646395206954,0.9250247725117442
1,1,8,1,2.30326845296695,6.742234677317311,2,0.5047216614906325,92.3692509412498,0.5941026805303888,4.862894058020471,8.185275403368138,0.7633779209913689,0.9999999999999848,1.0000003239347768,0.9999999999999936,0.3178571428571428,0.0964285714285714,3.296296296296296,0.3017857142857142,0.0964285714285714,3.1296296296296293,0.436614270847738,0.3478295084917377,0.3701939948340871,0.4549626407911449,0.4682153942840953,0.3764094800423246,0.3915297272723673,0.4767565977401656,-2.5126697580859205,-2.908644976852023,-2.8089005822396427,-2.4308370245228184,-2.211655959333052,-2.59347050445605,-2.5305864259523223,-2.1761336758362155,0.8095212991302241,0.94994994994995,0.8873348085093646,0.1351351351351351,0.5714285714285714,1.0320844496554085,0.9485194517279176,0.9633673503449564,0.1422647672234932,-0.3688753618451408,1.0188541715,1.4177520608,0.6223573152,1.7717723028,-0.6717690679,1.1457584429,-0.424276858,-38.5112212101,8.2208043641,2.7546448398,1.2566613068953956,0.5625469303463968,1.5842155914191889,0.7413431950924376,4.020896313402081,0.9470699575263989
1,1,9,1,2.3299000961137093,5.1982558663130565,2,0.6351225739688311,103.04896861623992,1.3781082724785303,5.471758639681356,3.970485301449057,0.8217219948564449,0.9999999999999816,1.0000004085721907,0.999999999999994,0.3071428571428571,0.1107142857142857,2.774193548387097,0.3749999999999999,0.1553571428571428,2.413793103448276,0.1389671214722928,0.1868788517110338,0.2806731480280448,0.4275379961219586,0.1561168638724928,0.2187351888264856,0.3140241526733212,0.4816323501810352,-3.4985284100213887,-3.303854601861899,-2.9227518373262145,-2.32601406307466,-3.052180554764496,-2.8257008141293856,-2.481056976510353,-1.8748468754296324,0.8082816026867187,0.94994994994995,0.7814350607844542,0.2012012012012007,0.5285714285714286,0.967923888720528,0.9292039223106324,0.9674845997323618,0.1426455659070751,-0.3537173214757069,0.8788696122,1.434396458,0.6361745045,0.4707598609,0.0673584865,0.4139864788,0.095942331,-33.2443237231,7.8520133195,2.6645659521,2.4655014143831524,0.5827386793373379,2.394459971345131,0.6410947483624676,3.5467339349403004,0.9176260706398262
