evaluations raw_y rep iid sigma t d_norm d_mean ps_norm ps_mean pc_norm pc_mean ps_squared loglikelihood mhl_norm mhl_mean x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39
1 7539.9710171861 0.0000000000 1.0000000000 0.3694546066 67.0000000000 5.5062358102 0.8685616154 5.7268453061 -0.2018267257 4.7238987408 -0.1633656834 32.7967571596 -195.6001011832 27.4099248101 6.9926366783 3.528105 0.800314 1.957476 4.481786 3.735116 -1.954556 1.900177 -0.302714 -0.206438 0.821197 0.288087 2.908547 1.522075 0.243350 0.887726 0.667349 2.988158 -0.410317 0.626135 -1.708191 -5.000000 1.307237 1.728872 -1.484330 4.539509 -2.908731 0.091517 -0.374368 3.065558 2.938718 0.309895 0.756325 -1.775571 -3.961593 -0.695824 0.312698 2.460581 2.404760 -0.774654 -0.604606
2 3103.9575975556 0.0000000000 1.0000000000 0.3694546066 67.0000000000 5.5062358102 0.8685616154 5.7268453061 -0.2018267257 4.7238987408 -0.1633656834 32.7967571596 -195.6001011832 27.4099248101 6.9926366783 -2.097106 -2.840036 -3.412540 3.901551 -1.019304 -0.876149 -2.505591 1.554981 -3.227796 -0.425481 -1.790933 0.773805 -1.021610 -2.361264 -0.056364 0.856664 0.133034 0.604944 -1.268644 -0.725482 -1.344921 -0.719106 -1.626293 -3.452565 0.354852 -0.803562 -3.260397 0.925565 -1.814597 0.103891 1.458181 0.257966 2.278801 -2.469652 0.804683 -1.369620 -1.741594 -1.157699 -0.623105 0.112331
15 2615.2311615907 0.0000000000 1.0000000000 0.3694546066 67.0000000000 5.5062358102 0.8685616154 5.7268453061 -0.2018267257 4.7238987408 -0.1633656834 32.7967571596 -195.6001011832 27.4099248101 6.9926366783 4.022513 -0.089191 0.390139 -3.563126 -1.458089 0.393115 0.709515 1.233773 0.017256 1.054008 0.907564 -3.659481 0.074011 1.535805 1.179760 -0.727718 -1.611253 -2.236624 -0.262108 2.266160 -3.903608 -1.319783 -2.279605 1.569915 -1.108619 -0.941275 -0.433899 0.890787 -0.784778 -5.000000 1.086624 0.878086 -0.439082 -2.168073 0.703560 0.758471 -0.940066 -0.433463 -1.860313 -0.357178
20 1894.1586387964 0.0000000000 1.0000000000 1.8875101982 1.0000000000 6.3094470312 0.9975909656 3.1656312092 -0.2374384757 2.6845746185 -0.2013567795 10.0212209529 -1289.6149957781 26.8236104571 6.8142506809 0.479965 -2.811202 1.869675 1.252490 -0.480604 0.020843 -1.201660 1.451701 -0.515203 -0.512531 -0.988140 1.443262 -1.158578 1.135854 0.667447 -2.030743 -4.403704 0.121616 2.026956 2.637792 -5.000000 -1.946689 -2.101722 -1.450601 -2.778673 -1.662136 0.162801 -1.002910 0.380766 -4.593330 -0.348983 0.198674 2.167820 -1.353286 1.100023 -0.782349 -1.538243 0.106749 0.251776 0.324999
30 1845.3070016796 0.0000000000 1.0000000000 1.8875101982 1.0000000000 6.3094470312 0.9975909656 3.1656312092 -0.2374384757 2.6845746185 -0.2013567795 10.0212209529 -1289.6149957781 26.8236104571 6.8142506809 -0.490202 2.014361 1.004143 -0.470891 0.643836 1.227196 -1.098277 0.467726 0.278452 0.767537 -0.536333 -0.790235 0.735254 1.330744 -1.460449 -0.703008 1.125710 -1.278539 -1.086291 -0.376964 -2.805534 4.581041 -4.433063 0.801876 -0.778204 -1.799441 0.106329 1.042959 0.235324 -3.250926 -0.023099 -1.648276 -1.142386 -0.200229 1.182502 -3.126818 -3.162748 0.154686 1.209048 -2.631109
92 1599.8132315020 0.0000000000 1.0000000000 1.6090721663 6.0000000000 6.2458402315 0.9874228707 4.6279427836 -0.1759298463 4.1515500280 -0.1793503939 21.4178544078 -1158.7570617489 25.8573992563 6.5883151986 -0.803509 -0.697961 -1.620344 4.107854 -3.344741 -0.892504 -1.573376 1.017705 -0.804676 2.659334 -2.875250 -0.020639 -0.902079 -0.976343 -1.258273 0.969893 -2.614051 1.676514 -2.127255 0.028447 -1.937749 0.681548 2.087888 2.867878 -0.432973 -3.743501 -1.658696 0.251350 1.408545 -1.983173 -1.172203 1.681873 0.207670 0.356909 -0.255341 -3.809682 -0.371640 -2.199597 -1.125456 -1.902235
108 1578.5993874474 0.0000000000 1.0000000000 1.5563949397 7.0000000000 6.2328377935 0.9853331477 4.4914771526 -0.2388161065 3.9608848455 -0.2316233948 20.1733670127 -1154.9219816298 26.5137914551 6.7164628400 1.886986 -1.739208 -1.173473 0.373361 -1.161126 -0.922497 -3.768072 0.937892 -1.322252 1.539083 -2.756768 -1.036429 -0.949735 3.357087 -0.013545 -1.017713 -2.025201 2.354517 -1.304139 1.335762 -0.437692 5.000000 -0.000712 1.202317 -1.241882 -2.226082 -1.517494 0.233433 0.342790 -0.494288 -0.673328 -0.564479 0.544440 1.456645 -1.309132 -1.978697 -1.236991 -1.615519 -0.465411 1.374787
121 1424.8067313229 0.0000000000 1.0000000000 1.4976385916 8.0000000000 6.2183495334 0.9830252149 4.2114078450 -0.0608413632 3.7496171353 -0.0872402712 17.7359560371 -1110.1661515930 25.8081970796 6.5491279570 -1.075642 -2.014377 -1.489191 3.092448 -2.121679 -1.585264 -1.766949 1.644520 -0.618185 0.763826 -1.761892 1.564448 -0.426104 1.607060 -4.447213 -0.279537 -2.591210 1.753634 -2.034068 1.304931 -1.391182 2.464910 -0.285446 0.514361 0.016440 -4.133068 -1.113937 -2.346180 -1.133562 0.289648 -0.213568 0.197558 -0.380569 0.556958 -0.623702 -5.000000 -0.107870 0.884576 -0.255826 -0.768839
138 1353.3548277244 0.0000000000 1.0000000000 1.4593604146 9.0000000000 6.2048105587 0.9808523456 4.8899454908 -0.1387529173 4.3321675546 -0.1501986649 23.9115669030 -1085.1454369459 25.4895509551 6.4878247917 2.349394 -3.441807 -0.698658 0.643228 -1.192396 -0.234300 -1.262521 0.702780 -1.245339 1.083403 -1.855017 -0.580259 -1.176556 1.610483 -3.518940 2.408015 -1.893696 -0.523694 -1.862440 -0.633623 -3.255897 1.944634 1.838710 -0.494470 -0.621042 -1.784426 -3.285671 -2.241301 1.420942 0.296522 -1.044363 -0.574799 -1.489904 0.150144 0.651431 -5.000000 0.389642 2.652662 1.112706 0.172698
162 1344.6035585099 0.0000000000 1.0000000000 1.4237336219 10.0000000000 6.1917182506 0.9787606982 4.9533083135 -0.1178841504 4.3843435609 -0.1320892791 24.5352632483 -1042.0408206909 24.4138772591 6.2376923877 0.763697 -1.969754 -2.190294 0.283103 -0.999420 -1.407253 -5.000000 4.173285 -2.611278 0.983624 -2.886128 -2.450503 -0.601600 2.161852 -0.428441 0.374384 -1.244715 0.344053 2.496885 -1.577881 -3.625408 0.072553 -0.302367 0.486670 1.021618 -2.748233 -1.650883 -1.894448 2.476510 2.322358 -1.006028 0.755545 -0.711277 -0.682043 -0.000566 -4.769102 -1.157416 0.837776 2.099206 -0.296924
180 1333.5882420105 0.0000000000 1.0000000000 1.3947300928 11.0000000000 6.1784756343 0.9766302322 5.1760721181 -0.1247559323 4.6432349937 -0.1399410003 26.7917225713 -1083.8407049209 26.6899156224 6.7909545323 0.082438 -5.000000 -0.402295 0.863685 -0.835954 -2.506061 -2.708192 1.947845 -4.077285 -0.815145 -3.363928 -0.109788 -0.433646 1.237991 -3.080280 1.100438 -1.435145 -0.534639 -1.523279 -1.814420 -0.976008 2.080480 0.914217 1.483245 -0.984461 -3.294262 -2.863758 -4.598237 2.535293 1.170880 0.480988 -2.251752 -1.270121 -0.508781 0.391019 -3.845174 0.387686 2.111031 0.935911 1.224056
188 1223.4083093861 0.0000000000 1.0000000000 1.3780241056 12.0000000000 6.1655587180 0.9745570814 5.6358337070 -0.1111399340 5.1097913258 -0.1282526765 31.7626215734 -1005.0202242311 23.8679233901 6.0513911481 -1.646898 -1.049742 0.666968 -0.502964 -1.354226 -2.586570 -2.669317 0.653686 -2.551600 -0.835854 -2.853957 1.649024 -0.725961 2.377379 -2.773891 -0.767588 -2.718342 -1.553664 0.194432 -2.731960 -0.513044 1.933857 0.247638 -0.872074 1.163719 -3.333068 -0.872023 -4.130425 1.458640 2.516121 -0.085673 -0.839138 -1.351166 2.470444 0.551574 -3.629686 0.253903 5.000000 0.543714 -2.625787
199 1062.8295945628 0.0000000000 1.0000000000 1.3576413519 13.0000000000 6.1534911161 0.9726021371 5.4821667048 0.0051087139 4.9972279029 -0.0293216195 30.0541517792 -1040.5905414843 25.7706235566 6.5741743562 -0.275549 -2.320294 -0.780079 0.782957 -2.272483 -1.504144 -0.800662 1.073489 -1.633593 -0.730882 -1.381601 -1.956748 -1.345481 1.047791 -3.252846 -0.992164 -0.380936 -0.421830 0.816577 -1.873861 -0.688375 4.793409 1.706649 1.959528 1.441588 -0.825063 -1.104487 -4.922860 2.788916 1.374606 -0.652119 -0.713402 -0.268613 0.785449 -2.130291 -4.009351 0.059998 4.289142 0.860462 -0.668000
263 915.2843320989 0.0000000000 1.0000000000 1.2501940439 17.0000000000 6.1048157735 0.9647392666 5.2250077054 0.0197140769 4.9413652206 0.0012476304 27.3007055215 -989.0764208377 25.9975140116 6.6161539425 2.048384 -3.256019 2.611248 3.319822 -0.598105 -2.736443 -1.980702 1.007451 -0.738093 0.650117 -2.525662 -2.337448 -1.640555 0.301997 -4.041380 -3.148097 -2.786020 0.233350 -0.078341 -1.021667 -0.011249 5.000000 1.613712 1.892797 1.153705 -2.266961 -2.728708 -2.552274 1.087269 1.358088 -0.898582 -2.899554 1.053641 1.022266 -1.918457 -2.536467 1.187434 2.950139 0.978017 -2.358424
389 812.0066673708 0.0000000000 1.0000000000 1.0290237685 25.0000000000 6.0106353448 0.9495786468 5.4939846712 0.1465586732 4.7581925329 0.1270602228 30.1838675677 -823.4793599689 24.5696753995 6.2562528781 -0.642496 -0.736253 1.850264 -0.285323 0.315268 -1.337308 -3.236781 -0.723900 -0.114525 -1.407227 -3.027271 -0.176666 -3.289358 -1.184371 -1.113633 -3.908663 -0.550396 1.806204 2.277280 -2.102665 -1.773091 4.468019 -1.431432 3.702373 0.346491 -1.014683 -1.858442 -0.934001 0.985333 2.443272 -0.096862 -1.100554 0.017957 3.368977 -0.974365 -3.059836 1.093862 2.515580 1.105172 -1.657046
420 758.0463823814 0.0000000000 1.0000000000 0.9739103388 27.0000000000 5.9834636794 0.9452346974 4.6932918805 0.2190952047 4.0953191961 0.1894804020 22.0269886754 -806.5022795903 25.3678943918 6.4584969600 0.119072 1.167654 0.337433 0.992026 1.748327 -0.689630 -1.281605 0.942524 -0.168835 -0.452290 0.171862 -0.040967 -2.252691 -1.604267 -1.886726 -4.250313 -0.524799 1.425085 0.715196 -2.453323 -0.528576 4.612545 0.062081 1.872965 2.045385 -0.896952 -0.333839 -1.387692 0.887270 2.988158 -0.944472 -1.783454 -0.125462 2.017816 -0.803489 -4.376382 0.136213 3.089491 1.875635 -2.096956
476 746.0459887370 0.0000000000 1.0000000000 0.9220517287 31.0000000000 5.9329124903 0.9370922525 5.7086895585 0.2079158085 5.1991001462 0.2122850061 32.5891364748 -751.3349001289 24.7903293460 6.2718978749 -1.118810 0.430225 0.289750 2.911077 0.764360 -1.692731 -0.681090 1.663750 0.484057 0.552061 -0.340109 0.334351 -0.758456 -1.388866 -2.627574 -4.260372 -0.340280 -0.335890 2.969988 0.107913 -1.206188 5.000000 -0.465691 2.345798 0.028852 -2.732161 -0.329111 -1.580019 2.579211 3.714747 -0.184008 -1.994549 -0.918598 2.735948 -1.500582 -4.400888 0.472008 4.479771 1.206221 -2.611998
