fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.lda_qda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17
1,1,0,1,0.2548028817545859,0.0656373464443564,0.8,0.6307174315468563,0.0229062164525268,9.435143905368484e-09,7.099687572843776e-09,0.0002574693481332,0.8316927349774559,1.0,4.743384504624082e-20,0.1979166666666667,0.0106382978723404,0.7934426229508196,0.0521999474118533,0.0744326416032848,0.0784991054016843,0.0751526796631371,0.0461179817576034,0.0660363476334173,0.0797193477944117,0.0897287596670284,0.3564000751964516,0.3592124229487846,0.3745251980434556,0.3500697276278616,0.3059331597919126,0.3503170777154868,0.3696966774412106,0.403731175975425,0.5693857005451528,0.0339425587467363,9.38493251304868e-08,0.059748427672956,0.3863459182537032,0.8245147699452786,0.800103852105325,0.9661631248589496,0.0820864867852003,0.7412786665037482,1.0,0.3157894736842107,0.1185185185185184,0.1171875,0.6041666666666665,0.0666666666666665,0.2827245053272448,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,0.023437500000976563,0.07031250000092971,0.13281250000086722,0.13281250000086722,0.13281250000086722,0.13281250000086722
1,1,1,1,0.2311228895709035,0.0454799141915007,0.2,0.7434928555888014,0.0229062153505135,1.678817359087919e-09,5.913378761449377e-09,0.0015944623514928,0.8301606657967185,1.0,7.453889935837843e-20,0.1145833333333332,0.0425531914893616,0.2475409836065574,0.0492900982561337,0.0845255084566098,0.1039235181898359,0.1389274414923825,0.0419928267520265,0.0796879929563442,0.1050134557574315,0.1597792081320694,0.4165789803832905,0.4426969916391516,0.4733736984993488,0.4792633446879057,0.3494008932263596,0.4139798085051731,0.450860089874723,0.5254268882224791,0.6131807847897728,0.0130548302872062,1.2662652624741904e-08,0.0345911949685534,0.4024947098786056,0.8423820238516659,0.8223571114839103,0.9609309574298256,0.1519207207566122,0.7384690373616485,1.0,0.3157894736842107,0.1037037037037036,0.1339285714285714,0.7291666666666667,0.1333333333333332,0.1902587519025874,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12
1,1,2,1,0.2608199990013005,0.0646842782283335,0.2,0.5315566928532447,0.0229062110009457,1.5613232525303636e-08,5.758186281554859e-09,7.313648998173447e-05,0.7831775058948885,1.0,7.115076756936123e-20,0.4583333333333333,0.1808510638297872,0.1893011216566005,0.1146877264546645,0.1704327705529556,0.2240911294617967,0.3108633918654886,0.1158413249517283,0.1575996559464263,0.2164393270355031,0.3331133967316727,0.3892573814218407,0.4139694207622174,0.4631354329289512,0.5042318129934997,0.3390349918562944,0.3947431210404727,0.4389469862365701,0.5464778230685168,0.6441215715703514,0.0261096605744125,3.1351592871977135e-07,0.0817610062893081,0.3217507517540929,0.9218928609739137,0.8216994054608708,0.9673805923657186,0.1451996251347271,0.6311047789466283,1.0,0.4210526315789473,0.0888888888888888,0.1770833333333333,0.75,0.1999999999999999,0.132673769660071,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,0.01562500000098438,0.01562500000098438,0.01562500000098438,0.01562500000098438,0.01562500000098438,0.01562500000098438
1,1,3,1,0.2451445882259721,0.0550810007215421,0.2,0.3412973821315399,0.022906211186312,6.530108580840996e-09,5.212734607905664e-09,0.0002828314918012,0.7319511270916207,1.0,1.3552527156068804e-20,0.6041666666666666,0.053191489361702,0.7976580796252928,0.0590034025245054,0.1123158093621523,0.1210626850780122,0.132904632908357,0.0436688784224709,0.1061148704214964,0.1314875360711881,0.1662567635125954,0.4306871309800986,0.4684530129336762,0.4948404478113669,0.4891436743849191,0.3642534168896171,0.4428896397008347,0.4831381479939928,0.5525197478653592,0.5198034090395816,0.0078328981723238,7.335685400879785e-08,0.0345911949685534,0.2733043768793852,0.8843199034757525,0.8610856299436866,0.9678643002793644,0.1111805595527133,0.6370291888569426,1.0,0.3157894736842107,0.1259259259259258,0.1102941176470588,0.5833333333333335,0.1333333333333332,0.1582952815829527,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12
1,1,4,1,0.3364473502906575,0.1263451514068674,0.6000000000000001,0.3838484209093325,0.0229062137663751,5.741176079722171e-09,4.586358009494944e-09,0.0002847945575795,0.7291930880262206,1.0,3.7269449679189215e-20,0.2708333333333333,0.074468085106383,0.2918032786885247,0.0676419197401354,0.1103610155480357,0.1328177122740212,0.1670072233400329,0.0492993184962392,0.0963075423485449,0.1249785721374282,0.1812302028573774,0.4028720585756594,0.4279003319098709,0.458795986949374,0.4635763008280255,0.3270586007857062,0.3909009110042007,0.4234133208223273,0.4934451904634652,0.5751726450812933,0.0026109660574412,7.335685400879785e-08,0.0660377358490565,0.3863459182537032,0.9179229021236046,0.8535109385969646,0.9775232816076088,0.1704052877361967,0.6523728960369903,1.0,0.4210526315789473,0.074074074074074,0.2124999999999999,0.6666666666666667,0.0933333333333331,0.2382039573820395,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,0.01562500000098438,0.01562500000098438,0.01562500000098438,0.01562500000098438,0.01562500000098438,0.01562500000098438
1,1,5,1,0.3472242242545814,0.1199985549341101,0.4000000000000001,0.6688512702447936,0.0229062161275393,5.982084044022225e-09,6.452501264593218e-09,0.0004160248490262,0.885366482854878,1.0,8.131516293641283e-20,0.2604166666666667,0.0319148936170212,0.5573770491803279,0.0668127478912987,0.0835560580512222,0.1009692287511317,0.1149776007803228,0.0619113658104864,0.0839269464643407,0.1105474253233952,0.1549122601306532,0.4668571396174494,0.4956811650903396,0.5290687720926461,0.5273681733422142,0.4068062917910098,0.4767283796491654,0.5259115076493344,0.608726932167843,0.6180490562635723,0.0052219321148825,5.484072117619729e-08,0.0314465408805031,0.2894531685042878,0.8564573897560033,0.883210968511376,0.9888930453190106,0.0752950391687868,0.7657897311271369,1.0,0.3157894736842107,0.0814814814814814,0.1704545454545454,0.5625,0.1599999999999999,0.1293759512937594,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12
1,1,6,1,0.2571016083624751,0.0593214145017901,0.4000000000000001,0.5665943462679659,0.0229062145591662,1.699625617073764e-09,7.003891256502405e-09,0.0018744554720394,0.7109495342964606,1.0,0.0,0.28125,0.1276595744680851,0.1716627634660421,0.0457893430101375,0.1011700278331693,0.1373746632068488,0.1632979664016202,0.0440622964513747,0.0978545110650842,0.1399117929645188,0.1945616564352288,0.4248063642415184,0.4633857644771121,0.5038501684868404,0.5061997764356251,0.3651618602710025,0.4401017275282548,0.4878956549421681,0.5674158068653621,0.5647393524012785,0.0130548302872062,9.38493251304868e-08,0.0440251572327044,0.4186435015035081,0.9008125743358611,0.8532965366210901,0.9654897787654972,0.1615823822545798,0.6716679417636153,1.0,0.4210526315789473,0.0444444444444444,0.3541666666666666,0.7291666666666665,0.0799999999999999,0.2876712328767121,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,0.023437500000976563,0.023437500000976563,0.023437500000976563,0.023437500000976563,0.023437500000976563,0.023437500000976563
1,1,7,1,0.1903994974556286,0.0233617427688295,0.2,0.4065852690951563,0.0229062110400106,2.589100899778272e-09,4.8344443848441154e-09,0.0008036104483969,0.6720519470729857,1.0,2.0328790734103208e-20,0.2604166666666667,0.0851063829787233,0.2475409836065574,0.0790642169801747,0.1074483591475993,0.1162554416723877,0.1254728314130751,0.0657170886676886,0.0964616465223551,0.116184547379102,0.1481274698158652,0.451372155713773,0.4800710281026032,0.5076125424847491,0.5016228181773139,0.3764284881809829,0.4417352094593909,0.480121889413286,0.5482991555806291,0.5424548918701662,0.0130548302872062,5.484072117619729e-08,0.0377358490566038,0.4024947098786056,0.9267275661401646,0.8978988604853004,0.9904755131613864,0.1322179305077213,0.6327331958138993,1.0,0.3157894736842107,0.1333333333333333,0.1041666666666666,0.5625,0.1599999999999999,0.1293759512937594,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,0.11718750000088285,0.11718750000088285,0.11718750000088285,0.08593750000091407,0.11718750000088285,0.11718750000088285
1,1,8,1,0.3177580604346245,0.1083633416640813,0.4000000000000001,0.6158958704688269,0.0229062059834684,3.4456377266772714e-09,8.101398676036704e-09,0.0010241835446607,0.8305597918128145,1.0,2.371692252312041e-20,0.2708333333333333,0.1063829787234043,0.2032786885245902,0.0583834794139276,0.0961721988079274,0.1264186139140513,0.1525996403193686,0.0435464683084982,0.0967406773298071,0.1351836407697979,0.1938852689296689,0.4190638357099117,0.4462432248685292,0.4827792345634918,0.4841309965282331,0.363667011032541,0.4381055204721283,0.4840368704681631,0.5650319407456497,0.5495841445748757,0.0234986945169712,1.1652908102065101e-07,0.0408805031446541,0.3217507517540929,0.9153698929773904,0.8834801021058283,0.9739215625531248,0.1772230268483866,0.6951952090761533,1.0,0.3157894736842107,0.0962962962962962,0.1442307692307692,0.5625,0.1466666666666665,0.1406827571211132,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,0.007812500000992187,0.007812500000992187,0.007812500000992187,0.007812500000992187,0.007812500000992187,0.007812500000992187
1,1,9,1,0.3300827710728044,0.102096660335792,0.8,0.6852134889365591,0.0229062148989602,1.5195657835402952e-08,8.181007816543513e-09,0.0001532610346702,0.8695993403116982,1.0,6.911788849595092e-19,0.2500000000000001,0.053191489361702,0.3676814988290399,0.0438513831899002,0.0811492759380467,0.1075690771333674,0.127954976958905,0.0413178075180471,0.0711156084673125,0.1187134971193128,0.1696132969775469,0.4519431249952066,0.4881505020554956,0.5252538950409302,0.5262982589780425,0.3927934288114193,0.463920235406549,0.519515433879862,0.6035581126574827,0.4395801209783025,0.0104438642297649,1.949214083912259e-08,0.0377358490566038,0.1602628355050672,0.8354009513347385,0.849700917511103,0.9834319727533078,0.1293119951660022,0.7343255358637868,1.0,0.3157894736842107,0.1111111111111111,0.125,0.6250000000000002,0.1999999999999999,0.1128868594622018,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12
