fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.lda_qda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13
1,1,0,1,0.2191442334155183,0.064373882904946,0.5714285714285714,0.6771865858677136,0.014648843427689,6.430022143677742e-09,7.737074548590029e-09,0.0002751700743877,0.8610642254577038,1.0,2.795208725939191e-20,0.4489795918367348,0.0459183673469389,0.4037514966076892,0.0026892403549455,0.0033273455314491,0.0044092387605497,0.010743603058818,0.0037630658752133,0.0058487160415605,0.0077224071996982,0.0205321405347011,0.4739607870205157,0.564048886274866,0.5584734211101418,0.6220524379571802,0.5765607583426181,0.7228641507975894,0.7123313444932939,0.801960956824634,0.3600819137766315,0.0499999999999999,7.43573735434741e-08,0.0360655737704918,0.4654088050314465,0.7530967096091072,0.9025439202249352,0.9777505304795796,0.0417298826794731,0.7771394812681572,1.0,0.1503267973856211,0.0906148867313915,0.1300193127866741,0.4931506849315067,0.0927835051546391,0.1972154963680387,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,0.023437500000976563,0.07031250000092971,0.13281250000086722,0.13281250000086722,0.13281250000086722,0.13281250000086722
1,1,1,1,0.1984734311957285,0.0481475909234266,0.2857142857142857,0.7881702532910037,0.0146488435359276,5.339801729280862e-10,6.098188979641792e-09,0.0031867195818334,0.8598099191859717,1.0,6.352747104407253e-21,0.3928571428571429,0.0357142857142857,0.4267549110904172,0.004885442334822,0.0074989060389647,0.008610265184127,0.0150730426096017,0.0057898638692766,0.0105696409782242,0.0128015084820955,0.0257699653004836,0.5091154176579855,0.6063867693249235,0.6003245822453077,0.6683507529873187,0.5752639793589458,0.7216187629918163,0.7111149359953701,0.8003520403766846,0.4122732821027466,0.0388888888888888,9.659802059918585e-08,0.019672131147541,0.5031446540880503,0.7664886776041344,0.9155250689529952,0.9757273282089728,0.0416469526944657,0.8134163053305937,1.0,0.1503267973856211,0.1423948220064724,0.0833789329685362,0.4863013698630138,0.1752577319587628,0.1121065375302663,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12
1,1,2,1,0.2040197689385121,0.0552888509962226,0.2857142857142857,0.6306581392008597,0.0146488384052984,1.5186641523308787e-08,6.460175563455162e-09,5.613263293228208e-05,0.8188746560253136,1.0,8.893845946170154e-21,0.270408163265306,0.0663265306122449,0.198254327228652,0.0097750526079353,0.0134081847618738,0.0178335926504189,0.0321837345966953,0.0086030644730208,0.0126283581397424,0.0172159328924379,0.0344452059130033,0.4378603875025202,0.5219299740805701,0.5181010672521857,0.5801752546867066,0.4629445071777008,0.5786548123268915,0.5700521454162562,0.6380550770887102,0.2918082433719444,0.0249999999999999,2.853315183133318e-07,0.0918032786885246,0.490566037735849,0.8019898528684006,0.9269496359489272,0.982324533302844,0.0259709655419219,0.7632699474912032,1.0,0.1503267973856211,0.1294498381877022,0.0919972640218878,0.4999999999999999,0.056701030927835,0.2866543227460474,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,0.01562500000098438,0.01562500000098438,0.01562500000098438,0.01562500000098438,0.01562500000098438,0.01562500000098438
1,1,3,1,0.2081299420904338,0.0549940244493225,0.4285714285714285,0.3590498905875758,0.0146488372433947,1.1744282981892904e-08,5.7311581986292725e-09,7.483614604025148e-05,0.7405767440885916,1.0,4.235164736271502e-21,0.3112244897959184,0.076530612244898,0.1967207662631369,0.0052337181898499,0.0075032327022325,0.0090787557554353,0.0188552534314647,0.0063141642450015,0.0104436038225989,0.0129659840016797,0.0295697381005733,0.5204560783000953,0.6197314772270357,0.6136567908742839,0.6840910271798091,0.5746458870543936,0.7206654525506194,0.7102255641581133,0.7999611152339469,0.400119866526148,0.0305555555555554,9.414288547086432e-08,0.0229508196721311,0.5157232704402518,0.7999060567520038,0.9335527544367556,0.9784161399488882,0.0245652017394442,0.7608725212489731,1.0,0.1895424836601307,0.0906148867313915,0.1550052305463909,0.5205479452054795,0.0979381443298969,0.1976755447941889,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12
1,1,4,1,0.2768265888233852,0.1074664499392704,0.5714285714285714,0.4085101877753425,0.0146488407095922,1.597683936097086e-09,5.5342390692751126e-09,0.0009293035350124,0.7121926435401925,1.0,8.893845946170154e-21,0.4948979591836736,0.0255102040816326,0.630105095117733,0.0035431852992372,0.0056435594161339,0.0074955932355596,0.0165730880285675,0.0033451827469573,0.0065538715768147,0.0092251443092088,0.0220725688265962,0.4947693118596672,0.5892498389299449,0.5836296608529954,0.650745385760265,0.5442570414221832,0.6821710310028604,0.6721007490879034,0.7553224933296365,0.4385777115642952,0.0194444444444443,1.389157642064112e-07,0.0426229508196721,0.5220125786163522,0.814221834203205,0.9293578379654746,0.985925016848208,0.0507010621943603,0.7557315966980478,1.0,0.1568627450980392,0.0906148867313915,0.1341836324132936,0.5273972602739727,0.0412371134020619,0.3664475959875476,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,0.01562500000098438,0.01562500000098438,0.01562500000098438,0.01562500000098438,0.01562500000098438,0.01562500000098438
1,1,5,1,0.3070761674449336,0.117123840514439,0.7142857142857142,0.6952893705543218,0.0146488442225924,4.068985457153038e-09,7.123361740498716e-09,0.0004316215479758,0.8965999079216731,1.0,1.4399560103323106e-20,0.3112244897959184,0.0255102040816326,0.4313555939869629,0.0033078107497709,0.00473578584891,0.0065535308188502,0.0158597960336159,0.0046421000390249,0.0075023769845415,0.0102301353498305,0.027660547198669,0.5419866355791869,0.6451540158593746,0.6388632130874057,0.711857780500618,0.5942359621417421,0.7453900062252503,0.7348250647014675,0.8285616007123913,0.2517444076924082,0.0249999999999999,7.636178701150906e-08,0.0163934426229507,0.4528301886792453,0.7874231237089586,0.9422344809437136,0.9917152507430108,0.0306257836646542,0.8175452434845409,1.0,0.1503267973856211,0.0841423948220064,0.1391287619699042,0.4999999999999999,0.0824742268041237,0.2187541272287035,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12
1,1,6,1,0.2193384696066709,0.0596477271823687,0.5714285714285714,0.6195099618421126,0.0146488428185523,1.2481378311442154e-09,7.596633131890157e-09,0.00165496175155,0.7500465144713866,1.0,1.4399560103323106e-20,0.3877551020408163,0.0510204081632653,0.3301405702629594,0.0055915987306036,0.0080073811352885,0.0101929733746364,0.0197391594754753,0.0057646086852548,0.0102437710196695,0.0133522504046158,0.0290203018706901,0.5166235741827496,0.6152082656878081,0.6093624198173911,0.6792517404425191,0.5622323425838404,0.7050522362115466,0.6948557872850758,0.7820204098867767,0.4179032398772795,0.0305555555555554,1.0176369963178245e-07,0.019672131147541,0.5471698113207549,0.8074029724421985,0.9290180492176454,0.9773661843399252,0.0578682358479528,0.7574154939994999,1.0,0.1633986928104576,0.1229773462783171,0.1033298097251585,0.5136986301369864,0.1443298969072165,0.1405212932630679,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,0.023437500000976563,0.023437500000976563,0.023437500000976563,0.023437500000976563,0.023437500000976563,0.023437500000976563
1,1,7,1,0.1652911981933405,0.0299338781606679,0.2857142857142857,0.4310567308301494,0.014648838981911,4.319646629943451e-11,5.703113056768006e-09,0.0358049467705638,0.6855569882433687,1.0,2.456395547037471e-20,0.4591836734693877,0.0714285714285714,0.2933351070905945,0.0048828117785046,0.0078035217830841,0.0090458960962584,0.0168277630438527,0.0060423744023286,0.0115837876795532,0.0138202378151449,0.0292989803854972,0.5308543758695761,0.632280224324647,0.6259676361524915,0.6971293603345834,0.5869466987179994,0.7365313137739441,0.7259168461235266,0.8178571378977841,0.4179837892303284,0.0277777777777777,1.1892953190800784e-07,0.0327868852459015,0.5031446540880503,0.8287302294851226,0.952752903171956,0.9936728999556744,0.0356993438503726,0.7587603019960822,1.0,0.1633986928104576,0.1359223300970873,0.0934080027359781,0.5136986301369864,0.1185567010309278,0.166836436503298,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,0.11718750000088285,0.11718750000088285,0.11718750000088285,0.08593750000091407,0.11718750000088285,0.11718750000088285
1,1,8,1,0.2750965626654728,0.1019228513267049,0.4285714285714285,0.6633196719108286,0.0146488333612654,3.073464827471979e-09,8.686658309947021e-09,0.0007303838765251,0.849059279805567,1.0,7.199780051661553e-21,0.4234693877551022,0.0561224489795919,0.3312907409870959,0.0073655149167959,0.0124894979043203,0.0158215339630176,0.0293449151248605,0.0082917997124864,0.0169496257344365,0.0222700355536854,0.0474557244551168,0.5103660057492967,0.6085471212370924,0.6031041815769053,0.6734251391321744,0.5693503327002107,0.7147813459405484,0.7048861410083436,0.7949750649293067,0.4045655630081606,0.0444444444444443,1.892791692724509e-07,0.0163934426229507,0.5094339622641509,0.8221059347643269,0.9411185694580272,0.9830478167344884,0.0401908623790858,0.7733730659013183,1.0,0.1568627450980392,0.1423948220064724,0.0862106703146375,0.4931506849315067,0.1082474226804123,0.1739574926015604,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,0.007812500000992187,0.007812500000992187,0.007812500000992187,0.007812500000992187,0.007812500000992187,0.007812500000992187
1,1,9,1,0.2921734311246742,0.1022425328978978,0.7142857142857142,0.7219651603927232,0.0146488432177001,1.4651657429450711e-08,8.288208937494883e-09,9.442611926003958e-05,0.8859010584827861,1.0,7.199780051661553e-21,0.3010204081632653,0.076530612244898,0.1911999467872821,0.0044682418874043,0.0077922777908667,0.0109653525121921,0.0271325024908726,0.0058892217853885,0.0121794872883847,0.0176269772094156,0.0498222906490014,0.536563971303823,0.6391827256443878,0.6333063129583532,0.7074769041599827,0.5936630138711128,0.7451588190857853,0.7349833772064248,0.8306081592868693,0.2530656141842782,0.0138888888888888,5.541467481316121e-07,0.0655737704918032,0.4465408805031446,0.7692434311607106,0.9273503680002272,0.9876694059343069,0.0490262477384201,0.8043072863852412,1.0,0.1503267973856211,0.0388349514563106,0.2595759233926129,0.4863013698630138,0.0670103092783504,0.2493946731234867,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12,1e-12
