fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,sigma,d_norm,d_mean,ps_norm,ps_mean,pc_norm,pc_mean,loglikelihood,mhl_norm,mhl_mean,BFGS,DE,MLSL,Non-elitist,PSO,Elitist
1,1,0,0.0,0.369107644116621,0.07584852460524712,0.5,0.5414081269336645,0.02457081964378407,9.638415159128536e-09,6.137525912127998e-09,2.1017105957033206e-05,0.7993564081464524,0.9999999999999905,1.8114682100660957e-13,0.9999999999999994,0.7333333333333333,0.15094339622641512,0.17112781954887218,0.20689655172413796,0.11764705882352944,0.12379807692307693,0.09606519874448705,0.16151712510005217,0.1708596108335823,0.15137657194775067,0.09425965967277959,0.1548917193646948,0.16905101871125758,0.17510584494736747,0.1844211650237571,0.29961309709168,0.294051865934155,0.2821823171133132,0.188910698138878,0.30044515050526355,0.2634075544786208,0.3305807271480863,0.6421168159211175,0.05384615384615385,1.7918570465779918e-07,0.07440476190476188,0.5540540540540542,0.8589344467435844,0.7850679413158956,0.9506750635118371,0.21329120191105377,0.5809971423564553,0.26111543108662016,0.1529920511632794,0.18023193216902422,0.25726428787246197,0.32342124041677334,0.1895932585082234,0.3369098818088132,0.5875108336162268,0.4186080929708256,0.48308169892317676,1e-12,1e-12,1e-12,1e-12,0.09045261519700523,1e-12
1,1,1,0.0,0.3397929733548389,0.044657949988729934,0.0,0.6728646038796284,0.024570816593557074,4.080485734050662e-09,5.417393228156304e-09,5.2218602970601e-05,0.8017642119694645,0.9999999999999875,1.405473299049588e-13,0.9999999999999954,0.5,0.05660377358490566,0.24932330827067672,0.15517241379310345,0.17647058823529416,0.05594405594405594,0.16117543253263683,0.18534598989757695,0.2269406890384441,0.21922016176554732,0.16301556801966055,0.22200510660259926,0.23515181645847893,0.24758057434909408,0.2894110939127229,0.41879839632693294,0.4615579555220193,0.4681067170270239,0.29814903289521255,0.44896298724493344,0.4280805347127519,0.512948568335571,0.7782030020783521,0.030769230769230826,1.6004623207518865e-07,0.038690476190476136,0.5243243243243245,0.8318289537223549,0.8519953610409989,0.9489835157503146,0.21015010326480976,0.6009230305456582,0.21231623619269888,0.14485485044982682,0.1571712234414464,0.21201787407057265,0.5900430948346368,0.13139597821225707,0.5576876717873943,0.5947866754151387,0.5576969611190239,0.5536729220775413,1e-12,1e-12,1e-12,1e-12,0.046022099059384786,1e-12
1,1,2,0.0,0.38494269139415277,0.07294639723457937,0.25,0.5115090626900642,0.02457081494810997,1.7376315058172556e-08,4.345111453549773e-09,4.019608242462246e-06,0.8181413899653107,0.9999999999999837,9.749201220830123e-13,0.9999999999999962,0.7333333333333333,0.26415094339622647,0.1007518796992481,0.37931034482758624,0.3333333333333333,0.07540485829959515,0.04345780922694625,0.23224780607716874,0.28233145966770096,0.34059806793322306,0.04218521066937061,0.22507827838540834,0.2331405177975931,0.30855480369190647,0.17224967173758432,0.38858329427879873,0.42595263675140704,0.47804784171874026,0.17271162684215036,0.38303985303294164,0.34571297594685785,0.47367197129862065,0.5712734205082266,0.03333333333333341,3.4011772090622376e-07,0.08035714285714288,0.2567567567567566,0.8556133454061186,0.8003684503557538,0.931310491311029,0.20826103930259543,0.4975048235054229,0.34143984684483086,0.17818274315603144,0.1899185362429705,0.6008126947629593,0.6991941097467035,0.4903919293560707,0.6075969058235213,0.5448283670451459,0.3913996690562783,0.4172949773880965,1e-12,1e-12,1e-12,1e-12,0.5119474355096889,1e-12
1,1,3,0.0,0.3608864912798295,0.059802726932767204,0.25,0.38371192081556005,0.024570814484767604,4.305283705459228e-09,4.584458596240651e-09,4.093391191506131e-05,0.7676398319434807,0.9999999999999798,1.8176109260338688e-12,0.9999999999999959,0.7666666666666666,0.18867924528301888,0.14636591478696742,0.32758620689655177,0.17647058823529416,0.1346153846153846,0.0802067385390117,0.2145710338107302,0.25456738577395716,0.23874346644726835,0.07958938885502374,0.23135793956548523,0.24719817429157698,0.23993201632946193,0.22588932368461953,0.41296907593776633,0.4500443518301532,0.4484124588535218,0.2313652439682489,0.4282731827752316,0.4042427121540044,0.47274150372031715,0.5392626668122884,0.01282051282051283,2.90088107400342e-07,0.08035714285714288,0.3162162162162163,0.9044554789502801,0.8162938589325477,0.9462087772113772,0.30541390245454036,0.46789842112865876,0.1922924188525925,0.14431580986633818,0.16239809583805864,0.28772401886671395,0.593918410501314,0.21812064066680048,0.5518007019971045,0.6175162660448721,0.5719625610243937,0.646231184660466,1e-12,1e-12,1e-12,1e-12,0.036838806454620635,1e-12
1,1,4,0.0,0.4839130728075278,0.1685706387897557,0.5,0.3920484553229405,0.024570817759119453,8.970750174028044e-09,3.4357098589290668e-09,1.040470376845431e-05,0.7897330037206295,0.9999999999999724,2.0438012346163815e-12,0.9999999999999952,0.7666666666666666,0.169811320754717,0.16117566643882433,0.4655172413793104,0.19607843137254904,0.1778846153846154,0.07860430414296403,0.18474972131258813,0.27948031958396646,0.3212595194570262,0.07993940486114698,0.18366885457753865,0.2793515980349884,0.3213114720370912,0.2138091639708513,0.3770962541052912,0.45095530542351125,0.4898482635746794,0.22709271256811714,0.39003815840672107,0.41988368159240597,0.5236519836136155,0.7681710395227772,0.01794871794871801,3.850745928998139e-07,0.08333333333333326,0.5243243243243245,0.9195020043356947,0.8238626237187803,0.9693387067323145,0.25219248736856303,0.5036514376879666,0.29251108094129663,0.2123100737258028,0.24920220201701082,0.38341299828348097,0.5166965625012033,0.3098538424200322,0.522261437093613,0.5747572271965777,0.35162004066998576,0.42829154040930084,1e-12,1e-12,1e-12,1e-12,0.17719388437866176,1e-12
1,1,5,0.0,0.45287800340716233,0.12539178534874257,0.5,0.6518828451889517,0.02457081758826488,7.464053497610846e-09,5.208344803987992e-09,2.4025631076999463e-05,0.8889229587084229,0.9999999999999869,2.6217565758421377e-12,0.9999999999999984,0.7666666666666666,0.13207547169811323,0.20066833751044277,0.4137931034482759,0.21568627450980396,0.14127218934911243,0.11987850973167755,0.17107214585163028,0.24281775337074668,0.19422435607368316,0.1269083422702534,0.19873311415293002,0.25658470500763925,0.2409575206651054,0.2760118174811722,0.4246129170556469,0.48889553812236874,0.4712534582793505,0.2951599400027588,0.459248234449215,0.4675857463045827,0.5391423216693858,0.6290905542164777,0.007692307692307776,1.4245787807401882e-07,0.08035714285714288,0.13783783783783798,0.8581098656305226,0.811532814180747,0.9819680704548097,0.17799908763331584,0.6904399394847978,0.15091592181917565,0.09934847648064316,0.11997956066836069,0.26325138993571556,0.7278654131044058,0.22358041944086232,0.6739800056444392,0.7136578234962606,0.4588135551707977,0.47813646939436394,1e-12,1e-12,1e-12,1e-12,0.20749029909161837,1e-12
1,1,6,0.0,0.3661538464291726,0.05933705378573815,0.25,0.5194206625910471,0.024570815727759956,7.714825491372469e-09,5.606934186784001e-09,2.5188110490212923e-05,0.6831810812410416,0.9999999999999791,1.8295979770612176e-12,0.9999999999999958,0.7333333333333333,0.13207547169811323,0.19197994987468672,0.2931034482758621,0.11764705882352944,0.1778846153846154,0.05881563483156413,0.2089923758978511,0.26987898410122807,0.24921024167902023,0.059319881388653115,0.21983020922431898,0.28048310257909476,0.26649034166727775,0.22538349814128378,0.4245727236675377,0.4789350752898884,0.4756764684535921,0.2346938388412267,0.4387607030819344,0.44627445047023395,0.5140030501428199,0.7810646258708283,0.030769230769230826,2.377100504737642e-07,0.07142857142857137,0.37567567567567584,0.9074063388528062,0.8464610968388766,0.9548698643293949,0.2399196249608756,0.5112815296245905,0.21469187183241387,0.19161756318467504,0.223437708624723,0.3770646254505592,0.4171153141980985,0.26899031853762456,0.42449705147544625,0.5530001085580211,0.5718740602108506,0.6712615572836491,1e-12,1e-12,1e-12,1e-12,0.0663957689256292,1e-12
1,1,7,0.0,0.2854094382393893,0.01376219494966815,0.25,0.28470635868900307,0.024570811946196706,1.5967610566461302e-09,3.5060923670860547e-09,9.432001900813485e-05,0.63421858933604,0.9999999999999613,5.858725886769283e-13,0.999999999999995,0.7333333333333333,0.03773584905660378,0.4526315789473684,0.4137931034482759,0.11764705882352944,0.2536057692307693,0.16349104548653837,0.1969315542356633,0.2475070435283771,0.2243754203007332,0.15914036374290572,0.19371973177857332,0.24292822720621138,0.23504781073220432,0.2886907319171308,0.42277995104054567,0.47104547116976164,0.46702725035810894,0.28748119989381227,0.4174415291792195,0.41729542795082897,0.4873614183169963,0.4602860673057503,0.025641025641025647,4.0932167891998283e-07,0.05357142857142849,0.4054054054054055,0.9423929701374891,0.9051295529837957,0.9825498286966214,0.167020487683186,0.47570722754935013,0.15748661992439586,0.1752806549713739,0.18938104194063232,0.3355642212930396,0.5207791818637411,0.2812724347228952,0.49754114005722033,0.5483565867959915,0.7320158656670451,0.7730954282139639,1e-12,1e-12,1e-12,1e-12,0.2185539131116218,1e-12
1,1,8,0.0,0.42944788210569806,0.12144133893895967,0.25,0.5550978197372154,0.024570808753779306,4.9005412647948785e-09,6.620703786283649e-09,5.262228149886855e-05,0.8136945316346363,0.9999999999999907,1.253372963210442e-12,0.9999999999999973,0.8,0.15094339622641512,0.1867669172932331,0.3620689655172414,0.05882352941176471,0.3769230769230769,0.16176682606289822,0.19071307789120182,0.23615342591088645,0.21555351617668422,0.1664739009976034,0.2082976418857627,0.24183127588701808,0.24597718110041938,0.2730071757973026,0.3936966856045568,0.43354785274954777,0.42834088936678316,0.2881255254987378,0.4210452768281899,0.41005751426795256,0.48743297981599387,0.6787958925673134,0.03333333333333341,1.8578299037834043e-07,0.07142857142857137,0.34594594594594597,0.908531974989315,0.9234507050880079,0.9689724461162144,0.15931628309721269,0.5609316643018423,0.23117113262972297,0.09960625200333117,0.0963053519558843,0.4899519948416907,0.18343026847075206,0.3504763052560828,0.2656505703214745,0.7065423274982947,0.3522187691733536,0.4050330155644809,1e-12,1e-12,1e-12,1e-12,0.05047289731568152,1e-12
1,1,9,0.0,0.43332012891860516,0.10163860746402523,0.25,0.6505698064243111,0.024570816620244115,1.3735611581587618e-08,7.286879955426854e-09,1.608619321347548e-05,0.8532917864419045,0.9999999999999876,1.8638491027598973e-12,0.9999999999999982,0.7333333333333333,0.09433962264150943,0.2515574650912997,0.4137931034482759,0.17647058823529416,0.17395104895104896,0.01776935142967914,0.09576110899745958,0.14615547316402727,0.13232351773366624,0.019254286732566742,0.10908545146197618,0.16265030544714223,0.17378505482584078,0.21705516560822757,0.371780288402583,0.4200650586508599,0.4239612921209093,0.24297720380738708,0.4103118642049907,0.41640549294776136,0.5014330650063246,0.5856064339307121,0.030769230769230826,2.2962926864786902e-07,0.0654761904761905,0.37567567567567584,0.8105603622703506,0.8460822519983835,0.9791121498085369,0.09301291367527031,0.5959545770084025,0.12185489769543886,0.049288323151759794,0.06044252767979352,0.22495955882043217,0.7120415768454222,0.1933699209343206,0.6691727703456412,0.7188926742290875,0.5723758416857143,0.5362622697300898,1e-12,1e-12,1e-12,1e-12,0.10936850778626638,1e-12
