fid,iid,rep,budget,precision
1,1,0,50,0.0
1,1,0,100,0.0
1,1,0,150,0.0
1,1,0,200,0.0
1,1,0,250,0.0
1,1,0,300,0.0
1,1,0,350,0.0
1,1,0,400,0.0
1,1,0,450,0.0
1,1,0,500,0.0
1,1,0,550,0.0
1,1,0,600,0.0
1,1,0,650,0.0
1,1,0,700,0.0
1,1,0,750,0.0
1,1,0,800,0.0
1,1,0,850,0.0
1,1,0,900,0.0
1,1,0,950,0.0
1,1,0,1000,0.0
1,1,1,50,0.0
1,1,1,100,0.0
1,1,1,150,0.0
1,1,1,200,0.0
1,1,1,250,0.0
1,1,1,300,0.0
1,1,1,350,0.0
1,1,1,400,0.0
1,1,1,450,0.0
1,1,1,500,0.0
1,1,1,550,0.0
1,1,1,600,0.0
1,1,1,650,0.0
1,1,1,700,0.0
1,1,1,750,0.0
1,1,1,800,0.0
1,1,1,850,0.0
1,1,1,900,0.0
1,1,1,950,0.0
1,1,1,1000,0.0
1,1,2,50,0.0
1,1,2,100,0.0
1,1,2,150,0.0
1,1,2,200,0.0
1,1,2,250,0.0
1,1,2,300,0.0
1,1,2,350,0.0
1,1,2,400,0.0
1,1,2,450,0.0
1,1,2,500,0.0
1,1,2,550,0.0
1,1,2,600,0.0
1,1,2,650,0.0
1,1,2,700,0.0
1,1,2,750,0.0
1,1,2,800,0.0
1,1,2,850,0.0
1,1,2,900,0.0
1,1,2,950,0.0
1,1,2,1000,0.0
1,1,3,50,0.0
1,1,3,100,0.0
1,1,3,150,0.0
1,1,3,200,0.0
1,1,3,250,0.0
1,1,3,300,0.0
1,1,3,350,0.0
1,1,3,400,0.0
1,1,3,450,0.0
1,1,3,500,0.0
1,1,3,550,0.0
1,1,3,600,0.0
1,1,3,650,0.0
1,1,3,700,0.0
1,1,3,750,0.0
1,1,3,800,0.0
1,1,3,850,0.0
1,1,3,900,0.0
1,1,3,950,0.0
1,1,3,1000,0.0
1,1,4,50,0.0
1,1,4,100,0.0
1,1,4,150,0.0
1,1,4,200,0.0
1,1,4,250,0.0
1,1,4,300,0.0
1,1,4,350,0.0
1,1,4,400,0.0
1,1,4,450,0.0
1,1,4,500,0.0
1,1,4,550,0.0
1,1,4,600,0.0
1,1,4,650,0.0
1,1,4,700,0.0
1,1,4,750,0.0
