fid,iid,rep,budget,algorithm,precision
1,1,0,50,BFGS,0.0
1,1,0,50,DE,0.0
1,1,0,50,MLSL,0.0
1,1,0,50,Non-elitist,0.0
1,1,0,50,PSO,4.656e-07
1,1,0,50,Elitist,0.0
1,1,0,100,BFGS,0.0
1,1,0,100,DE,0.0
1,1,0,100,MLSL,0.0
1,1,0,100,Non-elitist,0.0
1,1,0,100,PSO,4.4691e-06
1,1,0,100,Elitist,0.0
1,1,0,150,BFGS,0.0
1,1,0,150,DE,0.0
1,1,0,150,MLSL,0.0
1,1,0,150,Non-elitist,0.0
1,1,0,150,PSO,2.139e-07
1,1,0,150,Elitist,0.0
1,1,0,200,BFGS,0.0
1,1,0,200,DE,0.0
1,1,0,200,MLSL,0.0
1,1,0,200,Non-elitist,0.0
1,1,0,200,PSO,4.9659e-06
1,1,0,200,Elitist,0.0
1,1,0,250,BFGS,0.0
1,1,0,250,DE,0.0
1,1,0,250,MLSL,0.0
1,1,0,250,Non-elitist,0.0
1,1,0,250,PSO,6.735e-07
1,1,0,250,Elitist,0.0
1,1,0,300,BFGS,0.0
1,1,0,300,DE,0.0
1,1,0,300,MLSL,0.0
1,1,0,300,Non-elitist,0.0
1,1,0,300,PSO,1.0061e-06
1,1,0,300,Elitist,0.0
1,1,0,350,BFGS,0.0
1,1,0,350,DE,0.0
1,1,0,350,MLSL,0.0
1,1,0,350,Non-elitist,0.0
1,1,0,350,PSO,3.484e-06
1,1,0,350,Elitist,0.0
1,1,0,400,BFGS,0.0
1,1,0,400,DE,0.0
1,1,0,400,MLSL,0.0
1,1,0,400,Non-elitist,0.0
1,1,0,400,PSO,2.0152e-06
1,1,0,400,Elitist,0.0
1,1,0,450,BFGS,0.0
1,1,0,450,DE,0.0
1,1,0,450,MLSL,0.0
1,1,0,450,Non-elitist,0.0
1,1,0,450,PSO,3.597e-07
1,1,0,450,Elitist,0.0
1,1,0,500,BFGS,0.0
1,1,0,500,DE,0.0
1,1,0,500,MLSL,0.0
1,1,0,500,Non-elitist,0.0
1,1,0,500,PSO,2.053e-07
1,1,0,500,Elitist,0.0
1,1,0,550,BFGS,0.0
1,1,0,550,DE,0.0
1,1,0,550,MLSL,0.0
1,1,0,550,Non-elitist,0.0
1,1,0,550,PSO,8.6e-09
1,1,0,550,Elitist,0.0
1,1,0,600,BFGS,0.0
1,1,0,600,DE,0.0
1,1,0,600,MLSL,0.0
1,1,0,600,Non-elitist,0.0
1,1,0,600,PSO,1.1e-09
1,1,0,600,Elitist,0.0
1,1,0,650,BFGS,0.0
1,1,0,650,DE,0.0
1,1,0,650,MLSL,0.0
1,1,0,650,Non-elitist,0.0
1,1,0,650,PSO,2e-10
1,1,0,650,Elitist,0.0
1,1,0,700,BFGS,0.0
1,1,0,700,DE,0.0
1,1,0,700,MLSL,0.0
1,1,0,700,Non-elitist,0.0
1,1,0,700,PSO,0.0
1,1,0,700,Elitist,0.0
1,1,0,750,BFGS,0.0
1,1,0,750,DE,0.0
1,1,0,750,MLSL,0.0
1,1,0,750,Non-elitist,0.0
1,1,0,750,PSO,0.0
1,1,0,750,Elitist,0.0
1,1,0,800,BFGS,0.0
1,1,0,800,DE,0.0
1,1,0,800,MLSL,0.0
1,1,0,800,Non-elitist,0.0
1,1,0,800,PSO,0.0
1,1,0,800,Elitist,0.0
1,1,0,850,BFGS,0.0
1,1,0,850,DE,0.0
1,1,0,850,MLSL,0.0
1,1,0,850,Non-elitist,0.0
1,1,0,850,PSO,0.0
1,1,0,850,Elitist,0.0
1,1,0,900,BFGS,0.0
1,1,0,900,DE,0.0
1,1,0,900,MLSL,0.0
1,1,0,900,Non-elitist,0.0
1,1,0,900,PSO,0.0
1,1,0,900,Elitist,0.0
1,1,0,950,BFGS,0.0
1,1,0,950,DE,0.0
1,1,0,950,MLSL,0.0
1,1,0,950,Non-elitist,0.0
1,1,0,950,PSO,0.0
1,1,0,950,Elitist,0.0
1,1,0,1000,BFGS,0.0
1,1,0,1000,DE,0.0
1,1,0,1000,MLSL,0.0
1,1,0,1000,Non-elitist,0.0
1,1,0,1000,PSO,0.0
1,1,0,1000,Elitist,0.0
1,1,1,50,BFGS,0.0
1,1,1,50,DE,0.0
1,1,1,50,MLSL,0.0
1,1,1,50,Non-elitist,0.0
1,1,1,50,PSO,1.9016e-06
1,1,1,50,Elitist,0.0
1,1,1,100,BFGS,0.0
1,1,1,100,DE,0.0
1,1,1,100,MLSL,0.0
1,1,1,100,Non-elitist,0.0
1,1,1,100,PSO,3.246e-07
1,1,1,100,Elitist,0.0
1,1,1,150,BFGS,0.0
1,1,1,150,DE,0.0
1,1,1,150,MLSL,0.0
1,1,1,150,Non-elitist,0.0
1,1,1,150,PSO,7.714e-07
1,1,1,150,Elitist,0.0
1,1,1,200,BFGS,0.0
1,1,1,200,DE,0.0
1,1,1,200,MLSL,0.0
1,1,1,200,Non-elitist,0.0
1,1,1,200,PSO,2.0014e-06
1,1,1,200,Elitist,0.0
1,1,1,250,BFGS,0.0
1,1,1,250,DE,0.0
1,1,1,250,MLSL,0.0
1,1,1,250,Non-elitist,0.0
1,1,1,250,PSO,3.0992e-06
1,1,1,250,Elitist,0.0
1,1,1,300,BFGS,0.0
1,1,1,300,DE,0.0
1,1,1,300,MLSL,0.0
1,1,1,300,Non-elitist,0.0
1,1,1,300,PSO,1.4836e-06
1,1,1,300,Elitist,0.0
1,1,1,350,BFGS,0.0
1,1,1,350,DE,0.0
1,1,1,350,MLSL,0.0
