fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.lda_qda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,t_0,t_1,t_2,t_3
1,1,0,1,0.22514487430154326,0.06342406596762805,0.6363636363636364,0.8161155899000879,0.00032280481915902934,2.5207318849329168e-08,1.3891018106133734e-08,1.1632125652761284e-05,0.8856417930575262,0.9999999999999999,9.825582188149884e-20,0.580952380952381,0.05846774193548382,0.2504449498498064,1.1055957378002424e-06,2.1035578563030337e-06,3.7857324928915498e-06,1.4349192753587035e-05,6.818354239914654e-06,2.76494200273166e-05,2.9779452229477546e-05,0.00011851935263596463,0.7015533488947303,0.7798858371753603,0.7846982465243028,0.7469587218697548,0.759835651193754,0.8692776275337238,0.8531280484827647,0.7511030099620131,0.47646930837403256,0.03458213256484143,5.089870193519686e-10,0.21065375302663436,0.6369168356997973,0.6079369531232048,0.9437172208175307,0.9742802331595375,0.009984289532711979,0.8503753661035794,1.0,0.16145833333333337,0.08959156785243741,0.06420531446242796,0.38245614035087716,0.05118829981718457,0.18817412783168447,0.2728029953889411,0.272802995388942,0.27280299538894315,0.27280299538894315
1,1,1,1,0.19815826897259178,0.04543829585745933,0.4545454545454545,0.7564731336898964,0.00032279798292079244,9.458243309605256e-10,1.0410912603731614e-08,0.00046153247163321215,0.8769799015305405,0.9999999999999999,1.6940658945086007e-20,0.542857142857143,0.05241935483870959,0.2551858452768672,5.008776149528924e-06,8.434176153360396e-06,1.3101863186041357e-05,4.4037688464910094e-05,2.1247593329784828e-05,7.690527254224913e-05,7.183914394106466e-05,0.0002630296259141801,0.7019648214432589,0.7803434853961682,0.7851592371049864,0.7474154017446168,0.7580350762072192,0.8672178900945122,0.8511064842161603,0.7493118181345992,0.504148241792765,0.03746397694524491,2.45126006203334e-09,0.24697336561743333,0.6592292089249494,0.6158855983426896,0.9622337286294954,0.9818451648784527,0.012381577263071333,0.847168099671414,1.0,0.14062499999999994,0.09354413702239789,0.05392105323541732,0.3649122807017544,0.08592321755027417,0.1151267726081612,0.3129569200180624,0.3129569200180745,0.31295692001808556,0.3129569200180865
1,1,2,1,0.22194155550927908,0.06059576399546425,0.4545454545454545,0.5810609224300141,0.000322792788082185,1.8740692856231043e-09,1.8951068241813322e-08,0.00041725654820553887,0.7474929145320328,0.9999999999999999,5.827586677109586e-19,0.5714285714285714,0.06048387096774188,0.24015785621081437,6.857456456840214e-07,1.2945514126666846e-06,2.615307162300812e-06,1.4204037188568322e-05,3.02264957637432e-06,1.25127747374977e-05,1.5643302500842923e-05,7.49081887260062e-05,0.7049565283068738,0.783668990145501,0.7885061645183854,0.7507048288733978,0.7585866285826275,0.8678486574891942,0.8517253566874622,0.7498586103763606,0.3846123006723928,0.03458213256484143,4.5989920905224394e-10,0.22033898305084743,0.6774847870182557,0.616884738662901,0.962051792429312,0.9787298758508618,0.0001487978609578111,0.8310789154648917,1.0,0.1545138888888889,0.07246376811594205,0.07494657789425041,0.38245614035087716,0.029250457038391214,0.2912623335270665,0.12116547685373963,0.12116547685373982,0.12116547685373982,0.12116547685373988
1,1,3,1,0.20302406430449063,0.04952224140519728,0.4545454545454545,0.41060876957601744,0.0003227924379635626,1.772043328246182e-09,1.1573406817403085e-08,0.0002696920775015165,0.6300916874252125,0.9999999999999999,6.437450399132683e-20,0.6266666666666667,0.05645161290322574,0.2764703123455818,7.503221127416966e-07,1.567551321285723e-06,3.125690229978838e-06,2.8915316868405633e-05,3.7327632555332046e-06,1.7554107021682472e-05,2.1294316443557647e-05,0.000183475624316903,0.7051361152101603,0.7838686580343408,0.7887071702452473,0.7509046290499689,0.759325219853292,0.8686936626770191,0.8525548248005904,0.7505956056815116,0.3981883346854388,0.020172910662824152,4.3716022482485033e-10,0.23728813559322032,0.6308316430020283,0.6634790464129363,0.9781675641335116,0.9937198953072006,0.004412450791643027,0.8248294255351554,1.0,0.15104166666666666,0.04347826086956521,0.11549990229349953,0.387719298245614,0.02193784277879337,0.36084645555030387,0.11913491011361374,0.11913491011361285,0.11913491011361294,0.11913491011361296
1,1,4,1,0.2993038697379843,0.1179271255051144,0.6363636363636364,0.6377162851825459,0.00032280017395310885,7.883625394312205e-10,1.4722986418654241e-08,0.0007779736790964554,0.8507681841242037,0.9999999999999999,4.743384504624082e-20,0.5600000000000002,0.04637096774193554,0.28749832432083156,4.214823764441549e-06,8.22197852957226e-06,1.4527480543259483e-05,4.2799376116064185e-05,1.8207151037301783e-05,7.80169478270759e-05,8.310378304089853e-05,0.00028670821781179415,0.7185910082639595,0.7988262885223346,0.8037633598076892,0.7657160726502104,0.7591760623130692,0.8685232704581661,0.8523879263929078,0.7504481099543026,0.4740416977842963,0.03170028818443806,3.4957755743632797e-09,0.23244552058111384,0.6288032454361056,0.6527781632391125,0.9617246980187276,0.9887123793067605,0.015566636149149049,0.8038337124245961,1.0,0.14930555555555555,0.0922266139657444,0.057911253173148075,0.37017543859649127,0.07129798903107865,0.13761038831811737,0.05583541579690496,0.055835415796903876,0.05583541579690657,0.05583541579690665
1,1,5,1,0.2925604048717334,0.1052624917172727,0.7272727272727273,0.695705141840558,0.0003228008873699922,8.123794758396952e-09,9.391367206962403e-09,3.855117897743071e-05,0.880573167263419,0.9999999999999999,1.2536087619363645e-19,0.5828571428571429,0.05040322580645151,0.2809722342200621,2.3514747884016074e-06,3.937153888821898e-06,7.539410942313816e-06,5.7024339942426064e-05,9.044742048225484e-06,3.307396756719352e-05,3.829435956844719e-05,0.0003189421735503681,0.72682614863608,0.8079807551282491,0.8129775574203024,0.774782492742551,0.7591078318524229,0.8684449835978539,0.8523108408789841,0.7503808569153739,0.42360234844333833,0.014409221902017301,9.637934799615799e-09,0.25181598062953986,0.6146044624746451,0.6319968471844386,0.9648472704757541,0.9892061974451443,0.00526607187516584,0.8558108090343088,1.0,0.15972222222222227,0.044795783926218705,0.11877323910234436,0.38421052631578956,0.04936014625228528,0.19475156550705702,1.0003387007628817e-12,1.0005607453678067e-12,1.0003664563384973e-12,1.0000056338554941e-12
1,1,6,1,0.21570351123207326,0.05608346299752271,0.6363636363636364,0.6420120272197181,0.000322798498423763,9.157816446786524e-09,1.2170682202761809e-08,4.5465080421947204e-05,0.7718936726984564,0.9999999999999999,8.131516293641283e-20,0.5923809523809525,0.06451612903225803,0.23625009661418428,2.19158873496838e-06,3.517681007317401e-06,5.553830928191248e-06,2.473513309284458e-05,1.2099127603715912e-05,4.150909129882557e-05,3.945480131089949e-05,0.00017699464672882114,0.7147878851881923,0.7945982175047848,0.7995071202725416,0.7615278576737899,0.7599580139031177,0.8694176132339188,0.853265459214187,0.7512254112528776,0.45091655618936466,0.03458213256484143,4.15545533471888e-10,0.23486682808716697,0.6835699797160245,0.64238701013914,0.9645303904176449,0.9759226150832034,0.012479514689939228,0.8025555910010366,1.0,0.14409722222222218,0.06587615283267456,0.07645594035720879,0.3649122807017544,0.03656307129798905,0.23553398764224906,0.200717981956055,0.20071798195605273,0.20071798195605506,0.20071798195605473
1,1,7,1,0.20477359089071395,0.04894288598059479,0.4545454545454545,0.5222975198900578,0.0003227968979561348,4.189736533841981e-09,1.0042495692225367e-08,9.246143241324274e-05,0.7101768168107226,0.9999999999999999,5.082197683525802e-20,0.6247619047619049,0.048387096774193616,0.30916940150554983,3.148180589547064e-06,4.6790167827168945e-06,7.743160430435084e-06,3.327853678329091e-05,1.5191845440178485e-05,4.73598833244511e-05,4.719638809156668e-05,0.00021033381696363955,0.7283444368574887,0.8096685572643647,0.8146763620434734,0.7764509094322923,0.7599569157763751,0.8694163362932618,0.8532642585116069,0.7512246268769075,0.4189549888084877,0.017291066282420782,1.8082449348779523e-09,0.2154963680387409,0.6734279918864099,0.6343690687695611,0.9756146818057915,0.9899265207728225,0.0074084699648852975,0.8221979098182406,1.0,0.15972222222222227,0.07246376811594205,0.07738477879595243,0.3929824561403509,0.05301645338208419,0.1875846236402469,0.04532490695252003,0.045324906952542904,0.04532490695254096,0.04532490695254099
1,1,8,1,0.2838501097555196,0.10389284238966448,0.4545454545454545,0.5330620268226809,0.0003227934306656041,1.9589284660479333e-08,1.2436593976140144e-08,1.536124798113106e-05,0.8747926091661062,0.9999999999999999,7.115076756936123e-19,0.5657142857142858,0.03830645161290325,0.3315485250913896,1.8245488011944658e-06,3.174784232668134e-06,5.421257284203844e-06,2.7703689989494318e-05,5.737212689648268e-06,2.151180450841518e-05,2.252588678328877e-05,0.00011408084532987497,0.7065851271040352,0.7854795152146334,0.7903286632518685,0.7524992477374135,0.7563770520155865,0.865320865880158,0.8492441754124433,0.7476586721107469,0.39377146696614784,0.040345821325648394,1.0351779556301764e-09,0.23002421307506055,0.6896551724137933,0.6207061696537153,0.958479084090487,0.9829858630731352,0.0032243558314533904,0.8301629604197003,1.0,0.15625000000000003,0.06587615283267456,0.08265303431570145,0.37368421052631584,0.031078610603290674,0.2724629749604414,0.21251923255988037,0.2125192325598828,0.2125192325598827,0.2125192325598827
1,1,9,1,0.2376525568603283,0.07139023486211264,0.6363636363636364,0.6651755973301534,0.00032279717519146625,1.918650112813537e-08,9.736554373365006e-09,1.0076449244279967e-05,0.834499344798892,0.9999999999999999,1.1519648082658485e-19,0.5523809523809524,0.03830645161290325,0.3242121181858388,8.327871635490586e-06,1.5204194232212027e-05,2.465323538684397e-05,8.510768084475977e-05,2.0686680044921655e-05,8.249738331298214e-05,8.242252219327819e-05,0.00033108903761307234,0.6978174094276277,0.7757333740300618,0.780519517254125,0.7428560536431202,0.7535267838947397,0.8620605983494891,0.8460446822202501,0.744825605661497,0.4675664916227389,0.03746397694524491,3.1586354082678195e-09,0.261501210653753,0.6511156186612578,0.6400614296943112,0.9667001565593486,0.9914340512542819,0.009852691464302302,0.8433771258033342,1.0,0.14930555555555555,0.06982872200263504,0.0750154536259369,0.368421052631579,0.056672760511882955,0.16678309195535992,0.12475789419321731,0.12475789419327935,0.12475789419328953,0.12475789419328878
