fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.lda_qda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,t_0,t_1,t_2,t_3
1,1,0,1,0.22703170206273213,0.0658236007365549,0.4545454545454545,0.6954175462477681,0.012512011649099205,5.383671801776828e-09,8.006543908682603e-09,0.00015615355694440365,0.8719662730794023,1.0,7.199780051661553e-21,0.641325536062378,0.05330490405117261,0.34558045590074044,9.746094997611187e-06,1.6397851119281965e-05,2.4672522749517837e-05,8.184053089671372e-05,0.00012553178434346313,0.00021641594712548155,0.00017091330841851473,0.0007283542111333969,0.5578570874617452,0.6353058858196159,0.7305704849055968,0.7387709485917751,0.7191738878689724,0.7765046563621838,0.7264357841683512,0.8169909094086423,0.4287607485132289,0.05113636363636358,3.2547116055318475e-08,0.1598915989159892,0.6503067484662578,0.5753907157567062,0.944399954097456,0.9824869657240383,0.019034822965763393,0.8430018486239663,0.9999999999999999,0.13014827018121905,0.09881422924901188,0.04171346468937825,0.33668341708542704,0.07933579335793364,0.12548863447818148,0.023437500000976563,0.10156250000089845,0.11718750000088285,0.13281250000086722
1,1,1,1,0.20806973386891597,0.05089168932466726,0.7272727272727273,0.8034360965737523,0.012512012209331244,1.7258766313379786e-10,6.246712435309582e-09,0.004652866377024839,0.8705978297610214,1.0,3.5575383784680614e-20,0.6218323586744638,0.0426439232409382,0.3892904804270463,1.3107038647517202e-06,1.996379615788168e-06,3.415925176897244e-06,1.888807894199847e-05,1.752932299111056e-05,2.6838507606378757e-05,2.3868321544146207e-05,0.00016118950689226571,0.5702193193031716,0.6499527327672081,0.747412076509236,0.7562893598775353,0.7199859114684722,0.7773807119296358,0.7272545023514025,0.8179064356845975,0.360216848611841,0.04829545454545456,2.4512600620333397e-09,0.16260162601626005,0.6216768916155421,0.5859373348378498,0.9518574638658847,0.98115826928949,0.014497538910101526,0.8578461575728241,0.9999999999999999,0.1285008237232289,0.06719367588932805,0.05940791800917466,0.3316582914572864,0.06273062730627306,0.1523035230352303,1e-12,1e-12,1e-12,1e-12
1,1,2,1,0.20765057758998243,0.05462183865702186,0.5454545454545454,0.6645932142897174,0.012512006769128824,1.5129913922763648e-08,6.942745373364584e-09,2.389836424746841e-05,0.8338695742558877,1.0,8.893845946170154e-21,0.5769980506822611,0.0426439232409382,0.36243327402135234,2.9657381224221437e-06,5.117340342567643e-06,1.016932507763237e-05,5.2482120674258404e-05,1.5523882779025122e-05,2.6298866555890193e-05,2.8249708193588618e-05,0.00016060951666743673,0.5378924042992503,0.6116499719156058,0.7033677588407244,0.7104617100729238,0.7076014776597699,0.7640091846100386,0.7147457472553777,0.8038376206410373,0.37241337345594394,0.03409090909090913,8.708431497690721e-09,0.20054200542005418,0.6932515337423315,0.6084591197364628,0.958426103649726,0.9878493923487477,0.0041378447777563054,0.8292054058603914,0.9999999999999999,0.12026359143327829,0.07378129117259555,0.051328528516483105,0.3299832495812395,0.03136531365313652,0.2659439927732609,1e-12,0.023437500000976563,0.007812500000992187,0.01562500000098438
1,1,3,1,0.2161784972345208,0.05686837342088303,0.7272727272727273,0.36780184542274585,0.012512005056188975,1.1686834111608291e-08,5.9970630053031344e-09,3.1339767730487743e-05,0.7469189851777396,1.0,8.470329472543003e-22,0.600389863547758,0.03837953091684436,0.4021352313167259,2.827980669862133e-06,5.674479015033319e-06,1.1532329786219521e-05,7.743764074925643e-05,2.1596108778244954e-05,4.564373346845071e-05,4.752397104351165e-05,0.0004012903390333414,0.5750631787336753,0.6556922946716859,0.7540127248292665,0.7631654332991539,0.7173205262646933,0.7745030842481356,0.7245628337343688,0.8148832382581054,0.36932918433379236,0.03693181818181811,4.883022086874566e-08,0.15176151761517603,0.6319018404907976,0.610834934048468,0.9621844359662467,0.9831288763224943,0.01202747568016091,0.8287678814115363,0.9999999999999999,0.14662273476112028,0.0487483530961792,0.08931584695421355,0.36180904522613055,0.04981549815498164,0.20068216035695705,1e-12,1e-12,1e-12,1e-12
1,1,4,1,0.2762000574887379,0.1035522115386523,0.5454545454545454,0.42215634006324887,0.012512008873279178,1.2593581969184138e-10,6.032392393174935e-09,0.006167450960706995,0.7137297588796074,1.0,2.964615315390051e-21,0.6608187134502921,0.05117270788912569,0.3658066429418743,4.515631195044531e-06,8.27555484847036e-06,1.5571107891110143e-05,8.42813656597532e-05,3.3740955802617146e-05,6.115277542011888e-05,6.0048058665532235e-05,0.0003967237853135453,0.5648841953034871,0.6436317094381966,0.7401443272747477,0.7487350919238331,0.7156297403300048,0.7726775918519874,0.7228552937318855,0.8129631441012285,0.40316947530822655,0.03125,7.868571506936842e-09,0.1544715447154471,0.6482617586912068,0.6193460891261395,0.9596225658396406,0.9891895141108962,0.01947697607782406,0.8248470845317475,0.9999999999999999,0.12355848434925855,0.07246376811594205,0.05347528366372152,0.35008375209380227,0.06273062730627306,0.16007407407407406,0.05468750000094533,0.01562500000098438,0.046875000000953126,0.01562500000098438
1,1,5,1,0.310065313650757,0.1173066365475647,0.6363636363636364,0.7080037864125138,0.012512012890357754,3.4579920867975524e-09,7.418310067446745e-09,0.00024171249171451675,0.901907728467414,1.0,7.199780051661553e-21,0.5828460038986353,0.03837953091684436,0.3909252669039145,2.7823702120130585e-06,5.189234567724268e-06,8.462019777032462e-06,3.812230815304002e-05,2.394506056479321e-05,4.743838289904464e-05,4.063626273007962e-05,0.0002224058987426091,0.5836469648361732,0.665862833200085,0.7657076185332179,0.7753298667951103,0.718857533269364,0.7761625490693052,0.7261150251812329,0.8166254557984187,0.3991040176732975,0.025568181818181768,3.2547116055318475e-08,0.11653116531165308,0.6073619631901842,0.6036156219278701,0.967028075873844,0.9934457260257448,0.017400749121015233,0.8594231209820691,0.9999999999999999,0.12520593080724865,0.08036890645586303,0.049093468651340705,0.3299832495812395,0.06457564575645756,0.14782382620574172,0.01562500000098438,1e-12,1e-12,1e-12
1,1,6,1,0.22661208204309097,0.06152042014729498,0.6363636363636364,0.6385764222849254,0.012512011509924351,2.3285393037734343e-09,7.90737951523656e-09,0.00040231210995962826,0.7655300125490904,1.0,2.964615315390051e-21,0.6218323586744638,0.03837953091684436,0.4158362989323843,1.8158286036528184e-06,2.739680048260562e-06,4.370441652789817e-06,2.0974257088592147e-05,1.6869060895923165e-05,2.6412306334032445e-05,2.1941310491245205e-05,0.00011820822212636688,0.5730710303389038,0.6533316413585852,0.7512975728143823,0.7603328441927593,0.718311200124394,0.7755725147335327,0.7255628994122354,0.8160032080424772,0.4040604997100653,0.03409090909090913,1.0351779556301764e-09,0.15718157181571818,0.6523517382413089,0.615088172540885,0.9597156779695196,0.9824171987453836,0.011685016223016459,0.814033907968915,0.9999999999999999,0.13344316309719928,0.08432147562582341,0.049681557923687204,0.3433835845896146,0.02214022140221397,0.3532389842416942,0.007812500000992187,0.007812500000992187,0.03125000000096876,0.023437500000976563
1,1,7,1,0.17826560984844475,0.03398421025471291,0.6363636363636364,0.4422841889567102,0.012512007554552817,1.4897818770557301e-09,6.1197889305923205e-09,0.0004993310358978059,0.6962298245759759,1.0,5.082197683525802e-21,0.6452241715399608,0.06823027718550104,0.2908848269168554,1.4176642217041187e-05,2.4766480647062556e-05,4.39696431420458e-05,0.00015975784319567938,0.0001500763631895445,0.00026671503441240435,0.0002508919796419442,0.0012514460212230964,0.5793752081015192,0.6608021581775709,0.7598903281520251,0.7692881088770932,0.7194792048808908,0.7768345011602736,0.7267452783748067,0.817344479548203,0.4434165133078246,0.025568181818181768,2.282224474186901e-08,0.16531165311653107,0.6584867075664622,0.632601912737778,0.9730310881096566,0.9950554209978628,0.016941666801107938,0.8215336775206064,0.9999999999999999,0.17133443163097198,0.08168642951251642,0.06433896436942002,0.36515912897822445,0.08487084870848717,0.12730734486832043,0.10937500000089063,0.03906250000096095,0.06250000000093751,0.11718750000088285
1,1,8,1,0.27862331058266837,0.10126476825684197,0.8181818181818182,0.6834455949898228,0.012512001848830154,3.009389366702382e-09,8.956498497834333e-09,0.00034668287372596453,0.8581948561671682,1.0,8.046812998915853e-21,0.5789473684210524,0.04690831556503203,0.34168934477705676,3.035916853318628e-06,4.995795231347899e-06,8.006471114617338e-06,3.803754353191691e-05,2.013870250734624e-05,3.306239809642387e-05,2.732349273346754e-05,0.00016204537429674956,0.5700441759201236,0.64974534666271,0.7471738232027768,0.7560436616581666,0.7149879886592505,0.7719844685208196,0.7222063285951902,0.8122286859233894,0.3681379353269637,0.04545454545454547,2.854009769829237e-09,0.16802168021680203,0.6175869120654398,0.626534106938051,0.9664705088086837,0.9868204363565496,0.010889434016052343,0.831843880504655,0.9999999999999999,0.13014827018121905,0.07378129117259555,0.055087917913082436,0.3433835845896146,0.07195571955719561,0.13943109505169124,0.007812500000992187,0.007812500000992187,0.007812500000992187,0.007812500000992187
1,1,9,1,0.29641105066004114,0.10353816382468141,0.4545454545454545,0.7370750498218921,0.012512011952247796,1.4360802481409207e-08,8.421539963627485e-09,3.990886194563008e-05,0.8927486130091145,1.0,4.701032857261367e-20,0.5497076023391811,0.05543710021321953,0.29003558718861205,1.4815562204062827e-06,2.437528071929302e-06,4.503840801607811e-06,2.459374250730154e-05,7.608650122382883e-06,1.2362685971005164e-05,1.1985229913678895e-05,8.572218301328307e-05,0.5808594076172883,0.6625598159479335,0.7619092809259811,0.7713760412555103,0.713721668885027,0.7706170901015246,0.7209269987238615,0.8107882311000052,0.39542059661796414,0.028409090909090898,9.839952296278227e-10,0.1598915989159892,0.6646216768916158,0.5894477358756334,0.9586323821812964,0.9901528576789254,0.01763942052730015,0.8502842609086015,0.9999999999999999,0.12685337726523876,0.061923583662714055,0.06330419348112185,0.3350083752093802,0.05166051660516614,0.18139114724480576,1e-12,1e-12,1e-12,1e-12
