fid,iid,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_distr.costs_runtime,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_meta.costs_runtime,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,disp.costs_runtime,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,ic.costs_runtime,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,nbc.costs_runtime,BFGS,DE,Elitist,MLSL,Non-elitist,PSO
1,1,1,0.30916143572004356,0.013978944687042215,0.0,0.7516629711747225,0.6115804617988011,6.058095622337104e-07,2.8563887542847516e-09,7.521748380037702e-09,0.05788739938693385,0.6238753230396921,1.0,0.0,0.9999999999999999,0.6504398826979472,0.04045198610187706,0.003475047235278028,0.0,0.0,0.03877576694491813,0.00716536281200475,0.0,0.0,0.04082088139172657,0.0022984406718028483,0.0,0.0,0.041748673971847894,0.005948183994315737,0.0,0.0,0.9293680297398037,0.8302028313420213,0.011534025374855789,1.5305336160645703e-07,0.04743083003952565,0.2621359223300974,0.10091259777833361,1.0,0.9964942312349532,0.9750478550600676,0.08323158394732744,0.4121658552526445,0.13476099426386345,1e-12,1.0,1e-12,1e-12,1.8680899063857684e-09,0.00029824008482418117
1,2,1,0.2974826960823347,0.01052031127217268,0.0,0.42350332594235063,0.8665997696769142,8.096349798040903e-07,1.2192012273888704e-08,1.150932092542992e-08,0.017608883571663143,0.8699843921118272,1.0,1.1926223897340549e-18,0.9999999999999999,0.38064516129020554,0.1388841034773035,0.07812535382745334,0.11603487928005207,0.14090243296480942,0.11212306841035713,0.05123245047689018,0.09217341531426149,0.1218204105228824,0.13927202907728464,0.0775431710993647,0.11662745267177488,0.14151101027172475,0.11511356599226641,0.05186138380107963,0.0884647481760541,0.1218943125496108,0.6133828996283981,0.6968707073447624,0.02768166089965396,2.7692897326175426e-07,0.07114624505928849,0.10679611650485477,0.11121727327928,0.9368475909584371,0.92037827049373,0.9496926062273632,0.0916011024948915,0.5106339091001406,0.06539196940726621,1e-12,0.14732774671652002,8.78413909946869e-11,1e-12,2.0851933838724854e-09,0.0007134974015790128
1,3,1,0.2990873961983108,0.013484442548903911,0.0,0.5121951219512191,0.8192991087848198,4.334245444981218e-07,3.013705647236163e-09,1.0925661671291072e-08,0.08275881840720403,0.824671089443267,1.0,4.336808689942018e-19,0.9999999999999999,0.4105571847507328,0.0,0.026588644454424992,0.05711353743901215,0.10000584613188224,0.0,0.014034916004256992,0.021989692200700794,0.0713535463177788,0.0,0.025661570760385,0.05720036012194396,0.10047728957950919,0.0,0.011906977091741044,0.020672501542212784,0.07472210868715146,1.0,0.7106086707491017,0.024221453287197187,2.601594790229201e-07,0.06455862977602103,0.13592233009708732,0.1050380397899775,0.9380772669227473,0.9660647114478706,0.9887570733005808,0.09015003488900097,0.49179900311391755,0.07208413001912106,1e-12,0.3544730289558778,4.4420695497343456e-11,1e-12,2.1286140793698287e-09,0.000593363865332518
1,4,1,0.30439647592532293,0.01369833956231909,0.0,0.2527716186252764,0.8062749030274841,4.855673147326185e-07,4.405822997848195e-09,1.1030733841258858e-08,0.05968912244714243,0.8119668390574621,1.0,2.168404344971009e-19,0.9999999999999999,0.0,0.05731414894348874,0.033294293546603626,0.060435116875955375,0.12502237795886906,0.07311888582291415,0.022986282000039715,0.06521731650056317,0.12088023404308279,0.058179930674184366,0.032045741170844355,0.06056125227030673,0.12480073822214122,0.07382167086816471,0.023166991454219077,0.06485685332131486,0.12239012047153763,0.016728624535682357,0.659842064298763,0.023068050749711605,2.4451451441643684e-07,0.059288537549407085,0.17475728155339798,0.0,0.9493394969365103,0.951781945734739,1.0,0.0,0.4780746937677274,0.0,1e-12,0.9366355124227888,1e-12,1e-12,2.562821034343263e-09,0.0007651889579960812
1,5,1,0.29553289804168914,0.0112096295875666,0.0,0.6518847006651871,0.7884826829685512,5.562737273185178e-07,9.37702685335782e-09,1.007305129212356e-08,0.0204996579432425,0.7901341781020501,1.0,2.168404344971009e-19,0.9999999999999999,0.39472140762463326,0.02105779786466966,0.0,0.05173710369399065,0.09602228084968667,0.06025520870866341,0.0,0.03459351973392444,0.049617303273174596,0.021290936657973547,0.0,0.05122799238938669,0.09583118817198655,0.06196525046736723,0.0,0.0322484379005582,0.05170651067987997,0.6189591078064627,0.7260042375846889,0.02076124567474044,2.0849516092250783e-07,0.05665349143610011,0.11650485436893199,0.10561845912061996,0.9587083353154555,1.0,0.988914355134058,0.016393582890672498,0.4935645101062154,0.032963671128099725,1e-12,0.9727988250250998,1e-12,1e-12,4.169386767744971e-09,0.0004854319135966884
2,1,1,0.36464161821983676,0.012021468987097118,0.0,0.5521064301552094,0.6641412102732094,0.00649075916872178,0.00035714427301549253,0.004753810469270195,0.3597035023063886,0.6646403525996691,0.9969785308112098,0.352521842665179,0.9989566628077283,0.4739002932551326,0.4786473024964155,0.4638857213057961,0.4635854473977674,0.5309792304432235,0.47313975523521246,0.41150854067503273,0.44260932065877534,0.4954812818658034,0.4787034194901814,0.4631874891469109,0.46381962760160633,0.5309735881917557,0.4738181267843587,0.41013762573238743,0.4403352517464241,0.4966068890214979,0.7044609665428627,0.5553505689701592,0.6666666666666665,0.06698085188288234,0.7720685111989458,0.23300970873786442,0.7575186627138621,0.5174232884898322,0.6301765113202507,0.6091177683580871,0.34155815188258076,0.635247290964769,0.3799235181644389,1.0174545505490656e-12,0.7869354837060367,0.2538845840938778,3.799895654251412e-09,0.011444172690690424,0.04925645678783491
2,2,1,0.32270481177326665,0.0006633963875325756,0.0,0.42350332594235063,0.013690095663898788,0.004954142278451967,0.0004052875455426674,0.0003799835527032887,0.01813255202475019,0.016190926130227802,0.998564990016854,0.9923569326745602,0.9985909709468314,0.29442815249266907,0.5837529515761435,0.5823043671959387,0.5543979891412196,0.5487718367612864,0.5375790701557147,0.6038839226568762,0.5290440101960279,0.5241159045379122,0.5835473419856714,0.5819584275615073,0.5545834099082946,0.5485972090144481,0.5387113979621421,0.60333196012554,0.5286931174377427,0.5256344626517775,0.3661710037177084,0.6416768173250649,0.6585928489042674,0.0717953115249553,0.7812911725955203,0.3009708737864081,0.7211308354466532,0.46914347007296464,0.635603230761312,0.5369502423304244,0.36237333697988516,0.3804950573318071,0.40875717017208735,1.0523636516471972e-12,0.8827254885714548,0.14420078723698015,3.063045475810714e-08,0.009447842425629124,0.11814788126514801
2,3,1,0.35939645913477547,0.008944772181478346,0.25,0.4811529933481147,0.8336267483309842,0.010814968972719163,0.0003585470415396391,0.009480185732515183,0.7156155633026565,0.8353961392492667,0.9981763282631373,0.4531875137406976,0.9985525008055618,0.4410557184749546,0.5478974752044565,0.5860396367857885,0.5437905521657174,0.5620214187087642,0.5812984932945163,0.55986999525357,0.5191800970304268,0.5600061258230071,0.5482591526347094,0.5856033045838616,0.5438573102538207,0.5619930892163894,0.5816806142606943,0.5587133220737207,0.5190140340841878,0.5596313328247331,0.8457249070632553,0.3252950912756134,0.693194925028835,0.0583917914709781,0.7786561264822133,0.21359223300970864,0.8114887309354573,0.47832568341641934,0.6532139170517315,0.5988487195334022,0.29647632564748383,0.7241429509448056,0.32910133843212486,1.023272734065421e-12,0.7709270908430603,0.5312252913528012,1.2812244466535139e-08,0.029474026821135292,0.3241332662279755
2,4,1,0.34521901453046044,0.003466359102863163,0.25,1.0,0.8697575580472787,0.012173527770698377,0.0002813091853328461,0.010564950402541866,1.0,0.8705628858261891,0.9970827195905766,0.27615378703731397,0.9973215044855752,1.0,0.551059802187879,0.5744451739098781,0.5581862525736507,0.5714071359300301,0.549827614303065,0.5416803483080246,0.5209411662342531,0.5582079385860621,0.5512406648303223,0.5740813068274564,0.5583836766485191,0.571399348675746,0.5499787840097884,0.5407760421793917,0.5201917066555011,0.5595520721142959,0.8736059479550669,0.23808333407457027,0.693194925028835,0.06039366886222839,0.7865612648221343,0.15533980582524354,0.9444047576526056,0.47691705688296837,0.6546327546225363,0.5799077024189319,0.3488864761555712,0.7305068256417088,0.2961759082217996,1.0174545505490656e-12,0.9743932563008956,0.25429506040374167,8.783599872761518e-08,0.02022844857614099,0.13222261226106646
2,5,1,0.3217643682110355,0.0,0.0,0.40576496674057516,0.005743560544889609,0.004888615028352472,0.0003952984761691544,0.0003601605667923198,0.021428225498070975,0.011602746779155008,0.9985361261704744,1.0,0.9985459904654206,0.2750733137829897,0.606351265923766,0.6037147313147406,0.5604353374992768,0.5662680708251404,0.6337904476182984,0.5565572346933882,0.5629028617785092,0.5324322212266965,0.6063844095895695,0.6034394998457409,0.5604292713747618,0.5663058516350046,0.6338177635234252,0.5549429039556535,0.5623771757243792,0.5336736378019458,0.44981412639425855,0.623257405965274,0.6574394463667819,0.0717953115249553,0.7812911725955203,0.3009708737864081,0.7507411508375896,0.4254863930066122,0.6051986482077538,0.48320704872447195,0.4123311816438293,0.3793676970583728,0.42275334608030923,1e-12,1.0,0.3395735179240212,1.939640878854073e-07,0.006575761981747938,0.16625630828364096
