fid,iid,rep,vbs_regret,switch_budget,selected_algorithm,achieved_regret,static_B50,static_B100,static_B150,static_B200,static_B250,static_B300,static_B350,static_B400,static_B450,static_B500,static_B550,static_B600,static_B650,static_B700,static_B750,static_B800,static_B850,static_B900,static_B950,no_switch
1,6,0,1.3358203432289886e-12,100,BFGS,1.5631940186722204e-12,1.3358203432289886e-12,1.5631940186722204e-12,2.529532139305957e-12,5.2011728257639326e-12,4.263256414560601e-12,2.557953848736361e-12,1.3955059330328368e-11,1.034550223266706e-11,1.764988155628089e-11,2.4022028810577467e-10,2.0236257114447653e-11,1.922521164487989e-08,8.619545610599745e-08,1.4462926856140257e-07,4.855556596794486e-07,5.225397688946032e-05,0.0058094508601982,0.0117344732401818,1.2883295167225128,1.260073001800805
1,6,1,1.2221335055073725e-12,150,BFGS,9.350742402602918e-12,1.2221335055073725e-12,2.8705926524708048e-12,9.350742402602918e-12,2.131628207280301e-12,6.59383658785373e-12,6.707523425575346e-12,8.15703060652595e-12,2.8705926524708048e-11,6.119194040365983e-11,9.018776836455801e-10,1.222531409439398e-09,2.797406750687514e-09,3.831519279628992e-08,5.517296699508734e-07,4.831085647083455e-06,0.0001049753118707,0.0074831150313627,0.0162796574259971,2.4079288736754734,2.4079288736754734
1,6,2,2.8137492336099967e-12,100,BFGS,4.149569576838985e-12,3.666400516522117e-12,4.149569576838985e-12,3.268496584496461e-12,3.268496584496461e-12,4.234834705130197e-12,2.8137492336099967e-12,5.9117155615240335e-12,1.2079226507921703e-11,2.3788970793248154e-11,4.773141881742049e-10,2.387594122410519e-09,4.911896667181281e-09,1.5851782109166382e-08,1.1391384191483669e-07,4.0539040924159053e-07,1.981600991030064e-05,0.0070854841675043,0.0066911196526859,1.640885919386278,1.640885919386278
1,6,3,1.5631940186722204e-12,100,BFGS,2.103206497849897e-12,5.1159076974727205e-12,2.103206497849897e-12,1.5631940186722204e-12,4.376943252282217e-12,9.322320693172514e-12,3.723243935382925e-12,2.108890839735977e-11,1.4682655091746708e-10,4.487787919060793e-11,4.780105200552498e-09,8.893664471543161e-09,4.022038524453819e-08,2.5178169948958384e-07,2.7426247584116936e-07,1.811737604384689e-07,8.868182851529127e-05,0.0096127485866475,0.0164124581618807,1.812689782553292,1.812689782553292
1,6,4,2.0747847884194925e-12,100,BFGS,6.366462912410498e-12,2.0747847884194925e-12,6.366462912410498e-12,2.472688720445149e-12,3.268496584496461e-12,3.325340003357269e-12,9.691802915767768e-12,2.0037305148434825e-11,3.1150193535722786e-11,3.3651303965598345e-11,9.242739906767383e-10,3.055305342059e-09,2.607634996820707e-09,5.345114573174215e-08,4.1869714095810206e-07,8.859310099751383e-06,3.940965618198789e-05,0.001866092376332,0.0070889108806113,1.4834749190653156,1.4834749190653156
1,6,5,1.2221335055073725e-12,150,BFGS,2.8137492336099967e-12,1.2221335055073725e-12,2.7853275241795927e-12,2.8137492336099967e-12,1.9895196601282805e-12,4.206412995699793e-12,7.790390554873737e-11,7.702283255639486e-12,1.3955059330328368e-11,5.215383680479136e-11,2.5556801119819283e-10,1.307881802858901e-09,2.854017111530993e-08,6.97348809808318e-07,7.911035311281012e-07,2.182151072815941e-05,0.0002060678961299,0.0141107533373201,0.016485657784159,2.229824994278971,2.2973345658889457
1,6,6,1.7053025658242404e-12,100,BFGS,1.7053025658242404e-12,1.9042545318370685e-12,1.7053025658242404e-12,6.281197784119286e-12,5.8548721426632255e-12,1.7905676941154525e-12,6.0538241086760536e-12,9.293898983742109e-12,8.523670658178162e-11,6.525624485220759e-11,4.586979684972903e-10,2.422780198685359e-09,2.1506451730601842e-08,4.605528829415562e-07,1.2894442704691755e-06,2.956127488573657e-05,0.0004877410975154,0.0252991607527803,0.0201813027354376,2.460892829810149,2.2724952191839805
1,6,7,1.8189894035458565e-12,100,BFGS,4.376943252282217e-12,5.3432813729159526e-12,4.376943252282217e-12,1.8189894035458565e-12,3.240074875066057e-12,3.5555558497435413e-11,1.0885514711844736e-11,5.087485988042317e-12,5.7980287238024175e-12,1.0572875908110289e-11,6.88942236592993e-11,2.5660256142145954e-09,3.482540478216833e-09,2.0354121943455542e-08,3.827657337751589e-07,6.416630071726104e-07,0.0001207230322961,0.0091618631377912,0.01458604072252,1.2094600300558227,1.2094600300558227
1,6,8,2.0747847884194925e-12,100,BFGS,4.121147867408581e-12,2.444267011014745e-12,4.121147867408581e-12,2.0747847884194925e-12,2.529532139305957e-12,9.00968188943807e-12,7.105427357601002e-12,1.0231815394945444e-11,1.6314061213051897e-11,1.148237060988322e-11,7.477751751139293e-11,1.7394938822690163e-09,2.1067876332381275e-09,5.3972030400473165e-08,2.193598334088165e-07,3.2522868309570185e-07,4.133488104685057e-05,0.0024044198783315,0.0105812716617208,1.2865320579390414,1.2865320579390414
1,6,9,3.581135388230905e-12,50,BFGS,3.581135388230905e-12,3.581135388230905e-12,4.575895218295045e-12,4.177991286269389e-12,3.581135388230905e-12,3.922195901395753e-12,5.542233338928781e-12,8.753886504564434e-12,3.893774191965349e-11,5.790639079350511e-10,1.7690524600766364e-09,5.082455345473136e-09,1.0365880598328658e-08,3.717977392625471e-07,4.975443061994156e-07,7.511260946557741e-07,0.0002232593058408,0.0048157047868073,0.0063218747987434,1.4382809846373732,1.4382809846373732
