evaluations raw_y rep iid sigma t d_norm d_mean ps_norm ps_mean pc_norm pc_mean ps_squared loglikelihood mhl_norm mhl_mean x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39
1 287.5575167921 0.0000000000 1.0000000000 0.4223147173 67.0000000000 5.4862018989 0.8654419820 5.6038070160 0.0739899245 4.7871782835 0.0610704261 31.4026530722 -268.3437377002 27.3209995949 6.9696779206 3.528105 0.800314 1.957476 4.481786 3.735116 -1.954556 1.900177 -0.302714 -0.206438 0.821197 0.288087 2.908547 1.522075 0.243350 0.887726 0.667349 2.988158 -0.410317 0.626135 -1.708191 -5.000000 1.307237 1.728872 -1.484330 4.539509 -2.908731 0.091517 -0.374368 3.065558 2.938718 0.309895 0.756325 -1.775571 -3.961593 -0.695824 0.312698 2.460581 2.404760 -0.774654 -0.604606
2 79.3150591127 0.0000000000 1.0000000000 0.4223147173 67.0000000000 5.4862018989 0.8654419820 5.6038070160 0.0739899245 4.7871782835 0.0610704261 31.4026530722 -268.3437377002 27.3209995949 6.9696779206 -2.097106 -2.840036 -3.412540 3.901551 -1.019304 -0.876149 -2.505591 1.554981 -3.227796 -0.425481 -1.790933 0.773805 -1.021610 -2.361264 -0.056364 0.856664 0.133034 0.604944 -1.268644 -0.725482 -1.344921 -0.719106 -1.626293 -3.452565 0.354852 -0.803562 -3.260397 0.925565 -1.814597 0.103891 1.458181 0.257966 2.278801 -2.469652 0.804683 -1.369620 -1.741594 -1.157699 -0.623105 0.112331
4 76.9794666558 0.0000000000 1.0000000000 0.4223147173 67.0000000000 5.4862018989 0.8654419820 5.6038070160 0.0739899245 4.7871782835 0.0610704261 31.4026530722 -268.3437377002 27.3209995949 6.9696779206 0.752851 -2.198802 0.596476 2.652772 -1.389136 -0.299269 -0.870307 3.698527 1.344590 0.814924 -1.539832 1.078498 -1.348665 0.063661 -1.271692 1.352867 1.153182 -0.416598 0.792013 -2.186123 -2.982515 0.878783 0.333347 1.270063 4.766290 1.888959 -1.825644 2.234033 -2.631815 -0.923169 -0.136483 3.426685 -1.489510 -1.652877 -0.196905 -1.326957 2.253272 -2.159863 -2.294937 -0.875640
10 74.7368484003 0.0000000000 1.0000000000 0.4223147173 67.0000000000 5.4862018989 0.8654419820 5.6038070160 0.0739899245 4.7871782835 0.0610704261 31.4026530722 -268.3437377002 27.3209995949 6.9696779206 1.396914 0.007542 1.863697 0.679930 -0.031364 0.321856 -0.381307 -0.789699 -0.535467 -2.256023 0.560883 -1.986247 1.683263 -0.498917 0.098990 0.987674 1.286629 -3.141247 -0.413807 1.760358 -3.396212 0.774561 -4.511128 -2.045014 0.077261 -3.313430 -1.971021 -2.943670 3.296270 0.328456 1.134581 -0.445350 -0.706863 -3.232948 -0.583675 -1.522984 1.715848 2.282204 2.933157 1.705104
12 74.4653185049 0.0000000000 1.0000000000 0.4223147173 67.0000000000 5.4862018989 0.8654419820 5.6038070160 0.0739899245 4.7871782835 0.0610704261 31.4026530722 -268.3437377002 27.3209995949 6.9696779206 -0.790458 -2.318841 -0.171862 0.388586 1.751666 -0.230215 0.914831 -1.929224 -1.565258 -0.220779 -2.109257 1.640496 0.926261 0.558192 0.677808 4.042087 -0.937728 -4.402883 0.398600 -0.101207 -1.035038 -1.957660 -0.878379 0.362677 -1.005633 4.824907 -1.921009 -1.586235 -4.577240 0.502969 -4.032813 -1.078909 -0.551341 -1.419456 3.477745 1.988789 2.638274 -1.764838 2.257188 0.992002
21 60.0018890690 0.0000000000 1.0000000000 1.8964283429 1.0000000000 6.3092035527 0.9975476913 3.4196495313 -0.1073281342 2.8999917328 -0.0910183043 11.6940029166 -1286.4682575107 26.6033871871 6.7640999567 2.033367 -0.552659 -1.603786 1.006107 2.161311 0.912398 0.115580 -1.223762 0.978134 2.170521 1.055027 -1.065295 -1.106360 0.239908 0.050072 3.558895 2.972215 -3.443312 -0.485535 1.802214 -3.683139 0.842167 -1.588136 -0.701280 -0.203153 3.589271 0.006104 -1.037736 -2.509932 1.605031 -1.146871 -0.177185 1.639666 -3.202262 -0.095809 -4.053357 3.466332 -1.002401 2.492483 1.864496
47 51.8106667667 0.0000000000 1.0000000000 1.7478045709 3.0000000000 6.2828256644 0.9933389491 4.2096749621 -0.1190693692 3.7178520677 -0.1055488394 17.7213632865 -1224.4407031713 26.2304749482 6.7028034608 1.277882 0.698335 -0.073987 -0.522931 1.369659 1.208938 1.478523 2.598233 -3.064200 1.910027 0.064202 0.818638 0.846235 1.554537 2.191484 2.417468 1.031041 -3.295264 0.055120 -1.104943 -5.000000 0.860952 -1.542273 -0.009325 0.662256 -0.930686 -5.000000 -1.285487 -2.198043 -1.171573 0.705763 -2.710771 -1.437078 -0.833958 -0.475431 -2.528755 1.513188 -0.909348 0.931935 -0.048279
69 32.4374263638 0.0000000000 1.0000000000 1.6992763787 4.0000000000 6.2694443579 0.9912001191 4.7677974553 -0.1321303223 4.2347432509 -0.1208907994 22.7318925747 -1154.0103246019 24.1887265302 6.1472882251 0.990305 1.610516 -1.720351 -1.767843 1.516186 -2.608502 0.493794 0.065508 -3.100789 -1.479615 -1.474715 1.112400 1.176777 0.803174 3.308352 0.172190 2.660470 -1.201905 -0.888688 2.230859 -3.782916 1.899535 0.788310 1.185272 -0.166087 0.639193 -5.000000 1.044752 -2.018248 0.402091 1.829070 0.756776 1.295669 0.305149 -1.537814 0.316610 -1.218001 -3.125249 1.899169 1.096828
152 31.0079790408 0.0000000000 1.0000000000 1.4474458174 10.0000000000 6.1931583571 0.9789905935 4.7079537233 0.0242374071 4.2806008553 0.0119206949 22.1648282611 -1063.1499051579 24.8726441657 6.3446795533 0.664135 -2.602435 0.072819 -1.241031 2.406395 -4.638036 2.635855 0.988996 1.231526 -1.537501 2.074630 1.688642 -1.015568 0.290337 2.010226 0.279957 2.375226 -2.496870 -0.653361 0.240305 -4.229691 1.222655 -0.433681 3.180273 0.093826 -0.679273 -5.000000 0.915227 -3.799071 -0.315991 1.738247 0.374663 -1.311116 -0.008195 0.529135 2.413219 -0.079205 -1.232653 0.767358 -0.748855
206 30.0517570589 0.0000000000 1.0000000000 1.3577495909 13.0000000000 6.1541452396 0.9727362160 5.2366405967 0.2086352024 4.7191226616 0.1658511111 27.4224047391 -1043.8307838802 25.8864740630 6.5927430928 1.920885 -1.555549 1.211427 -2.375648 0.779813 -4.452174 4.245373 -1.399863 2.431221 -1.350618 -0.492588 5.000000 -1.362435 -1.175282 3.526847 2.973511 4.633151 -1.415977 -1.177852 0.092880 -2.475806 0.465519 1.373704 -0.329746 0.073328 0.984005 -4.830577 3.272112 -1.891699 -1.514076 3.039551 2.313640 3.119629 -0.689632 1.815796 2.496441 1.588332 -2.568039 0.358793 2.971469
