evaluations raw_y rep iid sigma t d_norm d_mean ps_norm ps_mean pc_norm pc_mean ps_squared loglikelihood mhl_norm mhl_mean x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39
1 1246.2463852611 0.0000000000 1.0000000000 0.6385250497 67.0000000000 5.6130794629 0.8851004240 6.4558765038 -0.0813734705 5.5007702648 -0.0670543225 41.6783414325 -519.2824684577 26.5874460829 6.7987021882 3.528105 0.800314 1.957476 4.481786 3.735116 -1.954556 1.900177 -0.302714 -0.206438 0.821197 0.288087 2.908547 1.522075 0.243350 0.887726 0.667349 2.988158 -0.410317 0.626135 -1.708191 -5.000000 1.307237 1.728872 -1.484330 4.539509 -2.908731 0.091517 -0.374368 3.065558 2.938718 0.309895 0.756325 -1.775571 -3.961593 -0.695824 0.312698 2.460581 2.404760 -0.774654 -0.604606
2 991.4816055076 0.0000000000 1.0000000000 0.6385250497 67.0000000000 5.6130794629 0.8851004240 6.4558765038 -0.0813734705 5.5007702648 -0.0670543225 41.6783414325 -519.2824684577 26.5874460829 6.7987021882 -2.097106 -2.840036 -3.412540 3.901551 -1.019304 -0.876149 -2.505591 1.554981 -3.227796 -0.425481 -1.790933 0.773805 -1.021610 -2.361264 -0.056364 0.856664 0.133034 0.604944 -1.268644 -0.725482 -1.344921 -0.719106 -1.626293 -3.452565 0.354852 -0.803562 -3.260397 0.925565 -1.814597 0.103891 1.458181 0.257966 2.278801 -2.469652 0.804683 -1.369620 -1.741594 -1.157699 -0.623105 0.112331
4 948.2797991185 0.0000000000 1.0000000000 0.6385250497 67.0000000000 5.6130794629 0.8851004240 6.4558765038 -0.0813734705 5.5007702648 -0.0670543225 41.6783414325 -519.2824684577 26.5874460829 6.7987021882 0.752851 -2.198802 0.596476 2.652772 -1.389136 -0.299269 -0.870307 3.698527 1.344590 0.814924 -1.539832 1.078498 -1.348665 0.063661 -1.271692 1.352867 1.153182 -0.416598 0.792013 -2.186123 -2.982515 0.878783 0.333347 1.270063 4.766290 1.888959 -1.825644 2.234033 -2.631815 -0.923169 -0.136483 3.426685 -1.489510 -1.652877 -0.196905 -1.326957 2.253272 -2.159863 -2.294937 -0.875640
25 937.9209723640 0.0000000000 1.0000000000 1.8905297881 1.0000000000 6.3081473224 0.9973842416 3.2517732774 -0.1184347923 2.7576263401 -0.1004371692 10.5740294478 -1303.8077723453 27.3194201933 6.9079963873 0.393653 -0.004168 3.625869 0.009730 -1.229387 0.448469 -2.544674 -0.066207 -0.338229 1.297907 -0.918413 0.434606 -0.481222 -0.751655 -0.493453 0.732756 -0.106242 -1.283843 -1.783704 -1.012441 -1.948641 -0.116958 -2.331390 -1.623540 2.028654 3.339695 -1.001008 -0.600481 -0.484006 -2.223951 -1.343959 4.496874 -0.302028 -3.808179 -1.484157 -1.977796 0.874866 -2.295688 -2.609723 -0.786019
45 919.4686934476 0.0000000000 1.0000000000 1.8095621642 2.0000000000 6.2921338756 0.9948346371 3.9263559148 -0.0930855284 3.4006512132 -0.0833548637 15.4162707694 -1203.5114393728 24.5549478808 6.2228048056 0.157807 -0.770074 0.958008 0.769743 -0.787493 0.896805 -1.040543 0.545070 0.660462 -0.313587 -0.367939 -1.036908 -0.699997 2.178790 0.525846 1.821240 -0.958609 -1.544937 -2.598226 -3.190707 -1.929951 2.037637 -1.151143 -2.573768 -1.096155 -0.721614 -2.149597 0.633311 0.088396 -3.449291 3.119651 3.882434 3.237643 -0.023870 -2.125479 -2.289459 5.000000 1.250005 -4.188451 -2.999873
47 854.1512022656 0.0000000000 1.0000000000 1.7422803420 3.0000000000 6.2777729596 0.9925380202 4.2433370406 -0.0802645507 3.7164920206 -0.0749645159 18.0059092403 -1241.0059774031 26.9735746226 6.8452691416 -2.030765 -0.367130 1.849436 0.325949 -0.611123 1.747116 1.271053 2.201752 -0.712886 -0.323578 -2.589534 2.018722 -0.843071 -0.538018 -1.115253 1.435501 0.893229 -2.609506 -0.501878 -3.502723 0.557167 2.391738 -3.182142 1.153164 -0.489367 0.532673 -1.214922 2.008038 -1.907130 -2.350171 2.346674 1.355749 0.475614 1.952949 -0.286869 -0.230266 4.385827 1.378557 -3.983925 -1.178152
92 776.6786037949 0.0000000000 1.0000000000 1.5880712316 6.0000000000 6.2367298044 0.9859883864 4.6350057334 -0.0139345624 4.1912810249 -0.0227965530 21.4832781482 -1143.4923221259 25.6308198892 6.5389289239 1.021729 0.249722 2.931549 1.985454 -2.116001 -0.753184 2.169486 0.032870 1.516298 1.985777 1.962316 -1.719219 1.958446 -0.733123 -0.945668 -0.624920 2.764988 2.021361 -0.540790 -3.250484 0.765473 -0.220575 -1.234138 -0.138422 -3.391376 0.564372 1.554188 1.175731 -1.625631 -1.977927 1.392516 -1.686061 -0.295024 -0.519610 1.072803 -2.701545 2.858830 1.118205 0.149207 -0.312018
99 774.2197168773 0.0000000000 1.0000000000 1.5880712316 6.0000000000 6.2367298044 0.9859883864 4.6350057334 -0.0139345624 4.1912810249 -0.0227965530 21.4832781482 -1143.4923221259 25.6308198892 6.5389289239 -1.648235 1.243551 1.108494 1.296634 -1.353408 0.332156 1.943871 0.710709 -1.504939 -0.691805 2.727879 2.929363 2.308556 0.185840 -0.038816 2.713648 1.463147 -0.198549 1.246884 -5.000000 0.988956 1.821311 0.538189 0.646993 -0.584849 3.983655 -1.152496 1.219452 -0.314072 -2.738667 0.633824 2.242846 0.198946 -0.480783 2.146336 -1.507968 0.570320 0.752049 -2.581871 -3.650438
109 761.9936294831 0.0000000000 1.0000000000 1.5248636934 7.0000000000 6.2205421829 0.9833994757 4.0964843836 0.1601873005 3.6360851235 0.1224921549 16.7811843050 -1151.2323333145 26.9371452360 6.8088152199 -2.660052 1.138722 1.063119 1.951262 1.092574 -2.962680 1.976305 1.718240 -1.815499 0.939099 2.757185 2.692702 -1.069274 1.384791 0.140664 -0.506897 -0.289009 -2.165092 0.363278 -5.000000 -1.682932 -0.611660 -0.505061 1.127590 0.962751 1.554751 -2.949065 0.488692 -1.804099 -2.613986 2.978134 -0.699030 0.380818 0.018071 1.560440 -1.141694 1.974378 0.550775 -1.187235 -3.325691
116 717.5103427510 0.0000000000 1.0000000000 1.5248636934 7.0000000000 6.2205421829 0.9833994757 4.0964843836 0.1601873005 3.6360851235 0.1224921549 16.7811843050 -1151.2323333145 26.9371452360 6.8088152199 -2.462050 0.845524 0.054626 0.516502 0.493392 1.425482 0.561011 1.325559 0.024362 -0.945669 2.842896 -0.216091 1.738810 -2.967699 1.369980 0.767773 1.867850 -0.032349 0.482568 -4.238246 0.851292 0.550252 -0.882857 1.826140 -0.671754 4.249958 -2.375216 1.954264 -0.940501 -3.619267 1.054271 -0.235928 1.685627 -1.152113 0.494564 -0.875078 3.765659 0.704422 -1.373508 -1.342813
