evaluations raw_y rep iid sigma t d_norm d_mean ps_norm ps_mean pc_norm pc_mean ps_squared loglikelihood mhl_norm mhl_mean x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39
1 74.6983072793 0.0000000000 1.0000000000 0.4349679348 67.0000000000 5.5058299821 0.8687041431 5.4293333619 -0.1846380845 4.4950227474 -0.1318052495 29.4776607549 -294.8473294992 27.5465114712 7.0251537275 3.528105 0.800314 1.957476 4.481786 3.735116 -1.954556 1.900177 -0.302714 -0.206438 0.821197 0.288087 2.908547 1.522075 0.243350 0.887726 0.667349 2.988158 -0.410317 0.626135 -1.708191 -5.000000 1.307237 1.728872 -1.484330 4.539509 -2.908731 0.091517 -0.374368 3.065558 2.938718 0.309895 0.756325 -1.775571 -3.961593 -0.695824 0.312698 2.460581 2.404760 -0.774654 -0.604606
2 69.8686128553 0.0000000000 1.0000000000 0.4349679348 67.0000000000 5.5058299821 0.8687041431 5.4293333619 -0.1846380845 4.4950227474 -0.1318052495 29.4776607549 -294.8473294992 27.5465114712 7.0251537275 -2.097106 -2.840036 -3.412540 3.901551 -1.019304 -0.876149 -2.505591 1.554981 -3.227796 -0.425481 -1.790933 0.773805 -1.021610 -2.361264 -0.056364 0.856664 0.133034 0.604944 -1.268644 -0.725482 -1.344921 -0.719106 -1.626293 -3.452565 0.354852 -0.803562 -3.260397 0.925565 -1.814597 0.103891 1.458181 0.257966 2.278801 -2.469652 0.804683 -1.369620 -1.741594 -1.157699 -0.623105 0.112331
3 66.1753563244 0.0000000000 1.0000000000 0.4349679348 67.0000000000 5.5058299821 0.8687041431 5.4293333619 -0.1846380845 4.4950227474 -0.1318052495 29.4776607549 -294.8473294992 27.5465114712 7.0251537275 -2.330300 1.801653 0.931325 -3.072487 2.976504 3.791778 2.357559 -0.359850 -2.141505 2.108903 -0.806354 2.444890 0.416550 1.953278 0.712733 1.413146 0.021000 3.571741 0.253824 0.803979 3.766301 -2.695518 -2.540970 1.938793 -2.346247 3.887242 -0.827238 -1.494910 3.845884 2.961030 3.735118 1.812089 -1.722451 3.820130 -0.536007 1.604913 1.894504 -0.310020 1.228159 1.844413
4 64.0699796189 0.0000000000 1.0000000000 0.4349679348 67.0000000000 5.5058299821 0.8687041431 5.4293333619 -0.1846380845 4.4950227474 -0.1318052495 29.4776607549 -294.8473294992 27.5465114712 7.0251537275 0.752851 -2.198802 0.596476 2.652772 -1.389136 -0.299269 -0.870307 3.698527 1.344590 0.814924 -1.539832 1.078498 -1.348665 0.063661 -1.271692 1.352867 1.153182 -0.416598 0.792013 -2.186123 -2.982515 0.878783 0.333347 1.270063 4.766290 1.888959 -1.825644 2.234033 -2.631815 -0.923169 -0.136483 3.426685 -1.489510 -1.652877 -0.196905 -1.326957 2.253272 -2.159863 -2.294937 -0.875640
9 61.2654171651 0.0000000000 1.0000000000 0.4349679348 67.0000000000 5.5058299821 0.8687041431 5.4293333619 -0.1846380845 4.4950227474 -0.1318052495 29.4776607549 -294.8473294992 27.5465114712 7.0251537275 -1.439209 -1.625986 0.549033 -1.781830 -2.314711 -0.624585 -0.315334 4.513447 -1.409401 1.886521 1.494377 -2.377890 1.546506 -2.367761 -5.000000 1.212639 -3.511781 0.901869 -1.368022 3.319102 2.137019 -0.906772 -1.375675 -2.428155 -0.881845 -0.560711 -0.729387 0.313408 1.157043 0.699309 -1.528288 -2.875583 2.729064 -1.378898 -1.304587 -1.042379 -3.686139 -0.955948 -0.959312 1.240717
20 58.3423466156 0.0000000000 1.0000000000 1.8687930064 1.0000000000 6.3116778941 0.9979430920 2.6285778401 -0.0455213508 2.2291331130 -0.0386038218 6.9094214613 -1272.0049513184 26.3427056783 6.7498064855 -1.532845 -2.055867 3.674033 -1.335441 0.714599 0.144564 -1.346815 -0.029088 1.588415 0.614522 0.659509 -0.037910 -0.822503 2.584862 -1.465725 2.983500 0.308579 -1.770020 -1.771090 1.956632 -1.348483 1.990044 0.535325 -0.329298 0.781971 -0.065500 -2.440706 -3.779383 1.515267 2.189642 0.665327 -0.496511 -0.136275 -0.948301 -2.177199 0.490476 -1.540793 1.700315 0.515787 0.848071
22 50.4071691167 0.0000000000 1.0000000000 1.8687930064 1.0000000000 6.3116778941 0.9979430920 2.6285778401 -0.0455213508 2.2291331130 -0.0386038218 6.9094214613 -1272.0049513184 26.3427056783 6.7498064855 -1.922555 -1.058160 0.190676 0.194438 0.911713 -1.392772 -0.710345 -2.094811 -2.072459 0.891790 -2.960166 1.606173 -0.219005 1.656424 -0.655996 1.482932 -2.465020 -0.610103 -3.698319 -1.027353 -2.636607 -1.034235 -1.567530 2.071234 1.188001 -2.698740 -2.144093 -0.792149 3.289839 2.962139 -0.483276 -0.521849 0.426114 -1.588822 1.702629 -2.126307 0.967462 -1.439585 0.111647 -0.964671
79 43.6864650145 0.0000000000 1.0000000000 1.6031686196 5.0000000000 6.2637649991 0.9902819528 4.9981600901 -0.0929967770 4.4916446628 -0.0878958674 24.9816042860 -1106.0133772226 23.6529132358 6.0614116908 -0.590458 -0.623441 0.089321 -3.606759 3.423061 -2.400402 2.748493 -2.915021 -1.818507 -0.638440 -1.626564 -0.028165 -1.574280 -1.121248 -1.580941 1.647397 0.824885 -0.488422 -4.095039 1.062112 1.683142 0.848443 1.792829 2.385728 0.832058 0.006031 -1.642946 -4.078759 0.724375 0.651154 2.959398 2.523340 0.009710 0.354777 -1.505569 -2.144150 -1.259079 -3.453721 -4.265572 -0.445444
163 40.3999948349 0.0000000000 1.0000000000 1.5115124129 10.0000000000 6.2097816047 0.9815552202 6.4226996415 -0.1007134112 5.9354347852 -0.0958565469 41.2510706846 -1084.3812856334 24.5156473638 6.2635414219 -2.047124 -0.762354 -3.462128 -5.000000 1.314624 -5.000000 2.090436 0.577387 -0.207737 -1.566934 -3.539701 1.065391 4.781183 -3.502268 -1.028103 1.891936 -0.208610 0.607133 -4.567111 1.935077 5.000000 2.366520 -0.785985 4.190788 -0.622506 4.639270 -2.527044 -3.565756 -0.380513 -1.212593 -0.347415 4.435883 -0.119708 -1.661821 0.889589 4.052787 -2.574836 -3.572770 -1.259421 0.019511
1005 98.9525725847 0.0000000000 1.0000000000 0.8508019558 67.0000000000 5.6061522252 0.8836958417 5.4659370596 0.1200186472 4.5279552572 0.0660250671 29.8764679397 -650.7452530280 24.7989471717 6.3345107710 3.317131 -3.129316 4.181071 -1.021813 -1.486381 -5.000000 2.274710 1.891639 4.852975 -1.223867 -2.388517 5.000000 3.421804 -2.703618 1.995267 -3.132509 3.934811 -1.808775 -0.270328 -3.105851 3.078518 2.735067 -2.927585 2.983557 -3.821198 -1.281970 -3.566575 -2.964395 -3.330050 -1.508594 -1.045559 -3.385624 -1.968218 -1.224421 -3.468604 3.721132 2.051129 -4.094205 3.502531 1.294774
evaluations raw_y rep iid sigma t d_norm d_mean ps_norm ps_mean pc_norm pc_mean ps_squared loglikelihood mhl_norm mhl_mean x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39
1 104.6870979286 1.0000000000 1.0000000000 0.8508019558 67.0000000000 5.6061522252 0.8836958417 5.4659370596 0.1200186472 4.5279552572 0.0660250671 29.8764679397 -650.7452530280 24.7989471717 6.3345107710 3.248691 -1.223513 -1.056344 -2.145937 1.730815 -4.603077 3.489624 -1.522414 0.638078 -0.498741 2.924216 -4.120281 -0.644834 -0.768109 2.267539 -2.199783 -0.344856 -1.755717 0.084427 1.165630 -2.201238 2.289447 1.803181 1.004989 1.801712 -1.367456 -0.245780 -1.871539 -0.535776 1.060711 -1.383322 -0.793507 -1.374345 -1.690411 -1.342492 -0.025329 -2.234621 0.468831 3.319604 1.484088
2 81.4301078890 1.0000000000 1.0000000000 0.8508019558 67.0000000000 5.6061522252 0.8836958417 5.4659370596 0.1200186472 4.5279552572 0.0660250671 29.8764679397 -650.7452530280 24.7989471717 6.3345107710 -0.383671 -1.775258 -1.494317 3.384909 0.101616 -1.273991 0.381831 4.200510 0.240318 1.234406 0.600341 -0.704500 -2.285036 -0.698685 -0.417788 1.173246 1.677967 1.862204 0.571175 1.770282 -1.508796 2.505736 1.025860 -0.596186 0.977036 -0.151143 2.263259 3.039634 4.371151 -2.792993 -2.888228 -1.008932 0.320074 1.752338 0.631270 -4.044402 -0.612408 1.655949 0.460189 1.524022
4 64.5754046573 1.0000000000 1.0000000000 0.8508019558 67.0000000000 5.6061522252 0.8836958417 5.4659370596 0.1200186472 4.5279552572 0.0660250671 29.8764679397 -650.7452530280 24.7989471717 6.3345107710 -0.049234 -1.550323 2.547512 3.934203 -3.715964 2.472328 3.255302 0.676023 -2.398536 1.726691 -0.361841 -1.207841 -2.460116 1.101075 1.585614 -1.247061 1.041153 -2.288683 1.603722 0.093135 -0.373140 -0.203492 1.737772 1.500823 1.058931 0.275402 0.155642 1.236761 0.464989 1.365103 -0.620234 -4.869676 2.077649 4.373959 0.882729 -0.200310 -0.272889 -0.238108 0.034819 -2.244037
15 60.9607149783 1.0000000000 1.0000000000 0.8508019558 67.0000000000 5.6061522252 0.8836958417 5.4659370596 0.1200186472 4.5279552572 0.0660250671 29.8764679397 -650.7452530280 24.7989471717 6.3345107710 1.706564 -0.279423 2.772629 1.096259 -3.274899 5.000000 1.297287 0.214687 -2.797626 0.163536 -0.919886 1.288707 0.743341 3.706019 0.284503 1.027011 0.744914 -0.296980 -0.366800 2.202000 1.560054 -1.258883 -2.226872 -0.134820 2.322880 -0.055059 3.492870 -1.550141 0.283281 -5.000000 -1.191336 -0.618243 1.021876 3.421324 0.069887 2.907835 1.323362 1.972704 -0.932310 2.769983
