evaluations raw_y rep iid sigma t d_norm d_mean ps_norm ps_mean pc_norm pc_mean ps_squared loglikelihood mhl_norm mhl_mean x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39
1 748.6414462198 0.0000000000 1.0000000000 0.5680748265 67.0000000000 5.5190077693 0.8702224922 5.4278010010 -0.0416535359 4.8240009718 -0.0085991908 29.4610237063 -446.2497681802 27.1214775777 6.9053465078 3.528105 0.800314 1.957476 4.481786 3.735116 -1.954556 1.900177 -0.302714 -0.206438 0.821197 0.288087 2.908547 1.522075 0.243350 0.887726 0.667349 2.988158 -0.410317 0.626135 -1.708191 -5.000000 1.307237 1.728872 -1.484330 4.539509 -2.908731 0.091517 -0.374368 3.065558 2.938718 0.309895 0.756325 -1.775571 -3.961593 -0.695824 0.312698 2.460581 2.404760 -0.774654 -0.604606
7 647.8454424888 0.0000000000 1.0000000000 0.5680748265 67.0000000000 5.5190077693 0.8702224922 5.4278010010 -0.0416535359 4.8240009718 -0.0085991908 29.4610237063 -446.2497681802 27.1214775777 6.9053465078 -1.274874 -0.794544 -0.265761 -0.595582 -0.618026 -3.352008 2.304663 2.159237 -1.626729 -2.932849 1.042130 -1.151576 0.283906 -0.638657 1.383078 1.389498 -1.451195 -2.766728 -3.165877 1.220759 -2.377719 -1.013633 -1.192628 -0.105135 -3.872560 0.377557 1.047782 0.176844 -0.621772 0.194800 0.798093 -5.000000 3.911825 0.780187 -1.304817 -0.781907 0.987484 -0.232208 -4.061369 4.128986
19 636.3483030661 0.0000000000 1.0000000000 1.8985810976 1.0000000000 6.3126672719 0.9980964149 3.4807881381 -0.0566577472 2.9518395765 -0.0480479058 12.1158860625 -1289.2140969762 26.6091111871 6.8018488370 -3.537089 0.728508 0.291486 4.461526 1.233010 -1.083086 4.953578 0.450961 -4.054935 -4.592446 -0.886526 -5.000000 0.430259 3.355987 3.133783 -0.665221 1.226182 -3.175360 -2.989467 1.506462 -0.757947 -0.943306 1.357056 0.938004 -0.681870 -1.285688 0.803389 -3.003395 -1.651125 -0.141252 1.402955 -4.174966 0.704394 1.334906 -1.550630 0.755019 0.006654 -0.441257 1.576825 4.478583
31 541.9016649556 0.0000000000 1.0000000000 1.8588753814 2.0000000000 6.3015213352 0.9963012774 5.1462535866 -0.0623472345 4.4748906737 -0.0565623494 26.4839259777 -1232.4807939994 24.9534513567 6.3662665088 -2.017845 -3.494968 -0.819724 1.004433 -1.544472 -5.000000 1.811372 3.251066 0.503279 -1.116275 -0.864908 -4.281448 2.020696 2.818257 3.938745 -0.993974 -0.501002 -2.224663 -2.926428 0.767709 -3.007269 0.297675 0.011056 1.167691 -1.180507 -2.973382 0.913522 -4.626398 -1.804795 -1.128800 -0.459301 -2.073673 4.493059 2.986498 -2.838177 1.629473 3.509588 -2.096550 -1.948474 5.000000
33 527.0094915825 0.0000000000 1.0000000000 1.8588753814 2.0000000000 6.3015213352 0.9963012774 5.1462535866 -0.0623472345 4.4748906737 -0.0565623494 26.4839259777 -1232.4807939994 24.9534513567 6.3662665088 -1.764157 0.405098 1.607118 2.379819 1.254009 -3.660434 4.098361 5.000000 -2.241257 -3.590882 -2.152979 -2.678488 -1.312076 2.269923 -1.498436 -0.448844 1.974586 -1.459949 -0.612467 -1.049443 -3.037780 0.032653 -0.192819 -1.619459 -3.080236 -0.158954 1.246094 -2.657744 -2.929922 -0.231582 0.721306 -3.749274 4.775447 1.479694 -3.516931 2.668843 0.972511 0.204351 -2.940768 4.120425
49 506.3513018967 0.0000000000 1.0000000000 1.8502428830 3.0000000000 6.2901565336 0.9944684362 6.0343729903 -0.0840039915 5.3655097834 -0.0772341154 36.4136573863 -1240.2874374971 25.4772848222 6.4650255406 -1.454190 -1.641167 -0.111533 0.090863 -0.042625 -2.617935 2.078628 3.696945 -3.209782 -2.372727 -5.000000 -5.000000 1.529164 2.917985 4.943443 -1.925854 -1.132236 -1.852479 -5.000000 -1.593706 -3.029102 0.177917 -1.665953 -2.853182 -2.709662 0.561403 -2.802175 -3.908253 -5.000000 1.187026 0.085758 -4.909646 2.880222 2.547008 -4.597408 2.730034 4.696854 -0.638806 -3.924094 3.772690
51 413.7916759220 0.0000000000 1.0000000000 1.8502428830 3.0000000000 6.2901565336 0.9944684362 6.0343729903 -0.0840039915 5.3655097834 -0.0772341154 36.4136573863 -1240.2874374971 25.4772848222 6.4650255406 -1.500390 -3.115834 1.188552 3.442321 0.434195 -1.606899 5.000000 2.749448 -1.353214 -0.887293 0.530364 -1.197867 3.130087 4.011663 -1.883670 -0.787283 1.363699 0.375732 1.192690 1.119302 -3.198780 0.150487 -0.979194 -0.895608 -1.283713 0.147405 3.342783 -5.000000 -4.746418 -0.864126 2.103941 -4.412089 3.608480 2.378155 -2.442508 5.000000 4.864718 -0.437212 -5.000000 4.378982
69 384.3378445904 0.0000000000 1.0000000000 1.8607119587 4.0000000000 6.2804572025 0.9928953229 6.5892739136 0.0587833871 5.9492333037 0.0379383828 43.4185307079 -1202.5122955490 23.8365911935 6.0851365584 -0.160199 -3.414467 -0.235337 -0.025190 -2.417907 -2.263535 4.732501 5.000000 -3.265531 -4.961631 -2.101374 -4.319838 0.726316 2.676138 0.152237 -0.336346 2.436897 -4.441942 -1.553806 -1.553300 -2.522733 0.251327 -1.294721 -5.000000 -0.894658 -0.194435 4.179642 -2.983607 -4.786018 -1.635232 2.977552 -4.647101 5.000000 4.512759 -3.641173 1.358689 4.852929 1.261161 -4.080875 5.000000
76 364.2883804821 0.0000000000 1.0000000000 1.8801015382 5.0000000000 6.2705907988 0.9912785793 6.8438653650 -0.0709860380 6.3517837279 -0.0684400677 46.8384931346 -1180.1061342483 22.6523355341 5.7836077574 -3.693640 -4.356312 0.132909 -2.946028 2.568977 -2.187612 3.268850 5.000000 -1.078083 -0.645949 -3.561111 -5.000000 2.461176 3.333421 -1.907794 -3.882643 2.106810 -2.929228 -0.824902 1.068688 -4.751829 1.520078 -2.173393 -2.909618 0.196391 -2.129666 4.393667 -5.000000 -2.737278 -2.855796 4.565398 -5.000000 5.000000 3.875383 -2.757739 3.502849 5.000000 -0.348698 -5.000000 2.513225
91 359.8094878886 0.0000000000 1.0000000000 1.9143194665 6.0000000000 6.2609044294 0.9896669880 7.2571871129 -0.0423408462 6.7924896571 -0.0488402567 52.6667647916 -1203.9346497347 23.3172715826 5.9190384502 -3.153918 -5.000000 -0.710388 -5.000000 -2.223017 0.560646 5.000000 5.000000 -3.057477 -1.706594 -2.517601 -4.170398 4.996818 0.755492 -0.038497 -1.231778 1.775734 -0.324672 -4.759694 -2.208742 -5.000000 2.746133 -1.910280 -2.430559 -1.107033 -0.415190 5.000000 -0.654946 -2.955601 -3.252126 3.654229 -5.000000 5.000000 5.000000 -3.707316 2.370224 4.045822 0.844194 -5.000000 5.000000
