evaluations raw_y rep iid sigma t d_norm d_mean ps_norm ps_mean pc_norm pc_mean ps_squared loglikelihood mhl_norm mhl_mean x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39
1 1870227.2997765406 0.0000000000 1.0000000000 0.4505508620 67.0000000000 5.5861498694 0.8798458813 5.6151353102 0.0334863305 5.0581598904 0.0067358274 31.5297445513 -254.7882176966 24.2188783660 6.1372856385 3.528105 0.800314 1.957476 4.481786 3.735116 -1.954556 1.900177 -0.302714 -0.206438 0.821197 0.288087 2.908547 1.522075 0.243350 0.887726 0.667349 2.988158 -0.410317 0.626135 -1.708191 -5.000000 1.307237 1.728872 -1.484330 4.539509 -2.908731 0.091517 -0.374368 3.065558 2.938718 0.309895 0.756325 -1.775571 -3.961593 -0.695824 0.312698 2.460581 2.404760 -0.774654 -0.604606
2 1528331.2361138437 0.0000000000 1.0000000000 0.4505508620 67.0000000000 5.5861498694 0.8798458813 5.6151353102 0.0334863305 5.0581598904 0.0067358274 31.5297445513 -254.7882176966 24.2188783660 6.1372856385 -2.097106 -2.840036 -3.412540 3.901551 -1.019304 -0.876149 -2.505591 1.554981 -3.227796 -0.425481 -1.790933 0.773805 -1.021610 -2.361264 -0.056364 0.856664 0.133034 0.604944 -1.268644 -0.725482 -1.344921 -0.719106 -1.626293 -3.452565 0.354852 -0.803562 -3.260397 0.925565 -1.814597 0.103891 1.458181 0.257966 2.278801 -2.469652 0.804683 -1.369620 -1.741594 -1.157699 -0.623105 0.112331
5 1324354.7930859996 0.0000000000 1.0000000000 0.4505508620 67.0000000000 5.5861498694 0.8798458813 5.6151353102 0.0334863305 5.0581598904 0.0067358274 31.5297445513 -254.7882176966 24.2188783660 6.1372856385 -0.996065 3.859064 1.898842 0.175102 -2.450871 1.688726 -2.000431 -3.089542 2.376060 0.633885 1.841718 0.637455 1.713661 -1.302051 -2.068486 1.363189 -1.606819 -1.379100 -0.911065 0.034958 -0.707988 -2.749903 -1.287237 -4.446806 1.250463 -3.204115 -2.208767 0.104330 -1.479126 3.086029 -2.585714 0.534102 -0.078566 -2.336187 1.046553 -0.343093 1.543581 1.647008 4.326472 2.673056
6 1127823.2319881706 0.0000000000 1.0000000000 0.4505508620 67.0000000000 5.5861498694 0.8798458813 5.6151353102 0.0334863305 5.0581598904 0.0067358274 31.5297445513 -254.7882176966 24.2188783660 6.1372856385 -0.738364 -0.478758 2.199319 1.310527 1.280263 -3.233912 -0.048652 -1.476062 0.559849 -0.196301 1.820358 0.634436 1.572656 -0.932838 -1.888893 -0.820099 -0.034041 0.758303 4.518618 -0.084514 -1.911890 -0.691964 -0.927192 0.962963 -3.081594 0.126524 0.313013 0.464362 -1.194632 -0.475843 -2.848122 -0.986640 -1.085723 0.832100 -2.312365 1.562396 2.988969 -4.139970 0.852517 1.353816
18 1028961.8110747304 0.0000000000 1.0000000000 1.8773516071 1.0000000000 6.3093538190 0.9975767286 2.8748145408 -0.1065877346 2.4379511191 -0.0903904176 8.2645586442 -1280.3507358739 26.6021421244 6.7805495358 0.041919 0.475454 5.000000 0.140387 -1.489177 -3.028459 1.230003 2.246815 2.036177 -1.609490 3.530561 -3.255160 1.114711 0.600442 5.000000 0.734825 -1.368755 -4.458306 -1.389307 -1.564475 -0.641573 1.338917 -1.752028 -1.859895 -1.713413 -1.647311 -1.443721 1.679962 -3.809109 -1.623429 0.948240 1.274694 -2.920295 1.188810 -1.347663 -0.739629 1.682325 -0.980728 5.000000 -2.203221
31 864192.7385260280 0.0000000000 1.0000000000 1.8151668669 2.0000000000 6.2982922384 0.9958017028 4.4699669031 -0.1251055351 3.8475600230 -0.1098978426 19.9806041146 -1214.7979808229 24.8421435032 6.3650378177 1.652342 2.185810 2.519856 1.200929 0.835725 -1.326135 1.330145 -0.028319 2.063355 -0.555269 0.021164 -3.175436 -1.453563 1.146548 0.291488 0.755384 0.920510 -3.124641 0.230393 1.656586 2.296752 -0.480575 1.390604 -0.944609 -1.362391 -2.333696 -2.863707 -1.589939 -1.566518 -0.332705 -0.416857 2.977882 -5.000000 -0.113508 -1.456492 1.551255 -1.529038 0.147575 5.000000 0.509853
44 738164.4416458497 0.0000000000 1.0000000000 1.8151668669 2.0000000000 6.2982922384 0.9958017028 4.4699669031 -0.1251055351 3.8475600230 -0.1098978426 19.9806041146 -1214.7979808229 24.8421435032 6.3650378177 3.486822 2.704582 5.000000 3.426388 1.321668 0.696546 1.122980 3.159348 1.442517 1.377624 -0.708702 -3.975259 -2.407211 2.973462 0.960475 -2.647377 0.503116 -0.316951 3.133675 1.805758 -3.240231 -1.711687 -2.327318 -0.141316 -1.662921 -4.432156 -3.612062 0.541319 -5.000000 -1.228027 -1.737692 0.464718 -3.110545 0.647503 1.216873 -1.636326 2.169085 -3.680333 2.712339 -1.907919
52 582601.9843258071 0.0000000000 1.0000000000 1.7807065146 3.0000000000 6.2861837758 0.9938577192 5.2523052324 -0.0665066418 4.6068190287 -0.0653010754 27.5867102548 -1226.5311122551 25.8593950627 6.5640663710 2.465264 -2.551583 3.866863 -0.861652 1.019517 2.303879 3.918938 2.083340 1.405083 -0.337111 -0.944962 -2.883229 1.487161 0.275442 -0.121379 -4.096354 0.382658 0.903845 2.828800 2.021097 -0.769698 2.657848 0.128205 -0.369520 -0.123361 -5.000000 -2.223406 -1.618307 -3.671582 -0.142417 -0.346735 -1.178649 -4.793705 -0.074742 1.216550 -2.495653 3.500793 -2.300427 1.478241 -0.534052
56 545320.6705226359 0.0000000000 1.0000000000 1.7807065146 3.0000000000 6.2861837758 0.9938577192 5.2523052324 -0.0665066418 4.6068190287 -0.0653010754 27.5867102548 -1226.5311122551 25.8593950627 6.5640663710 0.693214 1.240941 4.370670 -1.438686 -1.672112 -1.946319 -0.717143 1.283931 -0.203347 0.499201 0.201094 -2.761216 -0.538620 3.585164 -2.205594 1.799828 1.164780 -0.478133 -1.068724 -0.786473 0.670107 0.824057 -5.000000 -1.543632 -1.791471 -3.295518 -3.199174 0.162944 -3.151346 -0.816123 0.638943 0.344852 -4.664955 1.066622 4.381137 -0.902022 0.610714 -3.510657 2.266227 -0.613725
87 533524.9468042083 0.0000000000 1.0000000000 1.7262169565 5.0000000000 6.2625375877 0.9900599160 5.5955319603 -0.1573451735 5.0700126553 -0.1459012446 31.3099779192 -1143.0735388469 23.3489018330 5.9499927757 2.620189 2.725389 2.950852 -2.860212 0.660276 -2.954475 1.308769 -1.452183 5.000000 -2.165810 0.412535 -3.248652 -0.553140 2.256300 -1.133787 -3.600111 -0.893556 -0.709054 1.954513 0.022148 0.346780 2.237664 0.338829 -5.000000 0.413054 -2.861679 -3.233267 -1.530739 -5.000000 -1.579660 0.274431 -0.895327 -3.630336 1.317227 3.019169 -2.405850 -1.130519 -5.000000 3.100296 -1.116732
89 394149.0671436249 0.0000000000 1.0000000000 1.7262169565 5.0000000000 6.2625375877 0.9900599160 5.5955319603 -0.1573451735 5.0700126553 -0.1459012446 31.3099779192 -1143.0735388469 23.3489018330 5.9499927757 -1.138597 0.056793 5.000000 -0.335046 0.639452 -0.375570 -1.213453 -0.282541 3.591760 2.268107 -3.018283 -3.844885 -1.359510 4.260703 0.263570 -3.297774 2.987047 1.638371 0.632357 -2.022090 -1.620068 1.631203 -0.246266 -1.683009 -3.443062 -5.000000 -0.083251 -3.229498 -3.864037 -4.078014 -0.228941 -3.216573 -4.000239 0.498116 1.338793 -1.244943 -0.630365 -2.128288 2.232273 1.164246
96 326522.8943403242 0.0000000000 1.0000000000 1.7062277047 6.0000000000 6.2515582357 0.9882892925 5.6575446008 -0.2325418661 5.1868274515 -0.2113102201 32.0078109101 -1194.8346338470 25.8297715478 6.5788401970 0.840169 1.270240 3.467780 -1.153354 0.877326 0.431177 2.906441 -1.646493 1.323010 -1.278165 -0.310034 -5.000000 -0.412462 2.919592 0.115296 -4.910933 4.724873 2.746268 0.038660 -0.326114 -0.816317 4.457323 -2.477149 -0.285190 -2.996821 -5.000000 -2.255806 -0.444580 -3.980649 -2.081010 0.598304 0.626433 -4.370236 1.181354 4.316291 -4.309061 -1.857429 -5.000000 5.000000 -0.986665
108 268150.7840876292 0.0000000000 1.0000000000 1.7007274315 7.0000000000 6.2383881674 0.9861642149 6.1112139679 -0.1438720718 5.6498098696 -0.1450062094 37.3469361617 -1162.7618313351 24.7313384558 6.2582640176 3.211393 0.912867 3.507802 -0.229778 -2.195815 0.396677 -0.356901 -2.597622 3.215257 0.550440 0.448693 -5.000000 -2.788012 1.875011 -0.755963 -5.000000 2.959148 3.758873 -1.532565 1.159613 -1.262066 3.772552 -1.419861 -2.775020 -4.309746 -5.000000 -1.827370 -2.292296 -1.736654 -3.456935 1.057245 0.182431 -2.009948 0.578544 2.928002 -0.640230 0.287899 -3.519746 3.438267 -0.399559
