run_id,evaluations,sigma,d_norm,d_mean,ps_norm,ps_mean,pc_norm,pc_mean,mhl_norm,mhl_mean,loglikelihood
10_1_0,15,1.88858665633704,6.310385222092876,0.997739264463016,3.196355920810864,-0.052494784811397,2.710630332314265,-0.0445175567187728,26.76491861860544,6.824315738615382,-1289.108260761099
10_1_0,30,1.8095270433705304,6.297443103038132,0.9956751982937804,3.980727350903984,0.0153174343654329,3.43572197992817,0.011475163176887,24.68109774843233,6.310237129085109,-1208.3841673181382
10_1_0,45,1.7614309196114672,6.28452103404569,0.9936034178166316,4.833486583640138,-0.0234393664933479,4.246673156037135,-0.0208866983908091,25.49670358871653,6.49667796711674,-1210.3396045256914
10_1_0,60,1.7215281537221632,6.27220319056556,0.9916351777206812,5.05038434470321,-0.0955156735777752,4.478012995085433,-0.0823872207317827,24.74504523659847,6.3265525220292895,-1176.3583890680648
10_1_0,75,1.68975124215963,6.261042113748382,0.9898444003903184,5.281198796749169,-0.0681992702942248,4.749489916282784,-0.0626876194824893,23.868530104117195,6.100048579561789,-1142.3667580214717
10_1_0,90,1.6594895163701262,6.247974413352555,0.9877420997171664,5.311363120126997,-0.1524899415937489,4.841394061288711,-0.1357992413249181,25.48806658731551,6.520762640585525,-1168.940416276697
10_1_0,105,1.620870684805073,6.235483485410343,0.9857415814961774,5.016303207823749,-0.1236759883395393,4.638322039837587,-0.1168097375358948,25.82399032851413,6.56142564745234,-1162.0096362831182
10_1_0,120,1.5908482955566805,6.223280922931519,0.9837790684991342,5.27769394987834,-0.0839774741274988,4.921299382351718,-0.0866474823619315,25.420936104560035,6.466946092536105,-1137.545120656694
10_1_0,135,1.5694390302428232,6.211208373873766,0.9818313111494146,5.555059113490114,-0.0102495275081258,5.1095904566153365,-0.0263484137514162,25.08105111102515,6.356663377152446,-1119.9959022251126
10_1_0,150,1.540400658614444,6.201487237122798,0.9802589056956456,5.278791787342262,-0.0409943326981499,4.877426734195557,-0.0514449715098842,24.04078078417739,6.169915262941904,-1082.0656133374036
10_1_0,165,1.5144730853964807,6.1916145535590426,0.9786537904420838,5.370443145873689,-0.0481567489543077,4.936999618590245,-0.0567951921405006,25.522547777345885,6.527921868678653,-1105.9490964368115
